event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2015-03-16---2015-03-23_cluster_None,2015,2015-03-16,2015-03-23,7,,5,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-16---2015-03-23_duration_7_days_cluster_054_A0_000020_A_000022_lat_03591_lon_-0588_size_0036.tif,0,,5859,3089
2015-03-23---2015-04-13_cluster_None,2015,2015-03-23,2015-04-13,21,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-23---2015-04-13_duration_21_days_cluster_064_A0_000084_A_000094_lat_03941_lon_04891_size_0021.tif,0,,0,0
2015-03-30---2015-04-20_cluster_None,2015,2015-03-30,2015-04-20,21,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-30---2015-04-20_duration_21_days_cluster_066_A0_000010_A_000016_lat_05330_lon_-0812_size_0015.tif,0,,5859,3089
2015-04-27---2015-05-11_cluster_None,2015,2015-04-27,2015-05-11,14,,3,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_092_A0_000022_A_000031_lat_04846_lon_-0194_size_0116.tif,7,Créances; Gigny-sur-Saône; Glanon; Marnay; Mont-lès-Seurre; Saunières; Tilleul-Dame-Agnès,12882,7391
2015-04-27---2015-06-08_cluster_None,2015,2015-04-27,2015-06-08,35,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-04-27---2015-06-08_duration_35_days_cluster_091_A0_000792_A_000893_lat_03855_lon_-0501_size_0313.tif,0,,815,3039
2015-05-04---2015-05-18_cluster_None,2015,2015-05-04,2015-05-18,14,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-05-04---2015-05-18_duration_14_days_cluster_097_A0_000017_A_000024_lat_05340_lon_-0792_size_0028.tif,0,,0,0
2015-05-18---2015-05-25_cluster_None,2015,2015-05-18,2015-05-25,7,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-05-18---2015-05-25_duration_7_days_cluster_107_A0_000017_A_000019_lat_04358_lon_00458_size_0014.tif,0,,3599,1154
2015-05-25---2015-06-15_cluster_None,2015,2015-05-25,2015-06-15,21,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-05-25---2015-06-15_duration_21_days_cluster_113_A0_000078_A_000115_lat_04552_lon_01696_size_0049.tif,0,,0,0
2015-06-01---2015-06-08_cluster_None,2015,2015-06-01,2015-06-08,7,,6,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-01---2015-06-08_duration_7_days_cluster_119_A0_000002_A_000002_lat_04690_lon_00312_size_0169.tif,2,La Madeleine-Villefrouin; Villorceau,9893,6310
2015-06-22---2015-06-29_cluster_None,2015,2015-06-22,2015-06-29,7,,5,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-22---2015-06-29_duration_7_days_cluster_134_A0_000002_A_000003_lat_04147_lon_-0421_size_0174.tif,0,,815,1057
