cod_commune;lib_commune;lib_risque;num_risque
01001;L'Abergement-Clémenciat;Inondation;11
01001;L'Abergement-Clémenciat;Par une crue à débordement lent de cours d'eau;112
01001;L'Abergement-Clémenciat;Séisme;13
01001;L'Abergement-Clémenciat;Transport de marchandises dangereuses;24
01002;L'Abergement-de-Varey;Mouvement de terrain;12
01002;L'Abergement-de-Varey;Glissement de terrain;124
01002;L'Abergement-de-Varey;Séisme;13
01004;Ambérieu-en-Bugey;Inondation;11
01004;Ambérieu-en-Bugey;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01004;Ambérieu-en-Bugey;Mouvement de terrain;12
01004;Ambérieu-en-Bugey;Glissement de terrain;124
01004;Ambérieu-en-Bugey;Séisme;13
01005;Ambérieux-en-Dombes;Séisme;13
01005;Ambérieux-en-Dombes;Transport de marchandises dangereuses;24
01006;Ambléon;Séisme;13
01007;Ambronay;Inondation;11
01007;Ambronay;Par une crue à débordement lent de cours d'eau;112
01007;Ambronay;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01007;Ambronay;Séisme;13
01007;Ambronay;Rupture de barrage;23
01008;Ambutrix;Séisme;13
01008;Ambutrix;Transport de marchandises dangereuses;24
01009;Andert-et-Condon;Inondation;11
01009;Andert-et-Condon;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01009;Andert-et-Condon;Séisme;13
01010;Anglefort;Inondation;11
01010;Anglefort;Par une crue à débordement lent de cours d'eau;112
01010;Anglefort;Séisme;13
01010;Anglefort;Rupture de barrage;23
01011;Apremont;Mouvement de terrain;12
01011;Apremont;Eboulement ou chutes de pierres et de blocs;123
01011;Apremont;Glissement de terrain;124
01011;Apremont;Séisme;13
01011;Apremont;Transport de marchandises dangereuses;24
01012;Aranc;Séisme;13
01013;Arandas;Séisme;13
01014;Arbent;Inondation;11
01014;Arbent;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01014;Arbent;Mouvement de terrain;12
01014;Arbent;Eboulement ou chutes de pierres et de blocs;123
01014;Arbent;Séisme;13
01014;Arbent;Transport de marchandises dangereuses;24
01015;Arboys en Bugey;Inondation;11
01015;Arboys en Bugey;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01015;Arboys en Bugey;Séisme;13
01016;Arbigny;Inondation;11
01016;Arbigny;Par une crue à débordement lent de cours d'eau;112
01016;Arbigny;Séisme;13
01016;Arbigny;Transport de marchandises dangereuses;24
01017;Argis;Inondation;11
01017;Argis;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01017;Argis;Mouvement de terrain;12
01017;Argis;Eboulement ou chutes de pierres et de blocs;123
01017;Argis;Glissement de terrain;124
01017;Argis;Séisme;13
01019;Armix;Séisme;13
01021;Ars-sur-Formans;Inondation;11
01021;Ars-sur-Formans;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01021;Ars-sur-Formans;Séisme;13
01021;Ars-sur-Formans;Transport de marchandises dangereuses;24
01022;Artemare;Inondation;11
01022;Artemare;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01022;Artemare;Mouvement de terrain;12
01022;Artemare;Eboulement ou chutes de pierres et de blocs;123
01022;Artemare;Séisme;13
01023;Asnières-sur-Saône;Inondation;11
01023;Asnières-sur-Saône;Par une crue à débordement lent de cours d'eau;112
01023;Asnières-sur-Saône;Séisme;13
01024;Attignat;Inondation;11
01024;Attignat;Par une crue à débordement lent de cours d'eau;112
01024;Attignat;Séisme;13
01024;Attignat;Transport de marchandises dangereuses;24
01025;Bâgé-Dommartin;Inondation;11
01025;Bâgé-Dommartin;Par une crue à débordement lent de cours d'eau;112
01025;Bâgé-Dommartin;Séisme;13
01025;Bâgé-Dommartin;Transport de marchandises dangereuses;24
01026;Bâgé-le-Châtel;Inondation;11
01026;Bâgé-le-Châtel;Par une crue à débordement lent de cours d'eau;112
01026;Bâgé-le-Châtel;Séisme;13
01026;Bâgé-le-Châtel;Transport de marchandises dangereuses;24
01027;Balan;Inondation;11
01027;Balan;Par une crue à débordement lent de cours d'eau;112
01027;Balan;Séisme;13
01027;Balan;Rupture de barrage;23
01027;Balan;Transport de marchandises dangereuses;24
01028;Baneins;Inondation;11
01028;Baneins;Par une crue à débordement lent de cours d'eau;112
01028;Baneins;Séisme;13
01028;Baneins;Transport de marchandises dangereuses;24
01029;Beaupont;Inondation;11
01029;Beaupont;Par une crue à débordement lent de cours d'eau;112
01029;Beaupont;Séisme;13
01029;Beaupont;Transport de marchandises dangereuses;24
01030;Beauregard;Inondation;11
01030;Beauregard;Par une crue à débordement lent de cours d'eau;112
01030;Beauregard;Séisme;13
01030;Beauregard;Risque industriel;21
01030;Beauregard;Effet thermique;211
01030;Beauregard;Effet toxique;213
01030;Beauregard;Effet de projection;214
01031;Bellignat;Inondation;11
01031;Bellignat;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01031;Bellignat;Séisme;13
01032;Béligneux;Séisme;13
01032;Béligneux;Rupture de barrage;23
01032;Béligneux;Transport de marchandises dangereuses;24
01033;Valserhône;Inondation;11
01033;Valserhône;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01033;Valserhône;Mouvement de terrain;12
01033;Valserhône;Eboulement ou chutes de pierres et de blocs;123
01033;Valserhône;Glissement de terrain;124
01033;Valserhône;Séisme;13
01033;Valserhône;Transport de marchandises dangereuses;24
01034;Belley;Inondation;11
01034;Belley;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01034;Belley;Séisme;13
01034;Belley;Rupture de barrage;23
01034;Belley;Transport de marchandises dangereuses;24
01035;Belleydoux;Mouvement de terrain;12
01035;Belleydoux;Eboulement ou chutes de pierres et de blocs;123
01035;Belleydoux;Séisme;13
01036;Valromey-sur-Séran;Mouvement de terrain;12
01036;Valromey-sur-Séran;Eboulement ou chutes de pierres et de blocs;123
01036;Valromey-sur-Séran;Séisme;13
01037;Bénonces;Mouvement de terrain;12
01037;Bénonces;Eboulement ou chutes de pierres et de blocs;123
01037;Bénonces;Séisme;13
01038;Bény;Inondation;11
01038;Bény;Par une crue à débordement lent de cours d'eau;112
01038;Bény;Séisme;13
01038;Bény;Transport de marchandises dangereuses;24
01039;Béon;Inondation;11
01039;Béon;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01039;Béon;Mouvement de terrain;12
01039;Béon;Eboulement ou chutes de pierres et de blocs;123
01039;Béon;Séisme;13
01039;Béon;Rupture de barrage;23
01040;Béréziat;Séisme;13
01040;Béréziat;Transport de marchandises dangereuses;24
01041;Bettant;Inondation;11
01041;Bettant;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01041;Bettant;Mouvement de terrain;12
01041;Bettant;Glissement de terrain;124
01041;Bettant;Séisme;13
01041;Bettant;Transport de marchandises dangereuses;24
01042;Bey;Séisme;13
01043;Beynost;Inondation;11
01043;Beynost;Par une crue à débordement lent de cours d'eau;112
01043;Beynost;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01043;Beynost;Mouvement de terrain;12
01043;Beynost;Glissement de terrain;124
01043;Beynost;Séisme;13
01043;Beynost;Rupture de barrage;23
01043;Beynost;Transport de marchandises dangereuses;24
01044;Billiat;Séisme;13
01044;Billiat;Transport de marchandises dangereuses;24
01045;Birieux;Séisme;13
01046;Biziat;Inondation;11
01046;Biziat;Par une crue à débordement lent de cours d'eau;112
01046;Biziat;Séisme;13
01046;Biziat;Transport de marchandises dangereuses;24
01047;Blyes;Inondation;11
01047;Blyes;Par une crue à débordement lent de cours d'eau;112
01047;Blyes;Séisme;13
01047;Blyes;Nucléaire;22
01047;Blyes;Rupture de barrage;23
01047;Blyes;Transport de marchandises dangereuses;24
01049;La Boisse;Inondation;11
01049;La Boisse;Par une crue à débordement lent de cours d'eau;112
01049;La Boisse;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01049;La Boisse;Mouvement de terrain;12
01049;La Boisse;Glissement de terrain;124
01049;La Boisse;Séisme;13
01049;La Boisse;Rupture de barrage;23
01049;La Boisse;Transport de marchandises dangereuses;24
01050;Boissey;Séisme;13
01051;Bolozon;Mouvement de terrain;12
01051;Bolozon;Eboulement ou chutes de pierres et de blocs;123
01051;Bolozon;Séisme;13
01051;Bolozon;Rupture de barrage;23
01052;Bouligneux;Inondation;11
01052;Bouligneux;Par une crue à débordement lent de cours d'eau;112
01052;Bouligneux;Séisme;13
01053;Bourg-en-Bresse;Inondation;11
01053;Bourg-en-Bresse;Par une crue à débordement lent de cours d'eau;112
01053;Bourg-en-Bresse;Séisme;13
01053;Bourg-en-Bresse;Transport de marchandises dangereuses;24
01054;Bourg-Saint-Christophe;Séisme;13
01054;Bourg-Saint-Christophe;Rupture de barrage;23
01054;Bourg-Saint-Christophe;Transport de marchandises dangereuses;24
01056;Boyeux-Saint-Jérôme;Séisme;13
01057;Boz;Inondation;11
01057;Boz;Par une crue à débordement lent de cours d'eau;112
01057;Boz;Séisme;13
01057;Boz;Transport de marchandises dangereuses;24
01058;Brégnier-Cordon;Inondation;11
01058;Brégnier-Cordon;Par une crue à débordement lent de cours d'eau;112
01058;Brégnier-Cordon;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01058;Brégnier-Cordon;Mouvement de terrain;12
01058;Brégnier-Cordon;Eboulement ou chutes de pierres et de blocs;123
01058;Brégnier-Cordon;Séisme;13
01058;Brégnier-Cordon;Transport de marchandises dangereuses;24
01060;Brénod;Inondation;11
01060;Brénod;Par une crue à débordement lent de cours d'eau;112
01060;Brénod;Séisme;13
01060;Brénod;Transport de marchandises dangereuses;24
01061;Brens;Inondation;11
01061;Brens;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01061;Brens;Séisme;13
01061;Brens;Rupture de barrage;23
01061;Brens;Transport de marchandises dangereuses;24
01062;Bressolles;Séisme;13
01062;Bressolles;Transport de marchandises dangereuses;24
01063;Brion;Inondation;11
01063;Brion;Par une crue à débordement lent de cours d'eau;112
01063;Brion;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01063;Brion;Séisme;13
01063;Brion;Transport de marchandises dangereuses;24
01064;Briord;Inondation;11
01064;Briord;Par une crue à débordement lent de cours d'eau;112
01064;Briord;Mouvement de terrain;12
01064;Briord;Eboulement ou chutes de pierres et de blocs;123
01064;Briord;Séisme;13
01064;Briord;Nucléaire;22
01065;Buellas;Inondation;11
01065;Buellas;Par une crue à débordement lent de cours d'eau;112
01065;Buellas;Séisme;13
01065;Buellas;Transport de marchandises dangereuses;24
01066;La Burbanche;Inondation;11
01066;La Burbanche;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01066;La Burbanche;Mouvement de terrain;12
01066;La Burbanche;Eboulement ou chutes de pierres et de blocs;123
01066;La Burbanche;Séisme;13
01067;Ceignes;Séisme;13
01068;Cerdon;Inondation;11
01068;Cerdon;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01068;Cerdon;Mouvement de terrain;12
01068;Cerdon;Eboulement ou chutes de pierres et de blocs;123
01068;Cerdon;Séisme;13
01068;Cerdon;Rupture de barrage;23
01069;Certines;Séisme;13
01071;Cessy;Inondation;11
01071;Cessy;Par une crue à débordement lent de cours d'eau;112
01071;Cessy;Séisme;13
01071;Cessy;Nucléaire;22
01071;Cessy;Transport de marchandises dangereuses;24
01072;Ceyzériat;Séisme;13
01072;Ceyzériat;Transport de marchandises dangereuses;24
01073;Ceyzérieu;Inondation;11
01073;Ceyzérieu;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01073;Ceyzérieu;Séisme;13
01073;Ceyzérieu;Rupture de barrage;23
01074;Chalamont;Séisme;13
01074;Chalamont;Transport de marchandises dangereuses;24
01075;Chaleins;Séisme;13
01075;Chaleins;Transport de marchandises dangereuses;24
01076;Chaley;Inondation;11
01076;Chaley;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01076;Chaley;Séisme;13
01077;Challes-la-Montagne;Séisme;13
01078;Challex;Séisme;13
01079;Champagne-en-Valromey;Séisme;13
01080;Champdor-Corcelles;Inondation;11
01080;Champdor-Corcelles;Par une crue à débordement lent de cours d'eau;112
01080;Champdor-Corcelles;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01080;Champdor-Corcelles;Séisme;13
01080;Champdor-Corcelles;Transport de marchandises dangereuses;24
01081;Champfromier;Séisme;13
01082;Chanay;Mouvement de terrain;12
01082;Chanay;Glissement de terrain;124
01082;Chanay;Séisme;13
01082;Chanay;Rupture de barrage;23
01083;Chaneins;Séisme;13
01083;Chaneins;Transport de marchandises dangereuses;24
01084;Chanoz-Châtenay;Séisme;13
01084;Chanoz-Châtenay;Transport de marchandises dangereuses;24
01085;La Chapelle-du-Châtelard;Inondation;11
01085;La Chapelle-du-Châtelard;Par une crue à débordement lent de cours d'eau;112
01085;La Chapelle-du-Châtelard;Séisme;13
01087;Charix;Séisme;13
01087;Charix;Transport de marchandises dangereuses;24
01088;Charnoz-sur-Ain;Inondation;11
01088;Charnoz-sur-Ain;Par une crue à débordement lent de cours d'eau;112
01088;Charnoz-sur-Ain;Séisme;13
01088;Charnoz-sur-Ain;Nucléaire;22
01088;Charnoz-sur-Ain;Rupture de barrage;23
01088;Charnoz-sur-Ain;Transport de marchandises dangereuses;24
01089;Château-Gaillard;Inondation;11
01089;Château-Gaillard;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01089;Château-Gaillard;Séisme;13
01089;Château-Gaillard;Rupture de barrage;23
01090;Châtenay;Séisme;13
01090;Châtenay;Transport de marchandises dangereuses;24
01092;Châtillon-la-Palud;Inondation;11
01092;Châtillon-la-Palud;Par une crue à débordement lent de cours d'eau;112
01092;Châtillon-la-Palud;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01092;Châtillon-la-Palud;Mouvement de terrain;12
01092;Châtillon-la-Palud;Glissement de terrain;124
01092;Châtillon-la-Palud;Séisme;13
01092;Châtillon-la-Palud;Rupture de barrage;23
01092;Châtillon-la-Palud;Transport de marchandises dangereuses;24
01093;Châtillon-sur-Chalaronne;Inondation;11
01093;Châtillon-sur-Chalaronne;Par une crue à débordement lent de cours d'eau;112
01093;Châtillon-sur-Chalaronne;Mouvement de terrain;12
01093;Châtillon-sur-Chalaronne;Glissement de terrain;124
01093;Châtillon-sur-Chalaronne;Séisme;13
01093;Châtillon-sur-Chalaronne;Transport de marchandises dangereuses;24
01094;Chavannes-sur-Reyssouze;Inondation;11
01094;Chavannes-sur-Reyssouze;Par une crue à débordement lent de cours d'eau;112
01094;Chavannes-sur-Reyssouze;Séisme;13
01095;Nivigne et Suran;Inondation;11
01095;Nivigne et Suran;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01095;Nivigne et Suran;Séisme;13
01096;Chaveyriat;Inondation;11
01096;Chaveyriat;Par une crue à débordement lent de cours d'eau;112
01096;Chaveyriat;Séisme;13
01096;Chaveyriat;Transport de marchandises dangereuses;24
01098;Chazey-Bons;Inondation;11
01098;Chazey-Bons;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01098;Chazey-Bons;Mouvement de terrain;12
01098;Chazey-Bons;Glissement de terrain;124
01098;Chazey-Bons;Séisme;13
01099;Chazey-sur-Ain;Inondation;11
01099;Chazey-sur-Ain;Par une crue à débordement lent de cours d'eau;112
01099;Chazey-sur-Ain;Séisme;13
01099;Chazey-sur-Ain;Nucléaire;22
01099;Chazey-sur-Ain;Rupture de barrage;23
01099;Chazey-sur-Ain;Transport de marchandises dangereuses;24
01100;Cheignieu-la-Balme;Inondation;11
01100;Cheignieu-la-Balme;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01100;Cheignieu-la-Balme;Séisme;13
01101;Chevillard;Séisme;13
01102;Chevroux;Séisme;13
01102;Chevroux;Transport de marchandises dangereuses;24
01103;Chevry;Inondation;11
01103;Chevry;Par une crue à débordement lent de cours d'eau;112
01103;Chevry;Séisme;13
01104;Chézery-Forens;Inondation;11
01104;Chézery-Forens;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01104;Chézery-Forens;Mouvement de terrain;12
01104;Chézery-Forens;Eboulement ou chutes de pierres et de blocs;123
01104;Chézery-Forens;Glissement de terrain;124
01104;Chézery-Forens;Séisme;13
01104;Chézery-Forens;Avalanche;14
01105;Civrieux;Séisme;13
01105;Civrieux;Transport de marchandises dangereuses;24
01106;Cize;Séisme;13
01106;Cize;Rupture de barrage;23
01107;Cleyzieu;Mouvement de terrain;12
01107;Cleyzieu;Glissement de terrain;124
01107;Cleyzieu;Séisme;13
01108;Coligny;Inondation;11
01108;Coligny;Par une crue à débordement lent de cours d'eau;112
01108;Coligny;Séisme;13
01108;Coligny;Transport de marchandises dangereuses;24
01109;Collonges;Séisme;13
01110;Colomieu;Inondation;11
01110;Colomieu;Par une crue à débordement lent de cours d'eau;112
01110;Colomieu;Séisme;13
01111;Conand;Mouvement de terrain;12
01111;Conand;Eboulement ou chutes de pierres et de blocs;123
01111;Conand;Séisme;13
01112;Condamine;Séisme;13
01112;Condamine;Transport de marchandises dangereuses;24
01113;Condeissiat;Séisme;13
01113;Condeissiat;Transport de marchandises dangereuses;24
01114;Confort;Séisme;13
01114;Confort;Avalanche;14
01115;Confrançon;Séisme;13
01115;Confrançon;Transport de marchandises dangereuses;24
01116;Contrevoz;Séisme;13
01117;Conzieu;Séisme;13
01118;Corbonod;Mouvement de terrain;12
01118;Corbonod;Eboulement ou chutes de pierres et de blocs;123
01118;Corbonod;Glissement de terrain;124
01118;Corbonod;Séisme;13
01118;Corbonod;Rupture de barrage;23
01121;Corlier;Séisme;13
01123;Cormoranche-sur-Saône;Inondation;11
01123;Cormoranche-sur-Saône;Par une crue à débordement lent de cours d'eau;112
01123;Cormoranche-sur-Saône;Séisme;13
01123;Cormoranche-sur-Saône;Transport de marchandises dangereuses;24
01124;Cormoz;Inondation;11
01124;Cormoz;Par une crue à débordement lent de cours d'eau;112
01124;Cormoz;Séisme;13
01124;Cormoz;Transport de marchandises dangereuses;24
01125;Corveissiat;Mouvement de terrain;12
01125;Corveissiat;Eboulement ou chutes de pierres et de blocs;123
01125;Corveissiat;Glissement de terrain;124
01125;Corveissiat;Séisme;13
01125;Corveissiat;Rupture de barrage;23
01127;Courmangoux;Séisme;13
01127;Courmangoux;Transport de marchandises dangereuses;24
01128;Courtes;Séisme;13
01129;Crans;Séisme;13
01129;Crans;Transport de marchandises dangereuses;24
01130;Bresse Vallons;Inondation;11
01130;Bresse Vallons;Par une crue à débordement lent de cours d'eau;112
01130;Bresse Vallons;Séisme;13
01130;Bresse Vallons;Transport de marchandises dangereuses;24
01133;Cressin-Rochefort;Inondation;11
01133;Cressin-Rochefort;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01133;Cressin-Rochefort;Séisme;13
01133;Cressin-Rochefort;Rupture de barrage;23
01134;Crottet;Inondation;11
01134;Crottet;Par une crue à débordement lent de cours d'eau;112
01134;Crottet;Séisme;13
01134;Crottet;Transport de marchandises dangereuses;24
01135;Crozet;Inondation;11
01135;Crozet;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01135;Crozet;Mouvement de terrain;12
01135;Crozet;Glissement de terrain;124
01135;Crozet;Séisme;13
01135;Crozet;Avalanche;14
01135;Crozet;Nucléaire;22
01136;Cruzilles-lès-Mépillat;Séisme;13
01136;Cruzilles-lès-Mépillat;Transport de marchandises dangereuses;24
01138;Culoz;Inondation;11
01138;Culoz;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01138;Culoz;Mouvement de terrain;12
01138;Culoz;Eboulement ou chutes de pierres et de blocs;123
01138;Culoz;Glissement de terrain;124
01138;Culoz;Séisme;13
01138;Culoz;Rupture de barrage;23
01139;Curciat-Dongalon;Séisme;13
01139;Curciat-Dongalon;Transport de marchandises dangereuses;24
01140;Curtafond;Séisme;13
01140;Curtafond;Transport de marchandises dangereuses;24
01141;Cuzieu;Inondation;11
01141;Cuzieu;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01141;Cuzieu;Séisme;13
01142;Dagneux;Inondation;11
01142;Dagneux;Par une crue à débordement lent de cours d'eau;112
01142;Dagneux;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01142;Dagneux;Mouvement de terrain;12
01142;Dagneux;Glissement de terrain;124
01142;Dagneux;Séisme;13
01142;Dagneux;Nucléaire;22
01142;Dagneux;Rupture de barrage;23
01142;Dagneux;Transport de marchandises dangereuses;24
01143;Divonne-les-Bains;Inondation;11
01143;Divonne-les-Bains;Par une crue à débordement lent de cours d'eau;112
01143;Divonne-les-Bains;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01143;Divonne-les-Bains;Séisme;13
01143;Divonne-les-Bains;Transport de marchandises dangereuses;24
01145;Dompierre-sur-Veyle;Inondation;11
01145;Dompierre-sur-Veyle;Par une crue à débordement lent de cours d'eau;112
01145;Dompierre-sur-Veyle;Séisme;13
01145;Dompierre-sur-Veyle;Transport de marchandises dangereuses;24
01146;Dompierre-sur-Chalaronne;Inondation;11
01146;Dompierre-sur-Chalaronne;Par une crue à débordement lent de cours d'eau;112
01146;Dompierre-sur-Chalaronne;Séisme;13
01146;Dompierre-sur-Chalaronne;Transport de marchandises dangereuses;24
01147;Domsure;Inondation;11
01147;Domsure;Par une crue à débordement lent de cours d'eau;112
01147;Domsure;Séisme;13
01147;Domsure;Transport de marchandises dangereuses;24
01148;Dortan;Inondation;11
01148;Dortan;Par une crue à débordement lent de cours d'eau;112
01148;Dortan;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01148;Dortan;Mouvement de terrain;12
01148;Dortan;Eboulement ou chutes de pierres et de blocs;123
01148;Dortan;Glissement de terrain;124
01148;Dortan;Séisme;13
01148;Dortan;Rupture de barrage;23
01148;Dortan;Transport de marchandises dangereuses;24
01149;Douvres;Inondation;11
01149;Douvres;Par une crue à débordement lent de cours d'eau;112
01149;Douvres;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01149;Douvres;Mouvement de terrain;12
01149;Douvres;Eboulement ou chutes de pierres et de blocs;123
01149;Douvres;Glissement de terrain;124
01149;Douvres;Séisme;13
01150;Drom;Inondation;11
01150;Drom;Par une crue à débordement lent de cours d'eau;112
01150;Drom;Séisme;13
01151;Druillat;Inondation;11
01151;Druillat;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01151;Druillat;Séisme;13
01151;Druillat;Rupture de barrage;23
01151;Druillat;Transport de marchandises dangereuses;24
01152;Échallon;Séisme;13
01152;Échallon;Avalanche;14
01153;Échenevex;Inondation;11
01153;Échenevex;Par une crue à débordement lent de cours d'eau;112
01153;Échenevex;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01153;Échenevex;Séisme;13
01153;Échenevex;Nucléaire;22
01155;Évosges;Séisme;13
01156;Faramans;Séisme;13
01156;Faramans;Transport de marchandises dangereuses;24
01157;Fareins;Inondation;11
01157;Fareins;Par une crue à débordement lent de cours d'eau;112
01157;Fareins;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01157;Fareins;Séisme;13
01157;Fareins;Transport de marchandises dangereuses;24
01158;Farges;Séisme;13
01159;Feillens;Inondation;11
01159;Feillens;Par une crue à débordement lent de cours d'eau;112
01159;Feillens;Séisme;13
01159;Feillens;Transport de marchandises dangereuses;24
01160;Ferney-Voltaire;Inondation;11
01160;Ferney-Voltaire;Par une crue à débordement lent de cours d'eau;112
01160;Ferney-Voltaire;Séisme;13
01160;Ferney-Voltaire;Nucléaire;22
01160;Ferney-Voltaire;Transport de marchandises dangereuses;24
01162;Flaxieu;Inondation;11
01162;Flaxieu;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01162;Flaxieu;Séisme;13
01162;Flaxieu;Rupture de barrage;23
01163;Foissiat;Inondation;11
01163;Foissiat;Par une crue à débordement lent de cours d'eau;112
01163;Foissiat;Séisme;13
01163;Foissiat;Transport de marchandises dangereuses;24
01165;Francheleins;Inondation;11
01165;Francheleins;Par une crue à débordement lent de cours d'eau;112
01165;Francheleins;Séisme;13
01166;Frans;Inondation;11
01166;Frans;Par une crue à débordement lent de cours d'eau;112
01166;Frans;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01166;Frans;Séisme;13
01166;Frans;Transport de marchandises dangereuses;24
01167;Garnerans;Inondation;11
01167;Garnerans;Par une crue à débordement lent de cours d'eau;112
01167;Garnerans;Séisme;13
01169;Genouilleux;Inondation;11
01169;Genouilleux;Par une crue à débordement lent de cours d'eau;112
01169;Genouilleux;Séisme;13
01170;Béard-Géovreissiat;Inondation;11
01170;Béard-Géovreissiat;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01170;Béard-Géovreissiat;Séisme;13
01170;Béard-Géovreissiat;Transport de marchandises dangereuses;24
01171;Géovreisset;Séisme;13
01171;Géovreisset;Transport de marchandises dangereuses;24
01173;Gex;Inondation;11
01173;Gex;Par une crue à débordement lent de cours d'eau;112
01173;Gex;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01173;Gex;Mouvement de terrain;12
01173;Gex;Glissement de terrain;124
01173;Gex;Séisme;13
01173;Gex;Avalanche;14
01174;Giron;Séisme;13
01174;Giron;Transport de marchandises dangereuses;24
01175;Gorrevod;Inondation;11
01175;Gorrevod;Par une crue à débordement lent de cours d'eau;112
01175;Gorrevod;Séisme;13
01175;Gorrevod;Transport de marchandises dangereuses;24
01177;Grand-Corent;Séisme;13
01177;Grand-Corent;Rupture de barrage;23
01179;Grièges;Inondation;11
01179;Grièges;Par une crue à débordement lent de cours d'eau;112
01179;Grièges;Séisme;13
01180;Grilly;Inondation;11
01180;Grilly;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01180;Grilly;Séisme;13
01180;Grilly;Transport de marchandises dangereuses;24
01181;Groissiat;Inondation;11
01181;Groissiat;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01181;Groissiat;Séisme;13
01181;Groissiat;Transport de marchandises dangereuses;24
01183;Guéreins;Inondation;11
01183;Guéreins;Par une crue à débordement lent de cours d'eau;112
01183;Guéreins;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01183;Guéreins;Mouvement de terrain;12
01183;Guéreins;Glissement de terrain;124
01183;Guéreins;Séisme;13
01184;Hautecourt-Romanèche;Séisme;13
01184;Hautecourt-Romanèche;Rupture de barrage;23
01185;Plateau d'Hauteville;Inondation;11
01185;Plateau d'Hauteville;Par une crue à débordement lent de cours d'eau;112
01185;Plateau d'Hauteville;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01185;Plateau d'Hauteville;Mouvement de terrain;12
01185;Plateau d'Hauteville;Eboulement ou chutes de pierres et de blocs;123
01185;Plateau d'Hauteville;Séisme;13
01185;Plateau d'Hauteville;Transport de marchandises dangereuses;24
01187;Haut Valromey;Séisme;13
01187;Haut Valromey;Transport de marchandises dangereuses;24
01188;Illiat;Séisme;13
01188;Illiat;Transport de marchandises dangereuses;24
01189;Injoux-Génissiat;Inondation;11
01189;Injoux-Génissiat;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01189;Injoux-Génissiat;Mouvement de terrain;12
01189;Injoux-Génissiat;Eboulement ou chutes de pierres et de blocs;123
01189;Injoux-Génissiat;Glissement de terrain;124
01189;Injoux-Génissiat;Séisme;13
01189;Injoux-Génissiat;Rupture de barrage;23
01190;Innimond;Séisme;13
01191;Izenave;Séisme;13
01192;Izernore;Inondation;11
01192;Izernore;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01192;Izernore;Séisme;13
01192;Izernore;Transport de marchandises dangereuses;24
01193;Izieu;Séisme;13
01193;Izieu;Rupture de barrage;23
01193;Izieu;Transport de marchandises dangereuses;24
01194;Jassans-Riottier;Inondation;11
01194;Jassans-Riottier;Par une crue à débordement lent de cours d'eau;112
01194;Jassans-Riottier;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01194;Jassans-Riottier;Séisme;13
01194;Jassans-Riottier;Risque industriel;21
01194;Jassans-Riottier;Effet thermique;211
