cod_commune;lib_commune;dat_transmission_tim
05058;Freissinières;2000-06-29 02:00:00
84005;Aurel;2000-03-30 02:00:00
57747;Wintersbourg;2001-02-19 01:00:00
35183;Mondevert;2001-09-14 02:00:00
57506;Niederstinzel;2001-04-26 02:00:00
17146;Échillais;2001-02-14 01:00:00
62398;Guisy;2000-12-26 01:00:00
68148;Hundsbach;2000-01-17 01:00:00
65282;Loudenvielle;2000-12-13 01:00:00
19192;Saint-Chamant;2001-02-23 01:00:00
57690;Valmont;2001-06-05 02:00:00
38395;Plateau-des-Petites-Roches;2000-07-11 02:00:00
60043;Bailly;2001-03-30 02:00:00
46045;Cajarc;2000-02-07 01:00:00
89399;Soucy;2000-03-22 01:00:00
83131;Solliès-Toucas;2001-03-14 01:00:00
17449;Tonnay-Charente;2001-02-14 01:00:00
89024;Auxerre;2000-05-02 02:00:00
97420;Sainte-Suzanne;2000-03-03 01:00:00
83046;Cotignac;2001-03-14 01:00:00
05163;Le Sauze-du-Lac;2001-12-14 01:00:00
26063;Buis-les-Baronnies;2000-09-11 02:00:00
03111;Estivareilles;2000-12-18 01:00:00
33448;Saint-Médard-d'Eyrans;2001-02-07 01:00:00
42207;Saint-Chamond;2000-05-25 02:00:00
41256;Theillay;2000-01-28 01:00:00
60655;Varesnes;2001-03-30 02:00:00
68219;Le Haut Soultzbach;2000-01-17 01:00:00
26028;Bathernay;2000-07-10 02:00:00
42143;Mizérieux;2000-05-25 02:00:00
09087;Caussou;2000-03-30 02:00:00
63042;Blanzat;2001-12-18 01:00:00
05031;Champcella;2001-05-15 02:00:00
77039;Boissise-la-Bertrand;2000-07-20 02:00:00
37087;Courcoué;2000-02-08 01:00:00
68094;Folgensbourg;2000-01-17 01:00:00
46334;Le Vigan-en-Quercy;2000-02-07 01:00:00
65045;Aucun;2000-12-13 01:00:00
68381;Wuenheim;2000-01-17 01:00:00
05133;Saint-Chaffrey;2000-06-29 02:00:00
13066;Noves;2000-10-06 02:00:00
05122;La Roche-de-Rame;2001-12-10 01:00:00
68216;Mooslargue;2000-01-17 01:00:00
38289;Oz;2001-06-22 02:00:00
68085;Eteimbes;2000-01-17 01:00:00
35319;Saint-Thurial;2000-09-12 02:00:00
03107;Ébreuil;2000-03-29 02:00:00
57255;Gosselming;2000-03-22 01:00:00
57750;Wœlfling-lès-Sarreguemines;2001-06-05 02:00:00
68178;Lautenbachzell;2001-05-29 02:00:00
54400;Nomeny;2001-01-24 01:00:00
95063;Bezons;2000-11-29 01:00:00
01027;Balan;2001-06-22 02:00:00
18158;Moulins-sur-Yèvre;2001-04-11 02:00:00
73206;Pralognan-la-Vanoise;2000-09-06 02:00:00
97224;Saint-Joseph;2001-02-01 01:00:00
09241;Rabat-les-Trois-Seigneurs;2000-03-30 02:00:00
37052;Chançay;2000-02-08 01:00:00
68194;Lutter;2000-01-17 01:00:00
68105;Gildwiller;2000-01-17 01:00:00
73054;Bourg-Saint-Maurice;2000-09-06 02:00:00
93066;Saint-Denis;2000-07-18 02:00:00
05026;Ceillac;2000-05-16 02:00:00
77389;La Rochette;2000-07-20 02:00:00
95060;Bessancourt;2000-10-03 02:00:00
60539;Rieux;2001-03-30 02:00:00
95142;Chars;2000-10-03 02:00:00
38063;Burcin;2001-06-22 02:00:00
84107;Saint-Christol;2000-05-30 02:00:00
37271;Villaines-les-Rochers;2000-02-08 01:00:00
97416;Saint-Pierre;2001-04-26 02:00:00
33062;Bonzac;2000-09-24 02:00:00
42246;Saint-Julien-Molin-Molette;2001-05-29 02:00:00
54167;Dommartin-lès-Toul;2001-01-24 01:00:00
57261;Gros-Réderching;2001-06-13 02:00:00
61279;Mieuxcé;2000-10-30 01:00:00
03213;Reugny;2001-02-26 01:00:00
68283;Rombach-le-Franc;2000-01-17 01:00:00
16199;Magnac-sur-Touvre;2000-11-20 01:00:00
68157;Jebsheim;2000-01-17 01:00:00
18069;Colombiers;2001-04-04 02:00:00
26328;Saint-Sauveur-en-Diois;2000-10-19 02:00:00
26349;Tersanne;2000-07-10 02:00:00
95428;Montmorency;2000-10-03 02:00:00
68250;Orschwihr;2000-01-17 01:00:00
93015;Coubron;2001-11-29 01:00:00
93063;Romainville;2000-07-18 02:00:00
97414;Saint-Louis;2001-04-26 02:00:00
42219;Saint-Étienne-le-Molard;2001-05-29 02:00:00
70177;Corre;2000-02-21 01:00:00
05110;Puy-Saint-Vincent;2000-06-05 02:00:00
57546;Plesnois;2001-04-26 02:00:00
60647;Trosly-Breuil;2001-03-30 02:00:00
77498;Vignely;2000-02-07 01:00:00
95301;Haute-Isle;2000-11-29 01:00:00
83104;Rians;2000-05-10 02:00:00
77464;Thorigny-sur-Marne;2000-02-07 01:00:00
37113;Le Grand-Pressigny;2000-02-08 01:00:00
57563;Raville;2001-04-24 02:00:00
37012;Avon-les-Roches;2000-02-08 01:00:00
95426;Montlignon;2001-10-25 02:00:00
18201;Saint-Caprais;2001-02-23 01:00:00
05183;Villar-Saint-Pancrace;2000-06-29 02:00:00
26010;Anneyron;2000-07-10 02:00:00
38540;Veurey-Voroize;2001-06-22 02:00:00
84083;Mornas;2001-09-15 02:00:00
70056;Baulay;2000-08-30 02:00:00
17015;Arces;2000-11-13 01:00:00
57428;Macheren;2001-07-12 02:00:00
97212;Gros-Morne;2001-11-14 01:00:00
05180;Les Vigneaux;2000-08-07 02:00:00
37090;Crissay-sur-Manse;2000-02-08 01:00:00
89255;Michery;2000-04-25 02:00:00
67346;Oberlauterbach;2000-06-23 02:00:00
95040;Avernes;2001-10-25 02:00:00
68045;Bourbach-le-Bas;2000-01-17 01:00:00
17265;Nieulle-sur-Seudre;2001-01-15 01:00:00
33334;Portets;2001-02-07 01:00:00
63019;Aulnat;2001-12-18 01:00:00
09105;Daumazan-sur-Arize;2000-02-03 01:00:00
68301;Schlierbach;2000-01-17 01:00:00
07268;Saint-Martin-d'Ardèche;2001-01-01 01:00:00
60072;Bitry;2000-01-11 01:00:00
68297;Saint-Louis;2000-11-24 01:00:00
94044;Limeil-Brévannes;2000-12-29 01:00:00
69115;Limas;2001-04-30 02:00:00
05165;Savournon;2001-12-14 01:00:00
67410;Rosenwiller;2000-05-26 02:00:00
69199;Saint-Fons;2000-06-14 02:00:00
42215;Saint-Denis-de-Cabanne;2000-05-25 02:00:00
17429;Soubise;2001-02-14 01:00:00
68212;Mœrnach;2000-01-17 01:00:00
68008;Appenwihr;2000-01-17 01:00:00
68334;Thann;2000-11-16 01:00:00
95554;Saint-Gervais;2000-10-03 02:00:00
65182;Gaillagos;2000-12-13 01:00:00
17230;Meschers-sur-Gironde;2000-11-13 01:00:00
42034;Cervières;2001-05-29 02:00:00
93030;Dugny;2001-11-29 01:00:00
51030;Aÿ-Champagne;2000-05-18 02:00:00
57392;Lemud;2000-03-22 01:00:00
68367;Widensolen;2000-01-17 01:00:00
70470;Sainte-Marie-en-Chaux;2000-08-30 02:00:00
17079;Chaillevette;2001-01-15 01:00:00
38317;Le Pont-de-Claix;2001-06-22 02:00:00
56121;Lorient;2000-07-31 02:00:00
54082;Boncourt;2001-11-15 01:00:00
61143;Damigny;2000-10-30 01:00:00
05178;Ventavon;2001-12-17 01:00:00
05040;Chorges;2000-05-16 02:00:00
57478;Montdidier;2001-04-23 02:00:00
61202;Hauterive;2000-10-30 01:00:00
68118;Habsheim;2000-01-17 01:00:00
89390;Serbonnes;2000-04-25 02:00:00
97405;Petite-Île;2001-04-26 02:00:00
