CODE MODELE;LIBELLE MODELE;CODE PROECEDURE;LIBELLE PROCEDURE;LIBELLE ORGANISME;BASSIN RISQUE;BASSINS HYDROGRAPHIQUES;COURS EAU;CODE INSEE REGION;NOM REGION;CODE INSEE DEPARTEMENT;NOM DEPARTEMENT;CODE INSEE COMMUNE;NOM COMMUNE;CODE RISQUE 1;LIBELLE RISQUE 1;CODE RISQUE 2;LIBELLE RISQUE 2;CODE RISQUE 2;LIBELLE RISQUE 3;PROCEDURE REVISANTE;CODES REVISES;PROCEDURE REVISEE;CODES REVISANTS;PRESCRIPTION;ENQUETE_PUBL_DEBUT;ENQUETE_PUBL_FIN;ANNEX_PLU;DEPRESCRIPTION;APPROBATION;ANNULATION;ABROGATION;LIBELLE ETAT;DATE ETAT;LIBELLE SOUS-ETAT;DATE SOUS-ETAT;DATE DERNIERE MISE A JOUR
PPRM;Plan de Prévention des Risques Miniers;42DDT20130002;PPRM DE LA VALLEE DU GIER;Direction départementale des territoires;GIER;;;84;AUVERGNE-RHONE-ALPES;42;LOIRE;42110;L'Horme;30;Risque minier;31;Affaissement minier;315;Glissements ou mouvements de pente;FAUX;;FAUX;;2014-10-15;2018-12-10;2019-01-25;;;2019-03-29;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-21
PPRM;Plan de Prévention des Risques Miniers;57DDT20150001;PPRM-Bassin Belval révision 2;Direction départementale des territoires;Bassin ferrifère;;;44;GRAND EST;57;MOSELLE;57038;Audun-le-Tiche;30;Risque minier;31;Affaissement minier;313;Affaissements progressifs;VRAI;57DDT20100007;VRAI;57DDT20200011;2015-04-17;;;;;2016-09-29;;2021-12-22;Caduque;2020-01-01;Abrogé;2020-01-01;2022-03-22
PPRM;Plan de Prévention des Risques Miniers;54DDT20140038;PPRM Secteur de Longwy;Direction départementale des territoires;;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54138;Cosnes-et-Romain;30;Risque minier;31;Affaissement minier;312;Effondrements localisés;FAUX;;FAUX;;2008-01-10;;;;;2012-01-24;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-27
PPRM;Plan de Prévention des Risques Miniers;57DDT20150003;PPRM-Orne modification;Direction départementale des territoires;Bassin ferrifère;;;44;GRAND EST;57;MOSELLE;57143;Clouange;30;Risque minier;31;Affaissement minier;314;Tassements;VRAI;57DDT20100010;FAUX;;2015-08-24;;;;;2016-04-04;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-09
PPRM;Plan de Prévention des Risques Miniers;PPRM_2022_0002;PPRM - ONDAINE;Direction départementale des territoires;;;;;;42;LOIRE;42095;Firminy;30;Risque minier;34;Echauffement des terrains de dépôts;;;FAUX;;FAUX;;2022-08-17;2025-03-03;2025-04-11;;;2025-06-30;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-07-22
PPRM;Plan de Prévention des Risques Miniers;07DDT20140021;PRIVAS/VEYRAS PPR Minier;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;07;ARDECHE;07186;Privas;30;Risque minier;31;Affaissement minier;317;Ecroulements rocheux;FAUX;;FAUX;;2014-12-12;2016-11-09;2016-12-09;;;2017-05-22;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-18
PPRM;Plan de Prévention des Risques Miniers;54DDT20140013;PPRM Secteur de Trieux;Direction départementale des territoires;;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54015;Anderny;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2012-11-26;2013-02-01;2013-03-27;;;2013-07-12;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-27
PPRM;Plan de Prévention des Risques Miniers;81DDT20150001;PPR minier Bassin de Carmaux;Direction départementale des territoires;;;;76;OCCITANIE;81;TARN;81244;Saint-Benoît-de-Carmaux;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2008-10-15;2010-09-06;2010-10-08;;;2012-07-09;2015-12-30;;Caduque;2020-01-01;Annulé;2020-01-01;2016-02-25
PPRM;Plan de Prévention des Risques Miniers;54DDT20140031;PPRM Secteur de Briey;Direction départementale des territoires;;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54263;Homécourt;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;VRAI;54DDT20140041;2007-07-31;;;;;2009-11-24;;2016-08-23;Caduque;2020-01-01;Abrogé;2020-01-01;2025-02-27
PPRM;Plan de Prévention des Risques Miniers;42DDT20130002;PPRM DE LA VALLEE DU GIER;Direction départementale des territoires;GIER;;;84;AUVERGNE-RHONE-ALPES;42;LOIRE;42186;Rive-de-Gier;30;Risque minier;31;Affaissement minier;315;Glissements ou mouvements de pente;FAUX;;FAUX;;2014-10-15;2018-12-10;2019-01-25;;;2019-03-29;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-21
PPRM;Plan de Prévention des Risques Miniers;57DDT20100003;PPRM-Bassin Nord révision;Direction départementale des territoires;Bassin ferrifère;;;44;GRAND EST;57;MOSELLE;57022;Angevillers;30;Risque minier;31;Affaissement minier;314;Tassements;VRAI;57DDT20100002;VRAI;PPRM_2022_0001;2007-02-19;;;;;2011-09-30;;2022-11-15;Caduque;2020-01-01;Abrogé;2020-01-01;2022-12-20
PPRM;Plan de Prévention des Risques Miniers;07DDT20160003;LARGENTIERE PPR Minier;Direction départementale des territoires;Largentière ;;;84;AUVERGNE-RHONE-ALPES;07;ARDECHE;07343;Vinezac;30;Risque minier;31;Affaissement minier;311;Effondrements généralisés;FAUX;;FAUX;;2006-01-13;2010-10-04;2010-11-05;;;2011-07-27;;2015-04-17;Caduque;2020-01-01;Abrogé;2020-01-01;2025-02-18
PPRM;Plan de Prévention des Risques Miniers;38DDT20180002;PPRM de Saint-Didier-de-la-Tour;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;38;ISERE;38357;Saint-André-le-Gaz;30;Risque minier;33;Emissions en surface de gaz de mine;;;FAUX;;FAUX;;2012-08-02;;;;;2022-02-16;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-06
PPRM;Plan de Prévention des Risques Miniers;38DDT20180001;PPRM du Plateau Matheysin;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;38;ISERE;38361;Saint-Arey;30;Risque minier;33;Emissions en surface de gaz de mine;;;FAUX;;FAUX;;2007-12-10;2018-12-05;2019-01-19;;;2019-06-11;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-11
PPRM;Plan de Prévention des Risques Miniers;14DDTM20110009;PPR Mines de Littry;Direction départementale des territoires et de la mer;Mines de Littry;;;28;NORMANDIE;14;CALVADOS;14622;Saint-Martin-de-Blagny;30;Risque minier;31;Affaissement minier;312;Effondrements localisés;FAUX;;FAUX;;2009-04-14;2025-05-12;2025-06-03;;;2025-11-03;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-11-03
PPRM;Plan de Prévention des Risques Miniers;62DDTM20150001;PPRm du BETHUNOIS;Direction départementale des territoires et de la mer;Béthunois;;;32;HAUTS-DE-FRANCE;62;PAS-DE-CALAIS;62048;Auchel;30;Risque minier;31;Affaissement minier;315;Glissements ou mouvements de pente;FAUX;;FAUX;;2015-06-10;;;;;2017-11-17;;;Opposable;2020-01-01;Approuvé;2020-01-01;2021-02-24
PPRM;Plan de Prévention des Risques Miniers;54DDT20140001;PPRM Secteur de Jarny;Direction départementale des territoires;;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54136;Conflans-en-Jarnisy;30;Risque minier;31;Affaissement minier;314;Tassements;VRAI;54DDT20080009;FAUX;;2012-08-03;2012-10-11;2012-11-12;;;2013-03-26;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-27
