CODE MODELE;LIBELLE MODELE;CODE PROECEDURE;LIBELLE PROCEDURE;LIBELLE ORGANISME;BASSIN RISQUE;BASSINS HYDROGRAPHIQUES;COURS EAU;CODE INSEE REGION;NOM REGION;CODE INSEE DEPARTEMENT;NOM DEPARTEMENT;CODE INSEE COMMUNE;NOM COMMUNE;CODE RISQUE 1;LIBELLE RISQUE 1;CODE RISQUE 2;LIBELLE RISQUE 2;CODE RISQUE 2;LIBELLE RISQUE 3;PROCEDURE REVISANTE;CODES REVISES;PROCEDURE REVISEE;CODES REVISANTS;PRESCRIPTION;ENQUETE_PUBL_DEBUT;ENQUETE_PUBL_FIN;ANNEX_PLU;DEPRESCRIPTION;APPROBATION;ANNULATION;ABROGATION;LIBELLE ETAT;DATE ETAT;LIBELLE SOUS-ETAT;DATE SOUS-ETAT;DATE DERNIERE MISE A JOUR
PPRT;Plan de Prévention des Risques Technologiques;13DDTM20210001;PPRT - TOTAL Raffinage France 2023;Direction départementale des territoires et de la mer;;;;93;PROVENCE-ALPES-COTE D'AZUR;13;BOUCHES-DU-RHONE;13056;Martigues;20;Risque technologique;21;Risque industriel;213;Effet toxique;VRAI;13DREAL20090004;FAUX;;2019-10-21;;;;;2023-12-11;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;89DREAL20140003;PSV;Direction régionale de l'environnement, de l'aménagement et du logement;PSV (89);;;27;BOURGOGNE-FRANCHE-COMTE;89;YONNE;89443;Véron;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-12-10;;;;;2012-04-27;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-28
PPRT;Plan de Prévention des Risques Technologiques;85DREAL20130002;PPRT EPC France - 85;Direction régionale de l'environnement, de l'aménagement et du logement;;;;52;PAYS DE LA LOIRE;85;VENDEE;49099;Cholet;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2009-12-23;2012-10-08;2012-11-09;;;2013-02-18;;2021-08-26;Caduque;2020-01-01;Abrogé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;69DREAL20090019;74 PPRT Annecy et Seynod;Direction régionale de l'environnement, de l'aménagement et du logement;Annecy;;;84;AUVERGNE-RHONE-ALPES;74;HAUTE-SAVOIE;74010;Annecy;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-04-03;2010-11-17;2010-12-17;;;2011-04-08;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-10
PPRT;Plan de Prévention des Risques Technologiques;31DREAL20090009;PPRT - FIBRE EXCELLENCE;Direction régionale de l'environnement, de l'aménagement et du logement;SAINT-GAUDENS;;;76;OCCITANIE;31;HAUTE-GARONNE;31483;Saint-Gaudens;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2012-12-17;2015-09-21;2015-10-21;;;2015-12-30;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;75DRIEE_IF20090002;PPRT SDPN;Direction Régionale et Interdépartementale de l'Environnement et de l'Énergie d'Ile-de-France;PPRT SDPN;;;11;ILE-DE-FRANCE;92;HAUTS-DE-SEINE;95063;Bezons;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-02-25;;;;2014-05-06;;;;Caduque;2020-01-01;Déprescrit;2020-01-01;2022-04-29
PPRT;Plan de Prévention des Risques Technologiques;69DREAL20170004;69 PPRT de Genay;Direction départementale des territoires;Genay;;;84;AUVERGNE-RHONE-ALPES;69;RHONE;69278;Genay;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2011-10-11;2011-06-23;2011-06-23;;;2014-11-10;;;Opposable;2020-01-01;Approuvé;2020-01-01;2014-11-10
PPRT;Plan de Prévention des Risques Technologiques;60DREAL20140007;BASF Coatigns SAS Breuil le Sec;Direction régionale de l'environnement, de l'aménagement et du logement;;;;32;HAUTS-DE-FRANCE;60;OISE;60464;Nointel;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-12-29;2013-08-22;2013-09-23;;;2013-11-27;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-27
PPRT;Plan de Prévention des Risques Technologiques;68DREAL20140004;67 PPRT BASF;Direction régionale de l'environnement, de l'aménagement et du logement;67 PPRT BASF;;;44;GRAND EST;68;HAUT-RHIN;68149;Huningue;20;Risque technologique;21;Risque industriel;213;Effet toxique;FAUX;;FAUX;;2009-10-26;2011-10-21;2011-11-21;;;2011-12-19;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;95DDT20130002;95-60-27 PPRT STORENGY;Direction départementale des territoires;;;;11;ILE-DE-FRANCE;95;VAL-D'OISE;60487;Parnes;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2010-10-08;2013-05-30;2013-06-29;;;2013-12-13;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;41DREAL20140004;MBDA (Selles-Saint-Denis);Direction régionale de l'environnement, de l'aménagement et du logement;;;;24;CENTRE-VAL DE LOIRE;41;LOIR-ET-CHER;41044;Châtres-sur-Cher;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2010-03-16;2011-11-02;2011-12-02;;;2011-12-27;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;38DDT20140002;ARKEMA AREVA-CEZUS - Jarrie;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;38;ISERE;38071;Champ-sur-Drac;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;VRAI;38DDT20140007;2010-06-14;2010-10-15;2010-11-15;;;2010-12-20;;2015-05-22;Caduque;2020-01-01;Abrogé;2020-01-01;2020-12-04
PPRT;Plan de Prévention des Risques Technologiques;16DDT20120004;PPRT Rémy Martin et Cie;Direction départementale des territoires;;;;75;NOUVELLE-AQUITAINE;16;CHARENTE;16217;Merpins;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-12-23;2011-11-03;2011-12-05;;;2012-01-05;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;37DREAL20140005;PRIMAGAZ, CCMP, GPSPC;Direction régionale de l'environnement, de l'aménagement et du logement;Saint-Pierre-des-Corps;;;24;CENTRE-VAL DE LOIRE;37;INDRE-ET-LOIRE;37233;Saint-Pierre-des-Corps;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2009-10-27;2017-06-19;2017-07-28;;;2017-10-20;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-16
PPRT;Plan de Prévention des Risques Technologiques;29DDTM20120005;PPRT Guenvenez;Direction départementale des territoires et de la mer;Pyrotechnie militaire;;;53;BRETAGNE;29;FINISTERE;29042;Crozon;20;Risque technologique;21;Risque industriel;214;Effet de projection;FAUX;;FAUX;;2011-12-21;;;2016-07-21;;2016-03-31;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-26
PPRT;Plan de Prévention des Risques Technologiques;76DREAL20140008;Port Jérôme;Direction régionale de l'environnement, de l'aménagement et du logement;;;;28;NORMANDIE;76;SEINE-MARITIME;27518;Saint-Aubin-sur-Quillebeuf;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-05-29;2014-04-14;2014-05-21;;;2014-08-07;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;59DREAL20090007;PPRT MINAKEM;Direction régionale de l'environnement, de l'aménagement et du logement;;;;32;HAUTS-DE-FRANCE;59;NORD;59080;Beuvry-la-Forêt;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2008-12-05;2010-09-01;2010-10-01;2011-11-04;;2010-12-27;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-10
PPRT;Plan de Prévention des Risques Technologiques;38DDT20130012;NOVASEP-FINORGA - Chasse/Rhône;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;38;ISERE;38087;Chasse-sur-Rhône;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2010-08-02;2013-06-10;2013-07-12;2013-12-13;;2013-10-15;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;76DDTM20150003;ZIP Petit et Grand Quevilly;Direction départementale des territoires et de la mer;;;;28;NORMANDIE;76;SEINE-MARITIME;76322;Le Grand-Quevilly;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2012-12-13;2017-09-20;2017-11-09;;;2018-01-25;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;34DREAL20090002;PPRT - SYNGENTA;Direction régionale de l'environnement, de l'aménagement et du logement;PPRT SYNGENTA;;;76;OCCITANIE;30;GARD;30004;Aigues-Vives;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2008-12-17;;;;;2012-06-01;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;54DDT20150011;PPRT SAINT BAUSSANT;Direction départementale des territoires;Industriel;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54470;Saint-Baussant;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2015-05-11;;;;;2016-10-06;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-10
PPRT;Plan de Prévention des Risques Technologiques;41DREAL20140002;MAXAM (La ferté Imbault);Direction régionale de l'environnement, de l'aménagement et du logement;;;;24;CENTRE-VAL DE LOIRE;41;LOIR-ET-CHER;41125;Marcilly-en-Gault;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2011-04-29;2013-02-27;2013-03-29;;;2013-07-18;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
