jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,jrc_match_share,gaspar_match_share,gaspar_match_rank
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180611__20180611,INTE1820387A,2018-06-04,2018-06-18,2018-06-11,2018-06-11,6,0,7.0,7.0,14.0,14,1,2018-06-04,2018-06-18,214,14,2018-06-11,2018-06-11,122,0.028037383177570093,0.04918032786885246,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2320253A__20230619__20230621,IOME2320253A,2023-06-19,2023-06-26,2023-06-19,2023-06-21,5,0,0.0,5.0,5.0,5,3,2023-06-19,2023-06-26,50,5,2023-06-19,2023-06-21,43,0.1,0.11627906976744186,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1820387A__20180612__20180612,INTE1820387A,2018-06-11,2018-06-18,2018-06-12,2018-06-12,5,0,1.0,6.0,7.0,7,1,2018-06-11,2018-06-18,71,2,2018-06-12,2018-06-12,116,0.07042253521126761,0.04310344827586207,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1820387A__20180613__20180613,INTE1820387A,2018-06-11,2018-06-18,2018-06-13,2018-06-13,4,0,2.0,5.0,7.0,7,1,2018-06-11,2018-06-18,71,2,2018-06-13,2018-06-13,11,0.056338028169014086,0.36363636363636365,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180611__20180612,INTE1820387A,2018-06-04,2018-06-18,2018-06-11,2018-06-12,4,0,7.0,6.0,13.0,13,2,2018-06-04,2018-06-18,214,14,2018-06-11,2018-06-12,87,0.018691588785046728,0.04597701149425287,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1905473A__20181120__20181120,INTE1905473A,2018-11-19,2018-11-26,2018-11-20,2018-11-20,3,0,1.0,6.0,7.0,7,1,2018-11-19,2018-11-26,24,5,2018-11-20,2018-11-20,4,0.125,0.75,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1820387A__20180612__20180613,INTE1820387A,2018-06-11,2018-06-18,2018-06-12,2018-06-13,3,0,1.0,5.0,6.0,6,2,2018-06-11,2018-06-18,71,2,2018-06-12,2018-06-13,60,0.04225352112676056,0.05,1
WD_MERGE_2018-02-26---2018-03-05_duration_7_days_cluster_033_A0_000021_A_000025_lat_04357_lon_00435_size_0015,INTE1810998A__20180228__20180302,INTE1810998A,2018-02-26,2018-03-05,2018-02-28,2018-03-02,2,0,2.0,3.0,5.0,5,3,2018-02-26,2018-03-05,39,5,2018-02-28,2018-03-02,2,0.05128205128205128,1.0,1
WD_MERGE_2018-02-26---2018-03-05_duration_7_days_cluster_033_A0_000021_A_000025_lat_04357_lon_00435_size_0015,INTE1835008A__20180228__20180302,INTE1835008A,2018-02-26,2018-03-05,2018-02-28,2018-03-02,2,0,2.0,3.0,5.0,5,3,2018-02-26,2018-03-05,39,5,2018-02-28,2018-03-02,2,0.05128205128205128,1.0,1
WD_MERGE_2018-10-15---2018-10-22_duration_7_days_cluster_251_A0_000047_A_000055_lat_04322_lon_00298_size_0008,INTE1907677A__20181015__20181015,INTE1907677A,2018-10-15,2018-10-22,2018-10-15,2018-10-15,2,0,0.0,7.0,7.0,7,1,2018-10-15,2018-10-22,40,3,2018-10-15,2018-10-15,4,0.05,0.5,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2324728A__20230620__20230622,IOME2324728A,2023-06-19,2023-06-26,2023-06-20,2023-06-22,2,0,1.0,4.0,5.0,5,3,2023-06-19,2023-06-26,50,5,2023-06-20,2023-06-22,6,0.04,0.3333333333333333,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1820387A__20180613__20180615,INTE1820387A,2018-06-11,2018-06-18,2018-06-13,2018-06-15,2,0,2.0,3.0,5.0,5,3,2018-06-11,2018-06-18,71,2,2018-06-13,2018-06-15,3,0.028169014084507043,0.6666666666666666,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1824833A__20180612__20180613,INTE1824833A,2018-06-11,2018-06-18,2018-06-12,2018-06-13,2,0,1.0,5.0,6.0,6,2,2018-06-11,2018-06-18,71,2,2018-06-12,2018-06-13,17,0.028169014084507043,0.11764705882352941,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1824833A__20180612__20180612,INTE1824833A,2018-06-11,2018-06-18,2018-06-12,2018-06-12,2,0,1.0,6.0,7.0,7,1,2018-06-11,2018-06-18,71,2,2018-06-12,2018-06-12,33,0.028169014084507043,0.06060606060606061,1
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1630434A__20160604__20160606,INTE1630434A,2016-05-30,2016-06-13,2016-06-04,2016-06-06,2,0,5.0,7.0,12.0,12,3,2016-05-30,2016-06-13,207,13,2016-06-04,2016-06-06,3,0.00966183574879227,0.6666666666666666,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180610__20180613,INTE1820387A,2018-06-04,2018-06-18,2018-06-10,2018-06-13,2,0,6.0,5.0,11.0,11,4,2018-06-04,2018-06-18,214,14,2018-06-10,2018-06-13,2,0.009345794392523364,1.0,1
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,INTE1810998A__20180122__20180204,INTE1810998A,2018-01-15,2018-02-05,2018-01-22,2018-02-04,2,0,7.0,1.0,8.0,8,14,2018-01-15,2018-02-05,3690,60,2018-01-22,2018-02-04,10,0.0005420054200542005,0.2,1
WD_MERGE_2020-06-01---2020-06-08_duration_7_days_cluster_138_A0_000014_A_000016_lat_04355_lon_00458_size_0016,INTE2023938A__20200604__20200604,INTE2023938A,2020-06-01,2020-06-08,2020-06-04,2020-06-04,1,0,3.0,4.0,7.0,7,1,2020-06-01,2020-06-08,12,3,2020-06-04,2020-06-04,2,0.08333333333333333,0.5,1
WD_MERGE_2022-05-30---2022-06-06_duration_7_days_cluster_112_A0_000004_A_000004_lat_04877_lon_-0364_size_0007,INTE2217496A__20220603__20220605,INTE2217496A,2022-05-30,2022-06-06,2022-06-03,2022-06-05,1,0,4.0,1.0,5.0,5,3,2022-05-30,2022-06-06,18,2,2022-06-03,2022-06-05,26,0.05555555555555555,0.038461538461538464,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1905473A__20181120__20181122,INTE1905473A,2018-11-19,2018-11-26,2018-11-20,2018-11-22,1,0,1.0,4.0,5.0,5,3,2018-11-19,2018-11-26,24,5,2018-11-20,2018-11-22,1,0.041666666666666664,1.0,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1905473A__20181120__20181121,INTE1905473A,2018-11-19,2018-11-26,2018-11-20,2018-11-21,1,0,1.0,5.0,6.0,6,2,2018-11-19,2018-11-26,24,5,2018-11-20,2018-11-21,1,0.041666666666666664,1.0,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1932508A__20181120__20181120,INTE1932508A,2018-11-19,2018-11-26,2018-11-20,2018-11-20,1,0,1.0,6.0,7.0,7,1,2018-11-19,2018-11-26,24,5,2018-11-20,2018-11-20,1,0.041666666666666664,1.0,1
WD_MERGE_2018-02-26---2018-03-05_duration_7_days_cluster_033_A0_000021_A_000025_lat_04357_lon_00435_size_0015,INTE1813670A__20180228__20180302,INTE1813670A,2018-02-26,2018-03-05,2018-02-28,2018-03-02,1,0,2.0,3.0,5.0,5,3,2018-02-26,2018-03-05,39,5,2018-02-28,2018-03-02,2,0.02564102564102564,0.5,1
WD_MERGE_2018-02-26---2018-03-05_duration_7_days_cluster_033_A0_000021_A_000025_lat_04357_lon_00435_size_0015,INTE1813670A__20180228__20180301,INTE1813670A,2018-02-26,2018-03-05,2018-02-28,2018-03-01,1,0,2.0,4.0,6.0,6,2,2018-02-26,2018-03-05,39,5,2018-02-28,2018-03-01,2,0.02564102564102564,0.5,1
WD_MERGE_2018-10-15---2018-10-22_duration_7_days_cluster_251_A0_000047_A_000055_lat_04322_lon_00298_size_0008,INTE1905473A__20181015__20181015,INTE1905473A,2018-10-15,2018-10-22,2018-10-15,2018-10-15,1,0,0.0,7.0,7.0,7,1,2018-10-15,2018-10-22,40,3,2018-10-15,2018-10-15,2,0.025,0.5,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2328840A__20230620__20230623,IOME2328840A,2023-06-19,2023-06-26,2023-06-20,2023-06-23,1,0,1.0,3.0,4.0,4,4,2023-06-19,2023-06-26,50,5,2023-06-20,2023-06-23,1,0.02,1.0,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2325523A__20230621__20230621,IOME2325523A,2023-06-19,2023-06-26,2023-06-21,2023-06-21,1,0,2.0,5.0,7.0,7,1,2023-06-19,2023-06-26,50,5,2023-06-21,2023-06-21,1,0.02,1.0,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2327460A__20230620__20230620,IOME2327460A,2023-06-19,2023-06-26,2023-06-20,2023-06-20,1,0,1.0,6.0,7.0,7,1,2023-06-19,2023-06-26,50,5,2023-06-20,2023-06-20,3,0.02,0.3333333333333333,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2105706A__20201231__20210105,INTE2105706A,2021-01-04,2021-01-11,2020-12-31,2021-01-05,1,0,4.0,6.0,10.0,10,2,2021-01-04,2021-01-11,51,2,2020-12-31,2021-01-05,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2104714A__20201230__20210104,INTE2104714A,2021-01-04,2021-01-11,2020-12-30,2021-01-04,1,0,5.0,7.0,12.0,12,1,2021-01-04,2021-01-11,51,2,2020-12-30,2021-01-04,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2105706A__20201228__20210106,INTE2105706A,2021-01-04,2021-01-11,2020-12-28,2021-01-06,1,0,7.0,5.0,12.0,12,3,2021-01-04,2021-01-11,51,2,2020-12-28,2021-01-06,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2105706A__20201230__20210104,INTE2105706A,2021-01-04,2021-01-11,2020-12-30,2021-01-04,1,0,5.0,7.0,12.0,12,1,2021-01-04,2021-01-11,51,2,2020-12-30,2021-01-04,1,0.0196078431372549,1.0,1
WD_MERGE_2020-05-11---2020-05-18_duration_7_days_cluster_116_A0_000017_A_000028_lat_04375_lon_-0097_size_0011,INTE2014521A__20200512__20200515,INTE2014521A,2020-05-11,2020-05-18,2020-05-12,2020-05-15,1,0,1.0,3.0,4.0,4,4,2020-05-11,2020-05-18,60,3,2020-05-12,2020-05-15,1,0.016666666666666666,1.0,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1831446A__20180612__20180617,INTE1831446A,2018-06-11,2018-06-18,2018-06-12,2018-06-17,1,0,1.0,1.0,2.0,2,6,2018-06-11,2018-06-18,71,2,2018-06-12,2018-06-17,1,0.014084507042253521,1.0,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1824833A__20180613__20180617,INTE1824833A,2018-06-11,2018-06-18,2018-06-13,2018-06-17,1,0,2.0,1.0,3.0,3,5,2018-06-11,2018-06-18,71,2,2018-06-13,2018-06-17,1,0.014084507042253521,1.0,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1818802A__20180612__20180614,INTE1818802A,2018-06-11,2018-06-18,2018-06-12,2018-06-14,1,0,1.0,4.0,5.0,5,3,2018-06-11,2018-06-18,71,2,2018-06-12,2018-06-14,1,0.014084507042253521,1.0,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1824833A__20180614__20180614,INTE1824833A,2018-06-11,2018-06-18,2018-06-14,2018-06-14,1,0,3.0,4.0,7.0,7,1,2018-06-11,2018-06-18,71,2,2018-06-14,2018-06-14,2,0.014084507042253521,0.5,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1818802A__20180612__20180613,INTE1818802A,2018-06-11,2018-06-18,2018-06-12,2018-06-13,1,0,1.0,5.0,6.0,6,2,2018-06-11,2018-06-18,71,2,2018-06-12,2018-06-13,56,0.014084507042253521,0.017857142857142856,1
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1620877A__20160604__20160606,INTE1620877A,2016-05-30,2016-06-13,2016-06-04,2016-06-06,1,0,5.0,7.0,12.0,12,3,2016-05-30,2016-06-13,207,13,2016-06-04,2016-06-06,1,0.004830917874396135,1.0,1
WD_MERGE_2024-05-13---2024-05-20_duration_7_days_cluster_070_A0_000052_A_000061_lat_04719_lon_00110_size_0066,INTE2424582A__20240520__20240520,INTE2424582A,2024-05-13,2024-05-20,2024-05-20,2024-05-20,1,0,7.0,0.0,7.0,7,1,2024-05-13,2024-05-20,212,14,2024-05-20,2024-05-20,3,0.0047169811320754715,0.3333333333333333,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180609__20180613,INTE1820387A,2018-06-04,2018-06-18,2018-06-09,2018-06-13,1,0,5.0,5.0,10.0,10,5,2018-06-04,2018-06-18,214,14,2018-06-09,2018-06-13,1,0.004672897196261682,1.0,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1901604A__20180609__20180612,INTE1901604A,2018-06-04,2018-06-18,2018-06-09,2018-06-12,1,0,5.0,6.0,11.0,11,4,2018-06-04,2018-06-18,214,14,2018-06-09,2018-06-12,1,0.004672897196261682,1.0,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180611__20180614,INTE1820387A,2018-06-04,2018-06-18,2018-06-11,2018-06-14,1,0,7.0,4.0,11.0,11,4,2018-06-04,2018-06-18,214,14,2018-06-11,2018-06-14,2,0.004672897196261682,0.5,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1828404A__20180611__20180611,INTE1828404A,2018-06-04,2018-06-18,2018-06-11,2018-06-11,1,0,7.0,7.0,14.0,14,1,2018-06-04,2018-06-18,214,14,2018-06-11,2018-06-11,4,0.004672897196261682,0.25,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1835008A__20180611__20180611,INTE1835008A,2018-06-04,2018-06-18,2018-06-11,2018-06-11,1,0,7.0,7.0,14.0,14,1,2018-06-04,2018-06-18,214,14,2018-06-11,2018-06-11,4,0.004672897196261682,0.25,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1826529A__20180611__20180612,INTE1826529A,2018-06-04,2018-06-18,2018-06-11,2018-06-12,1,0,7.0,6.0,13.0,13,2,2018-06-04,2018-06-18,214,14,2018-06-11,2018-06-12,6,0.004672897196261682,0.16666666666666666,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180610__20180611,INTE1820387A,2018-06-04,2018-06-18,2018-06-10,2018-06-11,1,0,6.0,7.0,13.0,13,2,2018-06-04,2018-06-18,214,14,2018-06-10,2018-06-11,13,0.004672897196261682,0.07692307692307693,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1826529A__20180611__20180611,INTE1826529A,2018-06-04,2018-06-18,2018-06-11,2018-06-11,1,0,7.0,7.0,14.0,14,1,2018-06-04,2018-06-18,214,14,2018-06-11,2018-06-11,15,0.004672897196261682,0.06666666666666667,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1824833A__20180611__20180612,INTE1824833A,2018-06-04,2018-06-18,2018-06-11,2018-06-12,1,0,7.0,6.0,13.0,13,2,2018-06-04,2018-06-18,214,14,2018-06-11,2018-06-12,35,0.004672897196261682,0.02857142857142857,1
WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115,INTE1711727A__20161121__20161123,INTE1711727A,2016-11-21,2016-11-28,2016-11-21,2016-11-23,1,0,0.0,5.0,5.0,5,3,2016-11-21,2016-11-28,353,20,2016-11-21,2016-11-23,2,0.0028328611898017,0.5,1
WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115,INTE1705706A__20161121__20161122,INTE1705706A,2016-11-21,2016-11-28,2016-11-21,2016-11-22,1,0,0.0,6.0,6.0,6,2,2016-11-21,2016-11-28,353,20,2016-11-21,2016-11-22,2,0.0028328611898017,0.5,1
WD_MERGE_2023-11-27---2023-12-25_duration_28_days_cluster_355_A0_001153_A_001442_lat_04922_lon_00020_size_0374,INTE2525618A__20231130__20231230,INTE2525618A,2023-11-27,2023-12-25,2023-11-30,2023-12-30,1,0,3.0,5.0,8.0,8,26,2023-11-27,2023-12-25,1491,44,2023-11-30,2023-12-30,1,0.0006706908115358819,1.0,1
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_351_A0_002080_A_002749_lat_04958_lon_00796_size_0325,INTE1917050A__20180105__20180205,INTE1917050A,2018-01-01,2018-01-29,2018-01-05,2018-02-05,1,0,4.0,7.0,11.0,11,25,2018-01-01,2018-01-29,2327,31,2018-01-05,2018-02-05,1,0.0004297378599054577,1.0,1
WD_MERGE_2021-01-11---2021-02-15_duration_35_days_cluster_351_A0_002339_A_003019_lat_04904_lon_00226_size_0328,INTE2107265A__20210114__20210215,INTE2107265A,2021-01-11,2021-02-15,2021-01-14,2021-02-15,1,0,3.0,0.0,3.0,3,33,2021-01-11,2021-02-15,3259,56,2021-01-14,2021-02-15,1,0.0003068425897514575,1.0,1
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,INTE1928835A__20180121__20180205,INTE1928835A,2018-01-15,2018-02-05,2018-01-21,2018-02-05,1,0,6.0,0.0,6.0,6,16,2018-01-15,2018-02-05,3690,60,2018-01-21,2018-02-05,1,0.00027100271002710027,1.0,1
