jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2016-12-26---2017-01-23_duration_28_days_cluster_341_A0_000718_A_000902_lat_05400_lon_01526_size_0438,2016-12-26,2017-01-23,153,12,12
WD_MERGE_2017-01-02---2017-01-09_duration_7_days_cluster_006_A0_000001_A_000001_lat_04742_lon_00031_size_0005,2017-01-02,2017-01-09,8,2,2
WD_MERGE_2017-01-09---2017-01-16_duration_7_days_cluster_013_A0_000005_A_000007_lat_04866_lon_-0342_size_0140,2017-01-09,2017-01-16,41,2,2
WD_MERGE_2017-01-23---2017-03-27_duration_56_days_cluster_342_A0_000261_A_000316_lat_05149_lon_-0337_size_0310,2017-01-23,2017-03-27,225,16,16
WD_MERGE_2017-02-13---2017-02-20_duration_7_days_cluster_048_A0_000014_A_000017_lat_04711_lon_00526_size_0013,2017-02-13,2017-02-20,42,4,4
WD_MERGE_2017-03-06---2017-03-20_duration_14_days_cluster_058_A0_000040_A_000055_lat_04834_lon_-0141_size_0114,2017-03-06,2017-03-20,109,8,8
WD_MERGE_2017-03-20---2017-03-27_duration_7_days_cluster_071_A0_000002_A_000002_lat_04409_lon_00031_size_0045,2017-03-20,2017-03-27,45,5,5
WD_MERGE_2017-04-24---2017-05-15_duration_21_days_cluster_098_A0_000128_A_000144_lat_04437_lon_00721_size_0233,2017-04-24,2017-05-15,23,5,5
WD_MERGE_2017-06-05---2017-06-12_duration_7_days_cluster_126_A0_000001_A_000001_lat_04687_lon_-0205_size_0001,2017-06-05,2017-06-12,7,1,1
WD_MERGE_2017-06-05---2017-06-12_duration_7_days_cluster_128_A0_000013_A_000014_lat_04360_lon_00453_size_0013,2017-06-05,2017-06-12,15,4,4
WD_MERGE_2017-07-24---2017-07-31_duration_7_days_cluster_175_A0_000008_A_000009_lat_04868_lon_-0381_size_0023,2017-07-24,2017-07-31,24,2,2
WD_MERGE_2017-08-21---2017-08-28_duration_7_days_cluster_201_A0_000002_A_000003_lat_04988_lon_-0485_size_0203,2017-08-21,2017-08-28,6,1,1
WD_MERGE_2017-09-04---2017-09-11_duration_7_days_cluster_215_A0_000003_A_000005_lat_04761_lon_-0288_size_0023,2017-09-04,2017-09-11,26,2,2
WD_MERGE_2017-09-11---2017-09-18_duration_7_days_cluster_224_A0_000003_A_000003_lat_04378_lon_00452_size_0034,2017-09-11,2017-09-18,21,4,4
WD_MERGE_2017-09-25---2017-10-02_duration_7_days_cluster_241_A0_000001_A_000001_lat_04399_lon_00472_size_0033,2017-09-25,2017-10-02,17,6,6
WD_MERGE_2017-10-02---2017-10-09_duration_7_days_cluster_247_A0_000004_A_000004_lat_04878_lon_-0358_size_0003,2017-10-02,2017-10-09,15,2,2
WD_MERGE_2017-10-16---2017-10-30_duration_14_days_cluster_264_A0_000002_A_000003_lat_04401_lon_00651_size_0047,2017-10-16,2017-10-30,31,5,5
WD_MERGE_2017-10-16---2017-11-13_duration_21_days_cluster_263_A0_000116_A_000152_lat_05249_lon_-0493_size_0233,2017-10-16,2017-11-13,40,5,5
WD_MERGE_2017-11-20---2017-11-27_duration_7_days_cluster_307_A0_000001_A_000001_lat_04469_lon_-0072_size_0007,2017-11-20,2017-11-27,5,1,1
WD_MERGE_2018-08-13---2018-08-27_duration_14_days_cluster_175_A0_000011_A_000014_lat_04834_lon_-0359_size_0057,2018-08-13,2018-08-27,53,5,5
WD_MERGE_2018-10-08---2018-10-22_duration_14_days_cluster_240_A0_000050_A_000064_lat_05109_lon_-0295_size_0131,2018-10-08,2018-10-22,78,5,5
WD_MERGE_2018-10-15---2018-10-22_duration_7_days_cluster_252_A0_000003_A_000003_lat_04838_lon_00897_size_0061,2018-10-15,2018-10-22,7,1,1
WD_MERGE_2018-11-05---2018-11-26_duration_21_days_cluster_282_A0_000009_A_000011_lat_04856_lon_-0342_size_0108,2018-11-05,2018-11-26,47,5,5
WD_MERGE_2018-11-12---2018-11-26_duration_14_days_cluster_296_A0_000083_A_000097_lat_05330_lon_01073_size_0063,2018-11-12,2018-11-26,2,1,1
WD_MERGE_2018-11-26---2018-12-03_duration_7_days_cluster_314_A0_000056_A_000068_lat_05228_lon_-0203_size_0207,2018-11-26,2018-12-03,2,1,1
WD_MERGE_2018-12-03---2019-01-07_duration_35_days_cluster_328_A0_000018_A_000021_lat_04628_lon_00810_size_0137,2018-12-03,2019-01-07,44,4,4
WD_MERGE_2018-12-03---2019-01-07_duration_35_days_cluster_382_A0_000421_A_000528_lat_05199_lon_-0118_size_0484,2018-12-03,2019-01-07,331,20,20
WD_MERGE_2018-12-31---2019-02-04_duration_35_days_cluster_003_A0_000514_A_000635_lat_05181_lon_01396_size_0516,2018-12-31,2019-02-04,15,2,2
WD_MERGE_2019-01-21---2019-02-11_duration_21_days_cluster_026_A0_000107_A_000135_lat_03926_lon_-0446_size_0406,2019-01-21,2019-02-11,60,2,2
