gaspar_event_uid,cod_nat_catnat,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments
INTE1932508A__20190806__20190806,INTE1932508A,2019-08-06,2019-08-06,10,1
INTE1932508A__20190806__20190807,INTE1932508A,2019-08-06,2019-08-07,1,1
INTE1932508A__20190806__20190808,INTE1932508A,2019-08-06,2019-08-08,1,1
INTE1932508A__20191020__20191020,INTE1932508A,2019-10-20,2019-10-20,2,1
INTE1935602A__20180601__20180615,INTE1935602A,2018-06-01,2018-06-15,1,1
INTE1935602A__20180612__20180613,INTE1935602A,2018-06-12,2018-06-13,1,1
INTE1935602A__20180716__20180716,INTE1935602A,2018-07-16,2018-07-16,1,1
INTE1935602A__20190625__20190625,INTE1935602A,2019-06-25,2019-06-25,1,1
INTE1935602A__20190701__20190701,INTE1935602A,2019-07-01,2019-07-01,2,2
INTE1935602A__20190702__20190702,INTE1935602A,2019-07-02,2019-07-02,1,1
INTE1935602A__20190806__20190807,INTE1935602A,2019-08-06,2019-08-07,2,1
INTE2000203A__20191220__20191222,INTE2000203A,2019-12-20,2019-12-22,51,2
INTE2000953A__20190605__20190605,INTE2000953A,2019-06-05,2019-06-05,1,1
INTE2000953A__20191212__20191214,INTE2000953A,2019-12-12,2019-12-14,1,1
INTE2002329A__20191220__20191222,INTE2002329A,2019-12-20,2019-12-22,1,1
INTE2002329A__20191221__20191222,INTE2002329A,2019-12-21,2019-12-22,1,1
INTE2002329A__20191221__20191223,INTE2002329A,2019-12-21,2019-12-23,1,1
INTE2005870A__20180525__20180526,INTE2005870A,2018-05-25,2018-05-26,1,1
INTE2005870A__20190617__20190617,INTE2005870A,2019-06-17,2019-06-17,1,1
INTE2005870A__20191214__20191214,INTE2005870A,2019-12-14,2019-12-14,1,1
INTE2005870A__20191221__20191222,INTE2005870A,2019-12-21,2019-12-22,1,1
INTE2005870A__20191222__20191224,INTE2005870A,2019-12-22,2019-12-24,10,1
INTE2005870A__20200120__20200122,INTE2005870A,2020-01-20,2020-01-22,8,1
INTE2005870A__20200121__20200121,INTE2005870A,2020-01-21,2020-01-21,2,1
INTE2005870A__20200121__20200122,INTE2005870A,2020-01-21,2020-01-22,10,2
INTE2005870A__20200121__20200123,INTE2005870A,2020-01-21,2020-01-23,68,2
INTE2005870A__20200122__20200122,INTE2005870A,2020-01-22,2020-01-22,11,2
INTE2005870A__20200122__20200123,INTE2005870A,2020-01-22,2020-01-23,59,2
INTE2005870A__20200122__20200124,INTE2005870A,2020-01-22,2020-01-24,3,1
INTE2005870A__20200123__20200123,INTE2005870A,2020-01-23,2020-01-23,2,1
INTE2010310A__20191212__20191213,INTE2010310A,2019-12-12,2019-12-13,1,1
INTE2010310A__20191213__20191215,INTE2010310A,2019-12-13,2019-12-15,1,1
INTE2010310A__20191214__20191214,INTE2010310A,2019-12-14,2019-12-14,1,1
INTE2010310A__20200121__20200122,INTE2010310A,2020-01-21,2020-01-22,1,1
INTE2010310A__20200121__20200123,INTE2010310A,2020-01-21,2020-01-23,5,2
INTE2010310A__20200122__20200122,INTE2010310A,2020-01-22,2020-01-22,4,2
INTE2010310A__20200122__20200123,INTE2010310A,2020-01-22,2020-01-23,6,2
INTE2010310A__20200122__20200124,INTE2010310A,2020-01-22,2020-01-24,2,1
INTE2010310A__20200123__20200123,INTE2010310A,2020-01-23,2020-01-23,1,1
INTE2014521A__20200119__20200124,INTE2014521A,2020-01-19,2020-01-24,1,1
INTE2014521A__20200121__20200122,INTE2014521A,2020-01-21,2020-01-22,1,1
INTE2014521A__20200121__20200123,INTE2014521A,2020-01-21,2020-01-23,5,2
INTE2014521A__20200122__20200122,INTE2014521A,2020-01-22,2020-01-22,2,2
INTE2014521A__20200122__20200123,INTE2014521A,2020-01-22,2020-01-23,5,1
INTE2014521A__20200122__20200124,INTE2014521A,2020-01-22,2020-01-24,1,1
INTE2014521A__20200123__20200123,INTE2014521A,2020-01-23,2020-01-23,2,1
INTE2014521A__20200427__20200427,INTE2014521A,2020-04-27,2020-04-27,1,1
INTE2014521A__20200510__20200512,INTE2014521A,2020-05-10,2020-05-12,15,1
INTE2016904A__20180106__20180307,INTE2016904A,2018-01-06,2018-03-07,1,1
INTE2016904A__20200121__20200123,INTE2016904A,2020-01-21,2020-01-23,6,1
INTE2016904A__20200510__20200511,INTE2016904A,2020-05-10,2020-05-11,14,2
INTE2016904A__20200510__20200512,INTE2016904A,2020-05-10,2020-05-12,1,1
INTE2016904A__20200519__20200519,INTE2016904A,2020-05-19,2020-05-19,1,1
INTE2016904A__20200603__20200603,INTE2016904A,2020-06-03,2020-06-03,3,1
INTE2016904A__20200603__20200604,INTE2016904A,2020-06-03,2020-06-04,1,1
INTE2016904A__20200611__20200611,INTE2016904A,2020-06-11,2020-06-11,1,1
INTE2016904A__20200617__20200617,INTE2016904A,2020-06-17,2020-06-17,1,1
INTE2019260A__20190615__20190615,INTE2019260A,2019-06-15,2019-06-15,1,1
INTE2019260A__20200110__20200117,INTE2019260A,2020-01-10,2020-01-17,1,1
INTE2019260A__20200121__20200123,INTE2019260A,2020-01-21,2020-01-23,1,1
INTE2019260A__20200122__20200123,INTE2019260A,2020-01-22,2020-01-23,1,1
INTE2019260A__20200601__20200601,INTE2019260A,2020-06-01,2020-06-01,3,1
INTE2019260A__20200603__20200603,INTE2019260A,2020-06-03,2020-06-03,2,2
INTE2019260A__20200608__20200608,INTE2019260A,2020-06-08,2020-06-08,1,1
INTE2019260A__20200610__20200613,INTE2019260A,2020-06-10,2020-06-13,1,1
INTE2019260A__20200611__20200613,INTE2019260A,2020-06-11,2020-06-13,1,1
INTE2019260A__20200612__20200612,INTE2019260A,2020-06-12,2020-06-12,2,1
INTE2019260A__20200612__20200613,INTE2019260A,2020-06-12,2020-06-13,3,1
INTE2019260A__20200617__20200617,INTE2019260A,2020-06-17,2020-06-17,3,3
INTE2019260A__20200625__20200625,INTE2019260A,2020-06-25,2020-06-25,1,1
INTE2019260A__20200626__20200626,INTE2019260A,2020-06-26,2020-06-26,2,2
INTE2023938A__20160531__20160609,INTE2023938A,2016-05-31,2016-06-09,1,1
INTE2023938A__20160602__20160605,INTE2023938A,2016-06-02,2016-06-05,1,1
INTE2023938A__20191220__20191222,INTE2023938A,2019-12-20,2019-12-22,1,1
INTE2023938A__20200122__20200122,INTE2023938A,2020-01-22,2020-01-22,1,1
INTE2023938A__20200122__20200123,INTE2023938A,2020-01-22,2020-01-23,3,1
INTE2023938A__20200427__20200427,INTE2023938A,2020-04-27,2020-04-27,1,1
INTE2023938A__20200509__20200510,INTE2023938A,2020-05-09,2020-05-10,1,1
INTE2023938A__20200602__20200602,INTE2023938A,2020-06-02,2020-06-02,2,1
INTE2023938A__20200603__20200603,INTE2023938A,2020-06-03,2020-06-03,1,1
INTE2023938A__20200612__20200612,INTE2023938A,2020-06-12,2020-06-12,4,2
INTE2023938A__20200617__20200617,INTE2023938A,2020-06-17,2020-06-17,2,2
INTE2023938A__20200625__20200625,INTE2023938A,2020-06-25,2020-06-25,5,3
INTE2023938A__20200626__20200626,INTE2023938A,2020-06-26,2020-06-26,10,7
INTE2023938A__20200701__20200701,INTE2023938A,2020-07-01,2020-07-01,1,1
INTE2023938A__20200710__20200710,INTE2023938A,2020-07-10,2020-07-10,1,1
INTE2023938A__20200809__20200809,INTE2023938A,2020-08-09,2020-08-09,1,1
INTE2023938A__20200811__20200811,INTE2023938A,2020-08-11,2020-08-11,2,1
INTE2023938A__20200812__20200812,INTE2023938A,2020-08-12,2020-08-12,7,3
INTE2023938A__20200812__20200813,INTE2023938A,2020-08-12,2020-08-13,1,1
INTE2023938A__20200813__20200813,INTE2023938A,2020-08-13,2020-08-13,5,3
INTE2024953A__20200919__20200920,INTE2024953A,2020-09-19,2020-09-20,26,2
INTE2026671A__20201002__20201003,INTE2026671A,2020-10-02,2020-10-03,55,1
INTE2027600A__20200121__20200123,INTE2027600A,2020-01-21,2020-01-23,2,1
INTE2027600A__20200309__20200311,INTE2027600A,2020-03-09,2020-03-11,1,1
INTE2027600A__20200510__20200510,INTE2027600A,2020-05-10,2020-05-10,2,2
INTE2027600A__20200510__20200511,INTE2027600A,2020-05-10,2020-05-11,2,1
INTE2027600A__20200511__20200511,INTE2027600A,2020-05-11,2020-05-11,1,1
INTE2027600A__20200601__20200601,INTE2027600A,2020-06-01,2020-06-01,2,1
INTE2027600A__20200603__20200603,INTE2027600A,2020-06-03,2020-06-03,3,2
INTE2027600A__20200611__20200611,INTE2027600A,2020-06-11,2020-06-11,1,1
INTE2027600A__20200612__20200613,INTE2027600A,2020-06-12,2020-06-13,1,1
INTE2027600A__20200625__20200626,INTE2027600A,2020-06-25,2020-06-26,1,1
INTE2027600A__20200721__20200721,INTE2027600A,2020-07-21,2020-07-21,4,1
INTE2027600A__20200801__20200802,INTE2027600A,2020-08-01,2020-08-02,1,1
INTE2027600A__20200809__20200809,INTE2027600A,2020-08-09,2020-08-09,1,1
INTE2027600A__20200811__20200811,INTE2027600A,2020-08-11,2020-08-11,2,2
INTE2027600A__20200812__20200812,INTE2027600A,2020-08-12,2020-08-12,5,3
INTE2027600A__20200812__20200813,INTE2027600A,2020-08-12,2020-08-13,1,1
INTE2027600A__20200813__20200813,INTE2027600A,2020-08-13,2020-08-13,11,3
INTE2027600A__20200814__20200814,INTE2027600A,2020-08-14,2020-08-14,3,2
INTE2027600A__20200916__20200916,INTE2027600A,2020-09-16,2020-09-16,1,1
INTE2027600A__20200919__20200920,INTE2027600A,2020-09-19,2020-09-20,18,2
INTE2027600A__20201002__20201002,INTE2027600A,2020-10-02,2020-10-02,1,1
INTE2027600A__20201002__20201003,INTE2027600A,2020-10-02,2020-10-03,6,1
INTE2031566A__20190827__20190827,INTE2031566A,2019-08-27,2019-08-27,1,1
INTE2031566A__20191031__20191031,INTE2031566A,2019-10-31,2019-10-31,2,1
INTE2031566A__20191031__20191101,INTE2031566A,2019-10-31,2019-11-01,1,1
INTE2031566A__20200122__20200123,INTE2031566A,2020-01-22,2020-01-23,1,1
INTE2031566A__20200511__20200511,INTE2031566A,2020-05-11,2020-05-11,1,1
INTE2031566A__20200612__20200613,INTE2031566A,2020-06-12,2020-06-13,1,1
INTE2031566A__20200801__20200801,INTE2031566A,2020-08-01,2020-08-01,1,1
INTE2031566A__20200811__20200811,INTE2031566A,2020-08-11,2020-08-11,11,4
INTE2031566A__20200812__20200812,INTE2031566A,2020-08-12,2020-08-12,3,2
INTE2031566A__20200813__20200813,INTE2031566A,2020-08-13,2020-08-13,4,3
INTE2031566A__20200920__20200920,INTE2031566A,2020-09-20,2020-09-20,4,2
INTE2031566A__20200924__20200924,INTE2031566A,2020-09-24,2020-09-24,2,2
INTE2031566A__20201002__20201002,INTE2031566A,2020-10-02,2020-10-02,1,1
INTE2031566A__20201023__20201023,INTE2031566A,2020-10-23,2020-10-23,1,1
INTE2031566A__20201107__20201108,INTE2031566A,2020-11-07,2020-11-08,3,1
INTE2031566A__20201109__20201110,INTE2031566A,2020-11-09,2020-11-10,2,1
INTE2031566A__20201110__20201110,INTE2031566A,2020-11-10,2020-11-10,1,1
INTE2031566A__20201110__20201111,INTE2031566A,2020-11-10,2020-11-11,5,1
INTE2034504A__20191213__20191214,INTE2034504A,2019-12-13,2019-12-14,2,2
INTE2034504A__20200509__20200511,INTE2034504A,2020-05-09,2020-05-11,1,1
INTE2034504A__20200510__20200510,INTE2034504A,2020-05-10,2020-05-10,2,1
INTE2034504A__20200510__20200511,INTE2034504A,2020-05-10,2020-05-11,2,2
INTE2034504A__20200813__20200813,INTE2034504A,2020-08-13,2020-08-13,1,1
INTE2034504A__20200816__20200816,INTE2034504A,2020-08-16,2020-08-16,1,1
INTE2034504A__20200919__20200919,INTE2034504A,2020-09-19,2020-09-19,1,1
INTE2034504A__20200919__20200920,INTE2034504A,2020-09-19,2020-09-20,1,1
INTE2034504A__20200922__20200922,INTE2034504A,2020-09-22,2020-09-22,1,1
INTE2034504A__20201002__20201002,INTE2034504A,2020-10-02,2020-10-02,1,1
INTE2034504A__20201002__20201003,INTE2034504A,2020-10-02,2020-10-03,1,1
INTE2034504A__20201107__20201108,INTE2034504A,2020-11-07,2020-11-08,1,1
INTE2034504A__20201109__20201110,INTE2034504A,2020-11-09,2020-11-10,4,1
INTE2034504A__20201109__20201111,INTE2034504A,2020-11-09,2020-11-11,1,1
INTE2101163A__20180611__20180612,INTE2101163A,2018-06-11,2018-06-12,1,1
INTE2101163A__20191220__20191221,INTE2101163A,2019-12-20,2019-12-21,1,1
INTE2101163A__20200417__20200417,INTE2101163A,2020-04-17,2020-04-17,1,1
INTE2101163A__20200510__20200511,INTE2101163A,2020-05-10,2020-05-11,1,1
INTE2101163A__20200511__20200511,INTE2101163A,2020-05-11,2020-05-11,1,1
INTE2101163A__20200617__20200617,INTE2101163A,2020-06-17,2020-06-17,3,3
INTE2101163A__20200626__20200626,INTE2101163A,2020-06-26,2020-06-26,1,1
INTE2101163A__20200811__20200811,INTE2101163A,2020-08-11,2020-08-11,1,1
INTE2101163A__20200812__20200812,INTE2101163A,2020-08-12,2020-08-12,3,1
INTE2101163A__20200911__20200911,INTE2101163A,2020-09-11,2020-09-11,1,1
INTE2101163A__20200919__20200919,INTE2101163A,2020-09-19,2020-09-19,4,1
INTE2104714A__20200626__20200626,INTE2104714A,2020-06-26,2020-06-26,4,1
INTE2104714A__20200811__20200811,INTE2104714A,2020-08-11,2020-08-11,2,1
INTE2104714A__20200920__20200920,INTE2104714A,2020-09-20,2020-09-20,2,1
INTE2104714A__20200922__20200922,INTE2104714A,2020-09-22,2020-09-22,1,1
INTE2105706A__20210130__20210201,INTE2105706A,2021-01-30,2021-02-01,3,1
INTE2107265A__20200509__20200510,INTE2107265A,2020-05-09,2020-05-10,1,1
INTE2107265A__20201002__20201002,INTE2107265A,2020-10-02,2020-10-02,1,1
INTE2107265A__20201228__20201228,INTE2107265A,2020-12-28,2020-12-28,1,1
INTE2107265A__20210210__20210210,INTE2107265A,2021-02-10,2021-02-10,2,1
INTE2112076A__20200601__20200601,INTE2112076A,2020-06-01,2020-06-01,1,1
INTE2112076A__20210201__20210201,INTE2112076A,2021-02-01,2021-02-01,1,1
INTE2112076A__20210209__20210210,INTE2112076A,2021-02-09,2021-02-10,1,1
INTE2114774A__20200507__20200508,INTE2114774A,2020-05-07,2020-05-08,1,1
INTE2114774A__20200507__20200518,INTE2114774A,2020-05-07,2020-05-18,1,1
INTE2114774A__20200510__20200511,INTE2114774A,2020-05-10,2020-05-11,1,1
INTE2118484A__20200510__20200511,INTE2118484A,2020-05-10,2020-05-11,1,1
INTE2118484A__20200511__20200513,INTE2118484A,2020-05-11,2020-05-13,1,1
INTE2118484A__20200919__20200919,INTE2118484A,2020-09-19,2020-09-19,1,1
INTE2118484A__20210416__20210416,INTE2118484A,2021-04-16,2021-04-16,1,1
INTE2118484A__20210510__20210510,INTE2118484A,2021-05-10,2021-05-10,1,1
INTE2118484A__20210510__20210511,INTE2118484A,2021-05-10,2021-05-11,2,1
INTE2118484A__20210516__20210516,INTE2118484A,2021-05-16,2021-05-16,1,1
INTE2118484A__20210602__20210602,INTE2118484A,2021-06-02,2021-06-02,16,3
INTE2118484A__20210604__20210604,INTE2118484A,2021-06-04,2021-06-04,7,3
INTE2119792A__20210131__20210201,INTE2119792A,2021-01-31,2021-02-01,1,1
INTE2119792A__20210510__20210511,INTE2119792A,2021-05-10,2021-05-11,4,1
INTE2119792A__20210601__20210601,INTE2119792A,2021-06-01,2021-06-01,1,1
INTE2119792A__20210602__20210602,INTE2119792A,2021-06-02,2021-06-02,25,5
INTE2119792A__20210602__20210603,INTE2119792A,2021-06-02,2021-06-03,2,1
INTE2119792A__20210602__20210604,INTE2119792A,2021-06-02,2021-06-04,1,1
INTE2119792A__20210603__20210603,INTE2119792A,2021-06-03,2021-06-03,3,3
INTE2119792A__20210603__20210604,INTE2119792A,2021-06-03,2021-06-04,1,1
INTE2119792A__20210604__20210604,INTE2119792A,2021-06-04,2021-06-04,12,4
INTE2119792A__20210604__20210605,INTE2119792A,2021-06-04,2021-06-05,1,1
INTE2119792A__20210605__20210605,INTE2119792A,2021-06-05,2021-06-05,1,1
INTE2119792A__20210608__20210608,INTE2119792A,2021-06-08,2021-06-08,4,2
INTE2119792A__20210609__20210609,INTE2119792A,2021-06-09,2021-06-09,3,3
INTE2119792A__20210610__20210610,INTE2119792A,2021-06-10,2021-06-10,1,1
INTE2119792A__20210617__20210619,INTE2119792A,2021-06-17,2021-06-19,64,2
INTE2119792A__20210621__20210621,INTE2119792A,2021-06-21,2021-06-21,2,1
INTE2121339A__20210510__20210511,INTE2121339A,2021-05-10,2021-05-11,4,3
INTE2121339A__20210516__20210516,INTE2121339A,2021-05-16,2021-05-16,1,1
INTE2121339A__20210602__20210602,INTE2121339A,2021-06-02,2021-06-02,6,2
INTE2121339A__20210603__20210603,INTE2121339A,2021-06-03,2021-06-03,4,2
INTE2121339A__20210603__20210604,INTE2121339A,2021-06-03,2021-06-04,1,1
INTE2121339A__20210604__20210604,INTE2121339A,2021-06-04,2021-06-04,5,4
INTE2121339A__20210617__20210619,INTE2121339A,2021-06-17,2021-06-19,1,1
INTE2121339A__20210618__20210620,INTE2121339A,2021-06-18,2021-06-20,11,1
INTE2121339A__20210619__20210619,INTE2121339A,2021-06-19,2021-06-19,1,1
INTE2121339A__20210620__20210622,INTE2121339A,2021-06-20,2021-06-22,7,1
INTE2121339A__20210623__20210623,INTE2121339A,2021-06-23,2021-06-23,1,1
INTE2121339A__20210627__20210628,INTE2121339A,2021-06-27,2021-06-28,1,1
INTE2121339A__20210627__20210629,INTE2121339A,2021-06-27,2021-06-29,16,1
INTE2122514A__20210123__20210123,INTE2122514A,2021-01-23,2021-01-23,1,1
INTE2122514A__20210602__20210602,INTE2122514A,2021-06-02,2021-06-02,13,3
INTE2122514A__20210602__20210603,INTE2122514A,2021-06-02,2021-06-03,4,2
INTE2122514A__20210602__20210604,INTE2122514A,2021-06-02,2021-06-04,1,1
INTE2122514A__20210603__20210604,INTE2122514A,2021-06-03,2021-06-04,7,2
INTE2122514A__20210604__20210604,INTE2122514A,2021-06-04,2021-06-04,3,3
INTE2122514A__20210609__20210609,INTE2122514A,2021-06-09,2021-06-09,1,1
INTE2122514A__20210617__20210617,INTE2122514A,2021-06-17,2021-06-17,6,2
INTE2122514A__20210618__20210620,INTE2122514A,2021-06-18,2021-06-20,1,1
INTE2122514A__20210620__20210622,INTE2122514A,2021-06-20,2021-06-22,2,1
INTE2122514A__20210622__20210623,INTE2122514A,2021-06-22,2021-06-23,1,1
INTE2122514A__20210626__20210626,INTE2122514A,2021-06-26,2021-06-26,1,1
INTE2122514A__20210626__20210627,INTE2122514A,2021-06-26,2021-06-27,1,1
INTE2122514A__20210627__20210628,INTE2122514A,2021-06-27,2021-06-28,5,1
INTE2122514A__20210627__20210629,INTE2122514A,2021-06-27,2021-06-29,2,1
INTE2122514A__20210628__20210629,INTE2122514A,2021-06-28,2021-06-29,2,1
INTE2122514A__20210703__20210703,INTE2122514A,2021-07-03,2021-07-03,1,1
INTE2122514A__20210712__20210713,INTE2122514A,2021-07-12,2021-07-13,7,1
INTE2122730A__20210605__20210605,INTE2122730A,2021-06-05,2021-06-05,1,1
INTE2124447A__20210510__20210511,INTE2124447A,2021-05-10,2021-05-11,1,1
INTE2124447A__20210602__20210602,INTE2124447A,2021-06-02,2021-06-02,1,1
INTE2124447A__20210604__20210604,INTE2124447A,2021-06-04,2021-06-04,1,1
INTE2124447A__20210617__20210618,INTE2124447A,2021-06-17,2021-06-18,2,1
INTE2124447A__20210618__20210620,INTE2124447A,2021-06-18,2021-06-20,1,1
INTE2124447A__20210622__20210623,INTE2124447A,2021-06-22,2021-06-23,1,1
INTE2124447A__20210627__20210627,INTE2124447A,2021-06-27,2021-06-27,1,1
INTE2124447A__20210627__20210628,INTE2124447A,2021-06-27,2021-06-28,3,1
INTE2124447A__20210707__20210707,INTE2124447A,2021-07-07,2021-07-07,1,1
INTE2124447A__20210712__20210713,INTE2124447A,2021-07-12,2021-07-13,1,1
INTE2124447A__20210712__20210714,INTE2124447A,2021-07-12,2021-07-14,1,1
INTE2124447A__20210713__20210714,INTE2124447A,2021-07-13,2021-07-14,5,1
INTE2127287A__20210223__20210224,INTE2127287A,2021-02-23,2021-02-24,1,1
INTE2127287A__20210314__20210314,INTE2127287A,2021-03-14,2021-03-14,1,1
INTE2127287A__20210516__20210517,INTE2127287A,2021-05-16,2021-05-17,1,1
INTE2127287A__20210602__20210603,INTE2127287A,2021-06-02,2021-06-03,1,1
INTE2127287A__20210603__20210604,INTE2127287A,2021-06-03,2021-06-04,1,1
INTE2127287A__20210604__20210604,INTE2127287A,2021-06-04,2021-06-04,5,3
INTE2127287A__20210604__20210605,INTE2127287A,2021-06-04,2021-06-05,1,1
INTE2127287A__20210608__20210608,INTE2127287A,2021-06-08,2021-06-08,1,1
INTE2127287A__20210609__20210609,INTE2127287A,2021-06-09,2021-06-09,1,1
INTE2127287A__20210622__20210623,INTE2127287A,2021-06-22,2021-06-23,1,1
INTE2127287A__20210626__20210626,INTE2127287A,2021-06-26,2021-06-26,2,1
INTE2127287A__20210626__20210627,INTE2127287A,2021-06-26,2021-06-27,1,1
INTE2127287A__20210627__20210627,INTE2127287A,2021-06-27,2021-06-27,1,1
INTE2127287A__20210627__20210628,INTE2127287A,2021-06-27,2021-06-28,1,1
INTE2127287A__20210628__20210628,INTE2127287A,2021-06-28,2021-06-28,2,2
INTE2127287A__20210712__20210713,INTE2127287A,2021-07-12,2021-07-13,8,3
INTE2127287A__20210713__20210713,INTE2127287A,2021-07-13,2021-07-13,1,1
INTE2127287A__20210723__20210724,INTE2127287A,2021-07-23,2021-07-24,1,1
INTE2127287A__20210724__20210726,INTE2127287A,2021-07-24,2021-07-26,4,1
INTE2127287A__20210725__20210726,INTE2127287A,2021-07-25,2021-07-26,1,1
INTE2127287A__20210726__20210726,INTE2127287A,2021-07-26,2021-07-26,8,2
INTE2127287A__20210727__20210727,INTE2127287A,2021-07-27,2021-07-27,1,1
INTE2127287A__20210804__20210804,INTE2127287A,2021-08-04,2021-08-04,1,1
INTE2127287A__20210812__20210812,INTE2127287A,2021-08-12,2021-08-12,1,1
INTE2127287A__20210815__20210815,INTE2127287A,2021-08-15,2021-08-15,1,1
INTE2128151A__20210603__20210604,INTE2128151A,2021-06-03,2021-06-04,2,2
INTE2128151A__20210604__20210604,INTE2128151A,2021-06-04,2021-06-04,1,1
INTE2128151A__20210626__20210626,INTE2128151A,2021-06-26,2021-06-26,2,2
INTE2128151A__20210721__20210721,INTE2128151A,2021-07-21,2021-07-21,1,1
INTE2128151A__20210730__20210730,INTE2128151A,2021-07-30,2021-07-30,1,1
INTE2128151A__20210812__20210812,INTE2128151A,2021-08-12,2021-08-12,1,1
INTE2128151A__20210824__20210824,INTE2128151A,2021-08-24,2021-08-24,1,1
INTE2128151A__20210903__20210903,INTE2128151A,2021-09-03,2021-09-03,3,1
INTE2128151A__20210908__20210910,INTE2128151A,2021-09-08,2021-09-10,58,3
INTE2128151A__20210914__20210915,INTE2128151A,2021-09-14,2021-09-15,27,3
INTE2128151A__20210914__20210916,INTE2128151A,2021-09-14,2021-09-16,60,2
INTE2130679A__20211002__20211004,INTE2130679A,2021-10-02,2021-10-04,6,1
INTE2130680A__20210201__20210202,INTE2130680A,2021-02-01,2021-02-02,1,1
INTE2130680A__20210603__20210603,INTE2130680A,2021-06-03,2021-06-03,2,1
INTE2130680A__20210604__20210604,INTE2130680A,2021-06-04,2021-06-04,2,2
INTE2130680A__20210616__20210617,INTE2130680A,2021-06-16,2021-06-17,3,1
INTE2130680A__20210617__20210617,INTE2130680A,2021-06-17,2021-06-17,1,1
INTE2130680A__20210621__20210621,INTE2130680A,2021-06-21,2021-06-21,1,1
INTE2130680A__20210622__20210622,INTE2130680A,2021-06-22,2021-06-22,2,1
INTE2130680A__20210627__20210628,INTE2130680A,2021-06-27,2021-06-28,1,1
INTE2130680A__20210712__20210714,INTE2130680A,2021-07-12,2021-07-14,2,1
INTE2130680A__20210724__20210726,INTE2130680A,2021-07-24,2021-07-26,1,1
INTE2130680A__20210828__20210828,INTE2130680A,2021-08-28,2021-08-28,2,1
INTE2130680A__20210903__20210903,INTE2130680A,2021-09-03,2021-09-03,4,1
INTE2130680A__20210904__20210904,INTE2130680A,2021-09-04,2021-09-04,1,1
INTE2130680A__20210908__20210910,INTE2130680A,2021-09-08,2021-09-10,1,1
INTE2130680A__20210909__20210909,INTE2130680A,2021-09-09,2021-09-09,1,1
INTE2130680A__20210914__20210914,INTE2130680A,2021-09-14,2021-09-14,2,1
INTE2130680A__20210914__20210915,INTE2130680A,2021-09-14,2021-09-15,2,1
INTE2130680A__20210915__20210915,INTE2130680A,2021-09-15,2021-09-15,2,1
INTE2130680A__20210926__20210926,INTE2130680A,2021-09-26,2021-09-26,1,1
INTE2137449A__20210622__20210622,INTE2137449A,2021-06-22,2021-06-22,1,1
INTE2137449A__20210703__20210703,INTE2137449A,2021-07-03,2021-07-03,1,1
INTE2137449A__20210824__20210824,INTE2137449A,2021-08-24,2021-08-24,1,1
INTE2137449A__20210914__20210914,INTE2137449A,2021-09-14,2021-09-14,1,1
INTE2137449A__20210914__20210915,INTE2137449A,2021-09-14,2021-09-15,3,1
INTE2137449A__20211002__20211004,INTE2137449A,2021-10-02,2021-10-04,1,1
INTE2137449A__20211003__20211005,INTE2137449A,2021-10-03,2021-10-05,5,2
INTE2137449A__20211114__20211115,INTE2137449A,2021-11-14,2021-11-15,4,1
INTE2137449A__20211123__20211124,INTE2137449A,2021-11-23,2021-11-24,6,1
INTE2201262A__20200612__20200612,INTE2201262A,2020-06-12,2020-06-12,1,1
INTE2201262A__20210603__20210603,INTE2201262A,2021-06-03,2021-06-03,2,1
INTE2201262A__20210609__20210609,INTE2201262A,2021-06-09,2021-06-09,1,1
INTE2201262A__20210617__20210617,INTE2201262A,2021-06-17,2021-06-17,1,1
INTE2201262A__20210619__20210619,INTE2201262A,2021-06-19,2021-06-19,1,1
INTE2201262A__20210619__20210620,INTE2201262A,2021-06-19,2021-06-20,1,1
INTE2201262A__20210620__20210620,INTE2201262A,2021-06-20,2021-06-20,2,1
INTE2201262A__20210622__20210622,INTE2201262A,2021-06-22,2021-06-22,1,1
INTE2201262A__20210706__20210706,INTE2201262A,2021-07-06,2021-07-06,3,1
INTE2201262A__20210731__20210801,INTE2201262A,2021-07-31,2021-08-01,1,1
INTE2201262A__20210904__20210904,INTE2201262A,2021-09-04,2021-09-04,1,1
INTE2201262A__20210909__20210910,INTE2201262A,2021-09-09,2021-09-10,1,1
INTE2201262A__20210914__20210915,INTE2201262A,2021-09-14,2021-09-15,1,1
INTE2201262A__20210915__20210915,INTE2201262A,2021-09-15,2021-09-15,2,2
INTE2201262A__20211004__20211004,INTE2201262A,2021-10-04,2021-10-04,1,1
INTE2201262A__20211123__20211124,INTE2201262A,2021-11-23,2021-11-24,1,1
INTE2204344A__20200510__20200510,INTE2204344A,2020-05-10,2020-05-10,1,1
INTE2204344A__20210314__20210314,INTE2204344A,2021-03-14,2021-03-14,1,1
INTE2204344A__20210604__20210604,INTE2204344A,2021-06-04,2021-06-04,1,1
INTE2204344A__20210604__20210605,INTE2204344A,2021-06-04,2021-06-05,1,1
INTE2204344A__20210619__20210619,INTE2204344A,2021-06-19,2021-06-19,1,1
INTE2204344A__20210619__20210622,INTE2204344A,2021-06-19,2021-06-22,1,1
INTE2204344A__20210626__20210627,INTE2204344A,2021-06-26,2021-06-27,1,1
INTE2204344A__20210713__20210713,INTE2204344A,2021-07-13,2021-07-13,1,1
