jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank
WD_MERGE_2020-11-30---2021-01-04_duration_35_days_cluster_394_A0_000853_A_001042_lat_04937_lon_-0214_size_0264,INTE2104714A__20210203__20210209,INTE2104714A,2020-11-30,2021-01-04,2021-02-03,2021-02-09,31,0,0,0,31,65.0,36.0,101.0,101,0,2020-11-30,2021-01-04,821,28,28,2021-02-03,2021-02-09,86,3,0.037758830694275276,0.36046511627906974,1
WD_MERGE_2019-10-07---2019-12-02_duration_42_days_cluster_348_A0_000880_A_001045_lat_04970_lon_-0128_size_0367,INTE1931207A__20191022__20191023,INTE1931207A,2019-10-07,2019-12-02,2019-10-22,2019-10-23,28,0,0,0,28,15.0,40.0,55.0,55,2,2019-10-07,2019-12-02,621,24,24,2019-10-22,2019-10-23,186,6,0.04508856682769726,0.15053763440860216,1
WD_MERGE_2024-05-13---2024-07-01_duration_49_days_cluster_364_A0_002268_A_002512_lat_04864_lon_01385_size_0345,IOME2418595A__20240617__20240621,IOME2418595A,2024-05-13,2024-07-01,2024-06-17,2024-06-21,23,0,0,0,23,35.0,10.0,45.0,45,5,2024-05-13,2024-07-01,165,22,22,2024-06-17,2024-06-21,290,9,0.1393939393939394,0.07931034482758621,1
WD_MERGE_2023-11-27---2023-12-25_duration_28_days_cluster_355_A0_001153_A_001442_lat_04922_lon_00020_size_0374,IOME2400969A__20231206__20231224,IOME2400969A,2023-11-27,2023-12-25,2023-12-06,2023-12-24,21,0,21,21,21,9.0,1.0,10.0,10,19,2023-11-27,2023-12-25,1491,44,44,2023-12-06,2023-12-24,42,2,0.014084507042253521,0.5,1
WD_MERGE_2024-01-01---2024-02-05_duration_35_days_cluster_333_A0_001861_A_002025_lat_04966_lon_00582_size_0555,IOME2400974A__20231227__20240111,IOME2400974A,2024-01-01,2024-02-05,2023-12-27,2024-01-11,20,0,20,0,20,5.0,25.0,30.0,30,11,2024-01-01,2024-02-05,1975,45,45,2023-12-27,2024-01-11,165,2,0.010126582278481013,0.12121212121212122,1
WD_MERGE_2018-10-15---2018-10-22_duration_7_days_cluster_251_A0_000047_A_000055_lat_04322_lon_00298_size_0008,INTE1828277A__20181014__20181015,INTE1828277A,2018-10-15,2018-10-22,2018-10-14,2018-10-15,18,0,18,18,18,1.0,7.0,8.0,8,1,2018-10-15,2018-10-22,40,3,3,2018-10-14,2018-10-15,126,1,0.45,0.14285714285714285,1
WD_MERGE_2024-07-01---2024-07-08_duration_7_days_cluster_118_A0_000009_A_000009_lat_04830_lon_00554_size_0025,IOME2420215A__20240627__20240701,IOME2420215A,2024-07-01,2024-07-08,2024-06-27,2024-07-01,15,0,15,15,15,4.0,7.0,11.0,11,1,2024-07-01,2024-07-08,62,7,7,2024-06-27,2024-07-01,40,1,0.24193548387096775,0.375,1
WD_MERGE_2020-11-09---2021-01-04_duration_56_days_cluster_393_A0_000699_A_000848_lat_05106_lon_-0049_size_0220,INTE2104714A__20210203__20210209,INTE2104714A,2020-11-09,2021-01-04,2021-02-03,2021-02-09,15,0,0,0,15,86.0,36.0,122.0,122,0,2020-11-09,2021-01-04,766,38,38,2021-02-03,2021-02-09,86,3,0.0195822454308094,0.1744186046511628,1
WD_MERGE_2024-02-19---2024-03-18_duration_21_days_cluster_347_A0_000534_A_000577_lat_04734_lon_00149_size_0292,IOME2410127A__20240329__20240404,IOME2410127A,2024-02-19,2024-03-18,2024-03-29,2024-04-04,14,0,0,0,14,39.0,17.0,56.0,56,0,2024-02-19,2024-03-18,1245,54,54,2024-03-29,2024-04-04,150,4,0.011244979919678716,0.09333333333333334,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2320253A__20230620__20230622,IOME2320253A,2023-06-19,2023-06-26,2023-06-20,2023-06-22,13,0,13,13,13,1.0,4.0,5.0,5,3,2023-06-19,2023-06-26,50,5,5,2023-06-20,2023-06-22,96,2,0.26,0.13541666666666666,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180609__20180611,INTE1820387A,2018-06-04,2018-06-18,2018-06-09,2018-06-11,13,0,13,13,13,5.0,7.0,12.0,12,3,2018-06-04,2018-06-18,214,14,14,2018-06-09,2018-06-11,41,3,0.06074766355140187,0.3170731707317073,1
WD_MERGE_2023-12-11---2024-01-01_duration_21_days_cluster_358_A0_001246_A_001597_lat_05134_lon_00222_size_0362,IOME2400969A__20231206__20231224,IOME2400969A,2023-12-11,2024-01-01,2023-12-06,2023-12-24,13,0,13,13,13,5.0,8.0,13.0,13,14,2023-12-11,2024-01-01,803,28,28,2023-12-06,2023-12-24,42,2,0.0161892901618929,0.30952380952380953,1
WD_MERGE_2021-01-11---2021-03-22_duration_56_days_cluster_352_A0_000478_A_000602_lat_03951_lon_-0626_size_0252,INTE2105706A__20210129__20210204,INTE2105706A,2021-01-11,2021-03-22,2021-01-29,2021-02-04,12,0,0,0,12,18.0,46.0,64.0,64,7,2021-01-11,2021-03-22,346,17,17,2021-01-29,2021-02-04,63,2,0.03468208092485549,0.19047619047619047,1
WD_MERGE_2021-11-29---2022-01-03_duration_35_days_cluster_316_A0_000336_A_000413_lat_05065_lon_-0112_size_0274,INTE2137449A__20211127__20211129,INTE2137449A,2021-11-29,2022-01-03,2021-11-27,2021-11-29,10,0,0,0,10,2.0,35.0,37.0,37,1,2021-11-29,2022-01-03,534,33,33,2021-11-27,2021-11-29,21,2,0.018726591760299626,0.47619047619047616,1
WD_MERGE_2019-11-04---2020-01-06_duration_56_days_cluster_351_A0_000915_A_001176_lat_04685_lon_00678_size_0668,INTE1935602A__20191201__20191202,INTE1935602A,2019-11-04,2020-01-06,2019-12-01,2019-12-02,9,0,0,0,9,27.0,35.0,62.0,62,2,2019-11-04,2020-01-06,686,33,33,2019-12-01,2019-12-02,73,5,0.013119533527696793,0.1232876712328767,1
WD_MERGE_2019-11-18---2020-01-06_duration_42_days_cluster_353_A0_000853_A_001110_lat_04494_lon_-0368_size_0472,INTE2005870A__20191213__20191215,INTE2005870A,2019-11-18,2020-01-06,2019-12-13,2019-12-15,9,0,9,9,9,25.0,22.0,47.0,47,3,2019-11-18,2020-01-06,1086,32,32,2019-12-13,2019-12-15,10,3,0.008287292817679558,0.9,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2201262A__20201201__20210131,INTE2201262A,2021-01-04,2021-01-11,2020-12-01,2021-01-31,7,0,0,0,7,34.0,20.0,54.0,54,8,2021-01-04,2021-01-11,51,2,2,2020-12-01,2021-01-31,14,1,0.13725490196078433,0.5,1
WD_MERGE_2020-05-11---2020-05-18_duration_7_days_cluster_116_A0_000017_A_000028_lat_04375_lon_-0097_size_0011,INTE2014521A__20200509__20200511,INTE2014521A,2020-05-11,2020-05-18,2020-05-09,2020-05-11,6,0,6,6,6,2.0,7.0,9.0,9,1,2020-05-11,2020-05-18,60,3,3,2020-05-09,2020-05-11,176,5,0.1,0.03409090909090909,1
WD_MERGE_2017-12-04---2018-01-01_duration_28_days_cluster_370_A0_000806_A_001014_lat_05081_lon_00198_size_0323,INTE1804348A__20180115__20180205,INTE1804348A,2017-12-04,2018-01-01,2018-01-15,2018-02-05,6,0,0,0,6,42.0,35.0,77.0,77,0,2017-12-04,2018-01-01,1104,29,29,2018-01-15,2018-02-05,276,14,0.005434782608695652,0.021739130434782608,1
WD_MERGE_2021-10-18---2021-11-15_duration_21_days_cluster_269_A0_000215_A_000262_lat_05326_lon_-0331_size_0252,INTE2137449A__20211127__20211129,INTE2137449A,2021-10-18,2021-11-15,2021-11-27,2021-11-29,5,0,0,0,5,40.0,14.0,54.0,54,0,2021-10-18,2021-11-15,14,2,2,2021-11-27,2021-11-29,21,2,0.35714285714285715,0.23809523809523808,1
WD_MERGE_2020-10-05---2020-11-23_duration_42_days_cluster_281_A0_000109_A_000141_lat_04046_lon_-0199_size_0217,INTE2201262A__20201201__20210131,INTE2201262A,2020-10-05,2020-11-23,2020-12-01,2021-01-31,5,0,0,0,5,57.0,69.0,126.0,126,0,2020-10-05,2020-11-23,71,2,2,2020-12-01,2021-01-31,14,1,0.07042253521126761,0.35714285714285715,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1820387A__20180612__20180612,INTE1820387A,2018-06-11,2018-06-18,2018-06-12,2018-06-12,5,0,5,5,5,1.0,6.0,7.0,7,1,2018-06-11,2018-06-18,71,2,2,2018-06-12,2018-06-12,116,17,0.07042253521126761,0.04310344827586207,1
WD_MERGE_2024-05-13---2024-05-20_duration_7_days_cluster_070_A0_000052_A_000061_lat_04719_lon_00110_size_0066,IOME2418595A__20240617__20240621,IOME2418595A,2024-05-13,2024-05-20,2024-06-17,2024-06-21,5,0,0,0,5,35.0,32.0,67.0,67,0,2024-05-13,2024-05-20,212,14,14,2024-06-17,2024-06-21,290,9,0.02358490566037736,0.017241379310344827,1
WD_MERGE_2024-09-23---2024-11-11_duration_35_days_cluster_367_A0_000578_A_000623_lat_04898_lon_00513_size_0555,INTE2430293A__20240925__20240925,INTE2430293A,2024-09-23,2024-11-11,2024-09-25,2024-09-25,5,0,0,0,5,2.0,47.0,49.0,49,1,2024-09-23,2024-11-11,575,25,25,2024-09-25,2024-09-25,13,2,0.008695652173913044,0.38461538461538464,1
WD_MERGE_2020-02-10---2020-04-13_duration_63_days_cluster_376_A0_002105_A_002662_lat_05130_lon_-0049_size_0424,INTE2014521A__20200301__20200301,INTE2014521A,2020-02-10,2020-04-13,2020-03-01,2020-03-01,5,0,0,0,5,20.0,43.0,63.0,63,1,2020-02-10,2020-04-13,1557,32,32,2020-03-01,2020-03-01,9,1,0.0032113037893384713,0.5555555555555556,1
WD_MERGE_2020-02-24---2020-04-06_duration_35_days_cluster_380_A0_001946_A_002487_lat_04916_lon_00184_size_0350,INTE2014521A__20200301__20200301,INTE2014521A,2020-02-24,2020-04-06,2020-03-01,2020-03-01,5,0,0,0,5,6.0,36.0,42.0,42,1,2020-02-24,2020-04-06,2994,57,57,2020-03-01,2020-03-01,9,1,0.0016700066800267202,0.5555555555555556,1
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_349_A0_000442_A_000522_lat_04875_lon_-0083_size_0117,INTE1808306A__20180103__20180103,INTE1808306A,2018-01-01,2018-01-29,2018-01-03,2018-01-03,4,0,4,4,4,2.0,26.0,28.0,28,1,2018-01-01,2018-01-29,822,32,32,2018-01-03,2018-01-03,7,2,0.004866180048661801,0.5714285714285714,1
WD_MERGE_2019-12-30---2020-02-24_duration_56_days_cluster_370_A0_001092_A_001400_lat_04760_lon_00017_size_0374,INTE2014521A__20200301__20200301,INTE2014521A,2019-12-30,2020-02-24,2020-03-01,2020-03-01,4,0,0,0,4,62.0,6.0,68.0,68,0,2019-12-30,2020-02-24,1675,44,44,2020-03-01,2020-03-01,9,1,0.0023880597014925373,0.4444444444444444,1
WD_MERGE_2019-11-25---2020-01-06_duration_42_days_cluster_354_A0_001418_A_001778_lat_04942_lon_-0006_size_0345,INTE2005870A__20191102__20191103,INTE2005870A,2019-11-25,2020-01-06,2019-11-02,2019-11-03,4,0,0,0,4,23.0,64.0,87.0,87,0,2019-11-25,2020-01-06,2059,49,49,2019-11-02,2019-11-03,6,1,0.001942690626517727,0.6666666666666666,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1905473A__20181120__20181120,INTE1905473A,2018-11-19,2018-11-26,2018-11-20,2018-11-20,3,0,3,3,3,1.0,6.0,7.0,7,1,2018-11-19,2018-11-26,24,5,5,2018-11-20,2018-11-20,4,1,0.125,0.75,1
WD_MERGE_2024-05-27---2024-06-03_duration_7_days_cluster_078_A0_000026_A_000028_lat_04593_lon_-0081_size_0043,IOME2418595A__20240617__20240621,IOME2418595A,2024-05-27,2024-06-03,2024-06-17,2024-06-21,3,0,3,3,3,21.0,18.0,39.0,39,0,2024-05-27,2024-06-03,140,9,9,2024-06-17,2024-06-21,290,9,0.02142857142857143,0.010344827586206896,1
WD_MERGE_2019-12-30---2020-02-10_duration_42_days_cluster_371_A0_001263_A_001609_lat_05120_lon_00293_size_0353,INTE2014521A__20200301__20200301,INTE2014521A,2019-12-30,2020-02-10,2020-03-01,2020-03-01,3,0,0,0,3,62.0,20.0,82.0,82,0,2019-12-30,2020-02-10,1117,21,21,2020-03-01,2020-03-01,9,1,0.0026857654431512983,0.3333333333333333,1
WD_MERGE_2022-08-01---2022-08-08_duration_7_days_cluster_178_A0_000001_A_000002_lat_04354_lon_00459_size_0021,IOME2226252A__20220906__20220908,IOME2226252A,2022-08-01,2022-08-08,2022-09-06,2022-09-08,2,0,0,0,2,36.0,31.0,67.0,67,0,2022-08-01,2022-08-08,8,4,4,2022-09-06,2022-09-08,37,4,0.25,0.05405405405405406,1
