cod_commune,commune_name,n_flood_events,first_event,last_event
72268,Saint-Biez-en-Belin,1,1999-12-25,1999-12-29
72270,Saint-Calez-en-Saosnois,1,1999-12-25,1999-12-29
72271,Saint-Célerin,1,1999-12-25,1999-12-29
72272,Sainte-Cérotte,1,1999-12-25,1999-12-29
72274,Saint-Christophe-en-Champagne,1,1999-12-25,1999-12-29
72280,Saint-Georges-du-Bois,1,1999-12-25,1999-12-29
72293,Saint-Jean-du-Bois,1,1999-12-25,1999-12-29
72295,Saint-Longis,1,1999-12-25,1999-12-29
72306,Saint-Ouen-en-Belin,1,1999-12-25,1999-12-29
72312,Saint-Pierre-des-Bois,1,1999-12-25,1999-12-29
72317,Saint-Rémy-du-Val,1,1999-12-25,1999-12-29
72319,Sainte-Sabine-sur-Longève,1,1999-12-25,1999-12-29
72323,Saint-Victeur,1,1999-12-25,1999-12-29
72339,Souligné-Flacé,1,1999-12-25,1999-12-29
72341,Soulitré,1,1999-12-25,1999-12-29
72347,Tassé,1,1999-12-25,1999-12-29
72348,Tassillé,1,1999-12-25,1999-12-29
72351,Tennie,1,1999-12-25,1999-12-29
72355,Thoiré-sous-Contensor,1,1999-12-25,1999-12-29
72362,Le Tronchet,1,1999-12-25,1999-12-29
72369,Verneil-le-Chétif,1,1999-12-25,1999-12-29
72372,Vezot,1,1999-12-25,1999-12-29
72374,Villaines-la-Carelle,1,1999-12-25,1999-12-29
72379,Viré-en-Champagne,1,1999-12-25,1999-12-29
73005,Aillon-le-Vieux,1,2022-05-20,2022-05-20
73011,Albertville,1,2022-05-20,2022-05-20
73012,Albiez-le-Jeune,1,2022-05-20,2022-05-20
73013,Albiez-Montrond,1,2022-05-20,2022-05-20
73014,Allondaz,1,2022-05-20,2022-05-20
73024,Les Avanchers-Valmorel,1,2022-05-20,2022-05-20
73028,La Balme,1,2022-05-20,2022-05-20
73041,Betton-Bettonet,1,2022-05-20,2022-05-20
73042,Billième,1,2022-05-20,2022-05-20
73048,Bonvillard,1,2022-05-20,2022-05-20
73049,Bonvillaret,1,2022-05-20,2022-05-20
73052,Bourget-en-Huile,1,2022-05-20,2022-05-20
73055,Bozel,1,2022-05-20,2022-05-20
73063,Cevins,1,2022-05-20,2022-05-20
73067,La Chambre,1,2022-05-20,2022-05-20
73070,Champagneux,1,2022-05-20,2022-05-20
73072,Champ-Laurent,1,2022-05-20,2022-05-20
73075,La Chapelle-Blanche,1,2022-05-20,2022-05-20
73076,La Chapelle-du-Mont-du-Chat,1,2022-05-20,2022-05-20
73077,Les Chapelles,1,2022-05-20,2022-05-20
73089,Coise-Saint-Jean-Pied-Gauthier,1,2022-05-20,2022-05-20
73092,Corbel,1,2022-05-20,2022-05-20
73095,La Croix-de-la-Rochette,1,2022-05-20,2022-05-20
73113,Feissons-sur-Salins,1,2022-05-20,2022-05-20
73122,Gerbaix,1,2022-05-20,2022-05-20
73131,Hautecour,1,2022-05-20,2022-05-20
73138,Jarrier,1,2022-05-20,2022-05-20
73141,Laissaud,1,2022-05-20,2022-05-20
73147,Loisieux,1,2022-05-20,2022-05-20
73152,Marcieux,1,2022-05-20,2022-05-20
73166,Montendry,1,2022-05-20,2022-05-20
73168,Montgilbert,1,2022-05-20,2022-05-20
73175,Montsapey,1,2022-05-20,2022-05-20
73176,Montvalezan,1,2022-05-20,2022-05-20
73177,Montvernier,1,2022-05-20,2022-05-20
73189,Notre-Dame-du-Cruet,1,2022-05-20,2022-05-20
73193,Ontex,1,2022-05-20,2022-05-20
73205,Le Pontet,1,2022-05-20,2022-05-20
73217,Rotherens,1,2022-05-20,2022-05-20
73220,Saint-Alban-d'Hurtières,1,2022-05-20,2022-05-20
73221,Saint-Alban-des-Villards,1,2022-05-20,2022-05-20
73224,Saint-Avre,1,2022-05-20,2022-05-20
73234,Saint-François-de-Sales,1,2022-05-20,2022-05-20
73252,Saint-Léger,1,2022-05-20,2022-05-20
73253,Saint-Marcel,1,2022-05-20,2022-05-20
73254,Sainte-Marie-d'Alvey,1,2022-05-20,2022-05-20
73265,Saint-Ours,1,2022-05-20,2022-05-20
73267,Saint-Pancrace,1,2022-05-20,2022-05-20
73272,Saint-Pierre-de-Belleville,1,2022-05-20,2022-05-20
