jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank
WD_MERGE_2023-10-16---2023-10-23_duration_7_days_cluster_283_A0_000003_A_000003_lat_04875_lon_-0367_size_0011,IOME2402725A__20231028__20231029,IOME2402725A,2023-10-16,2023-10-23,2023-10-28,2023-10-29,1,0,0,0,1,12.0,6.0,18.0,18,0,2023-10-16,2023-10-23,19,2,2,2023-10-28,2023-10-29,2,2,0.5,0.5,1
WD_MERGE_2020-06-22---2020-06-29_duration_7_days_cluster_159_A0_000004_A_000004_lat_04875_lon_-0368_size_0010,INTE2027600A__20200617__20200617,INTE2027600A,2020-06-22,2020-06-29,2020-06-17,2020-06-17,1,0,0,0,1,5.0,12.0,17.0,17,0,2020-06-22,2020-06-29,11,2,2,2020-06-17,2020-06-17,7,4,0.5,0.25,1
WD_MERGE_2024-09-16---2024-09-23_duration_7_days_cluster_199_A0_000005_A_000006_lat_04640_lon_-0204_size_0212,INTE2430293A__20240921__20240921,INTE2430293A,2024-09-16,2024-09-23,2024-09-21,2024-09-21,1,0,1,1,1,5.0,2.0,7.0,7,1,2024-09-16,2024-09-23,15,3,3,2024-09-21,2024-09-21,1,1,0.3333333333333333,1.0,1
WD_MERGE_2020-06-01---2020-06-08_duration_7_days_cluster_138_A0_000014_A_000016_lat_04355_lon_00458_size_0016,INTE2016904A__20200529__20200529,INTE2016904A,2020-06-01,2020-06-08,2020-05-29,2020-05-29,1,0,0,0,1,3.0,10.0,13.0,13,0,2020-06-01,2020-06-08,12,3,3,2020-05-29,2020-05-29,1,1,0.3333333333333333,1.0,1
WD_MERGE_2021-05-24---2021-06-07_duration_14_days_cluster_110_A0_000025_A_000029_lat_04486_lon_-0225_size_0323,INTE2121339A__20210529__20210529,INTE2121339A,2021-05-24,2021-06-07,2021-05-29,2021-05-29,1,0,0,0,1,5.0,9.0,14.0,14,1,2021-05-24,2021-06-07,31,3,3,2021-05-29,2021-05-29,1,1,0.3333333333333333,1.0,1
WD_MERGE_2016-09-19---2016-09-26_duration_7_days_cluster_205_A0_000003_A_000003_lat_04877_lon_-0355_size_0003,INTE1630434A__20160913__20160913,INTE1630434A,2016-09-19,2016-09-26,2016-09-13,2016-09-13,1,0,0,0,1,6.0,13.0,19.0,19,0,2016-09-19,2016-09-26,10,3,3,2016-09-13,2016-09-13,1,1,0.3333333333333333,1.0,1
WD_MERGE_2022-01-31---2022-03-14_duration_42_days_cluster_002_A0_000034_A_000041_lat_04171_lon_00124_size_0258,IOME2226252A__20220312__20220313,IOME2226252A,2022-01-31,2022-03-14,2022-03-12,2022-03-13,1,0,0,0,1,40.0,1.0,41.0,41,2,2022-01-31,2022-03-14,45,3,3,2022-03-12,2022-03-13,2,1,0.3333333333333333,1.0,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_138_A0_000006_A_000007_lat_04864_lon_-0360_size_0018,IOME2324728A__20230614__20230614,IOME2324728A,2023-06-19,2023-06-26,2023-06-14,2023-06-14,1,0,0,0,1,5.0,12.0,17.0,17,0,2023-06-19,2023-06-26,26,3,3,2023-06-14,2023-06-14,2,2,0.3333333333333333,0.5,1
WD_MERGE_2018-06-04---2018-06-11_duration_7_days_cluster_101_A0_000024_A_000027_lat_04356_lon_00456_size_0014,INTE1824833A__20180531__20180531,INTE1824833A,2018-06-04,2018-06-11,2018-05-31,2018-05-31,1,0,0,0,1,4.0,11.0,15.0,15,0,2018-06-04,2018-06-11,13,3,3,2018-05-31,2018-05-31,13,6,0.3333333333333333,0.16666666666666666,1
WD_MERGE_2018-10-08---2018-10-15_duration_7_days_cluster_241_A0_000008_A_000011_lat_04593_lon_-0109_size_0040,INTE1835008A__20181010__20181010,INTE1835008A,2018-10-08,2018-10-15,2018-10-10,2018-10-10,1,0,1,1,1,2.0,5.0,7.0,7,1,2018-10-08,2018-10-15,26,4,4,2018-10-10,2018-10-10,1,1,0.25,1.0,1
WD_MERGE_2020-09-14---2020-09-21_duration_7_days_cluster_251_A0_000013_A_000017_lat_05039_lon_-0358_size_0159,INTE2027600A__20200919__20200919,INTE2027600A,2020-09-14,2020-09-21,2020-09-19,2020-09-19,1,0,1,1,1,5.0,2.0,7.0,7,1,2020-09-14,2020-09-21,32,4,4,2020-09-19,2020-09-19,2,1,0.25,1.0,1
WD_MERGE_2021-09-20---2021-09-27_duration_7_days_cluster_233_A0_000001_A_000001_lat_04740_lon_-0184_size_0015,INTE2130680A__20210919__20210919,INTE2130680A,2021-09-20,2021-09-27,2021-09-19,2021-09-19,1,0,0,0,1,1.0,8.0,9.0,9,0,2021-09-20,2021-09-27,7,4,4,2021-09-19,2021-09-19,1,1,0.25,1.0,1
WD_MERGE_2021-10-04---2021-10-11_duration_7_days_cluster_249_A0_000010_A_000012_lat_04800_lon_-0257_size_0094,INTE2137449A__20211002__20211003,INTE2137449A,2021-10-04,2021-10-11,2021-10-02,2021-10-03,1,0,0,0,1,2.0,8.0,10.0,10,0,2021-10-04,2021-10-11,22,4,4,2021-10-02,2021-10-03,2,1,0.25,1.0,1
WD_MERGE_2020-08-17---2020-08-24_duration_7_days_cluster_222_A0_000009_A_000011_lat_04824_lon_-0344_size_0064,INTE2027600A__20200815__20200815,INTE2027600A,2020-08-17,2020-08-24,2020-08-15,2020-08-15,1,0,0,0,1,2.0,9.0,11.0,11,0,2020-08-17,2020-08-24,59,4,4,2020-08-15,2020-08-15,1,1,0.25,1.0,1
WD_MERGE_2022-11-14---2022-11-21_duration_7_days_cluster_281_A0_000002_A_000002_lat_04367_lon_00454_size_0030,IOME2304949A__20221109__20221109,IOME2304949A,2022-11-14,2022-11-21,2022-11-09,2022-11-09,1,0,0,0,1,5.0,12.0,17.0,17,0,2022-11-14,2022-11-21,14,4,4,2022-11-09,2022-11-09,1,1,0.25,1.0,1
WD_MERGE_2017-01-30---2017-02-06_duration_7_days_cluster_041_A0_000003_A_000003_lat_04364_lon_00425_size_0004,INTE1711727A__20170213__20170215,INTE1711727A,2017-01-30,2017-02-06,2017-02-13,2017-02-15,1,0,0,0,1,14.0,9.0,23.0,23,0,2017-01-30,2017-02-06,11,4,4,2017-02-13,2017-02-15,1,1,0.25,1.0,1
WD_MERGE_2024-06-24---2024-07-08_duration_14_days_cluster_103_A0_000011_A_000012_lat_04804_lon_-0302_size_0095,INTE2430293A__20240618__20240618,INTE2430293A,2024-06-24,2024-07-08,2024-06-18,2024-06-18,1,0,0,0,1,6.0,20.0,26.0,26,0,2024-06-24,2024-07-08,52,4,4,2024-06-18,2024-06-18,1,1,0.25,1.0,1
WD_MERGE_2024-01-01---2024-02-19_duration_35_days_cluster_334_A0_002595_A_002920_lat_05238_lon_01260_size_0503,IOME2407754A__20240103__20240106,IOME2407754A,2024-01-01,2024-02-19,2024-01-03,2024-01-06,1,0,0,0,1,2.0,44.0,46.0,46,4,2024-01-01,2024-02-19,209,4,4,2024-01-03,2024-01-06,1,1,0.25,1.0,1
WD_MERGE_2021-09-06---2021-09-13_duration_7_days_cluster_215_A0_000013_A_000016_lat_04879_lon_-0354_size_0011,INTE2201262A__20210908__20210908,INTE2201262A,2021-09-06,2021-09-13,2021-09-08,2021-09-08,1,0,1,1,1,2.0,5.0,7.0,7,1,2021-09-06,2021-09-13,28,4,4,2021-09-08,2021-09-08,2,2,0.25,0.5,1
WD_MERGE_2017-07-10---2017-07-17_duration_7_days_cluster_158_A0_000001_A_000001_lat_04730_lon_-0237_size_0017,INTE1731318A__20170709__20170709,INTE1731318A,2017-07-10,2017-07-17,2017-07-09,2017-07-09,1,0,0,0,1,1.0,8.0,9.0,9,0,2017-07-10,2017-07-17,12,4,4,2017-07-09,2017-07-09,4,3,0.25,0.3333333333333333,1
WD_MERGE_2017-06-26---2017-07-03_duration_7_days_cluster_143_A0_000004_A_000005_lat_04751_lon_-0292_size_0039,INTE1731318A__20170709__20170709,INTE1731318A,2017-06-26,2017-07-03,2017-07-09,2017-07-09,1,0,0,0,1,13.0,6.0,19.0,19,0,2017-06-26,2017-07-03,39,4,4,2017-07-09,2017-07-09,4,3,0.25,0.3333333333333333,1
WD_MERGE_2018-02-26---2018-03-05_duration_7_days_cluster_033_A0_000021_A_000025_lat_04357_lon_00435_size_0015,INTE1810998A__20180228__20180302,INTE1810998A,2018-02-26,2018-03-05,2018-02-28,2018-03-02,1,0,1,1,1,2.0,3.0,5.0,5,3,2018-02-26,2018-03-05,39,5,5,2018-02-28,2018-03-02,2,1,0.2,1.0,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1905473A__20181120__20181122,INTE1905473A,2018-11-19,2018-11-26,2018-11-20,2018-11-22,1,0,1,1,1,1.0,4.0,5.0,5,3,2018-11-19,2018-11-26,24,5,5,2018-11-20,2018-11-22,1,1,0.2,1.0,1
WD_MERGE_2024-05-27---2024-06-03_duration_7_days_cluster_080_A0_000007_A_000008_lat_04825_lon_00215_size_0019,IOME2420215A__20240523__20240524,IOME2420215A,2024-05-27,2024-06-03,2024-05-23,2024-05-24,1,0,0,0,1,4.0,10.0,14.0,14,0,2024-05-27,2024-06-03,81,5,5,2024-05-23,2024-05-24,1,1,0.2,1.0,1
WD_MERGE_2021-05-17---2021-05-31_duration_14_days_cluster_106_A0_000067_A_000076_lat_04357_lon_00458_size_0015,INTE2137449A__20210510__20210511,INTE2137449A,2021-05-17,2021-05-31,2021-05-10,2021-05-11,1,0,0,0,1,7.0,20.0,27.0,27,0,2021-05-17,2021-05-31,27,5,5,2021-05-10,2021-05-11,3,1,0.2,1.0,1
WD_MERGE_2023-04-24---2023-06-05_duration_42_days_cluster_077_A0_000314_A_000408_lat_04477_lon_01163_size_0382,IOME2320253A__20230522__20230523,IOME2320253A,2023-04-24,2023-06-05,2023-05-22,2023-05-23,1,0,0,0,1,28.0,13.0,41.0,41,2,2023-04-24,2023-06-05,31,5,5,2023-05-22,2023-05-23,1,1,0.2,1.0,1
WD_MERGE_2024-10-07---2024-10-21_duration_14_days_cluster_226_A0_000009_A_000009_lat_04785_lon_-0287_size_0091,INTE2501371A__20241007__20241012,INTE2501371A,2024-10-07,2024-10-21,2024-10-07,2024-10-12,1,0,0,0,1,0.0,9.0,9.0,9,6,2024-10-07,2024-10-21,51,5,5,2024-10-07,2024-10-12,2,2,0.2,0.5,1
WD_MERGE_2024-08-05---2024-08-12_duration_7_days_cluster_157_A0_000004_A_000005_lat_04837_lon_-0342_size_0049,INTE2424582A__20240730__20240730,INTE2424582A,2024-08-05,2024-08-12,2024-07-30,2024-07-30,1,0,0,0,1,6.0,13.0,19.0,19,0,2024-08-05,2024-08-12,28,5,5,2024-07-30,2024-07-30,53,15,0.2,0.06666666666666667,1
WD_MERGE_2015-02-09---2015-03-09_duration_21_days_cluster_030_A0_000136_A_000201_lat_04219_lon_-0233_size_0175,INTE1705706A__20150218__20150303,INTE1705706A,2015-02-09,2015-03-09,2015-02-18,2015-03-03,1,0,0,0,1,9.0,6.0,15.0,15,14,2015-02-09,2015-03-09,126,6,6,2015-02-18,2015-03-03,1,1,0.16666666666666666,1.0,1
WD_MERGE_2020-07-13---2020-07-27_duration_14_days_cluster_180_A0_000004_A_000005_lat_04407_lon_00469_size_0070,INTE2027600A__20200710__20200710,INTE2027600A,2020-07-13,2020-07-27,2020-07-10,2020-07-10,1,0,0,0,1,3.0,17.0,20.0,20,0,2020-07-13,2020-07-27,31,6,6,2020-07-10,2020-07-10,1,1,0.16666666666666666,1.0,1
WD_MERGE_2018-05-21---2018-05-28_duration_7_days_cluster_088_A0_000045_A_000051_lat_04358_lon_00460_size_0016,INTE1818802A__20180603__20180606,INTE1818802A,2018-05-21,2018-05-28,2018-06-03,2018-06-06,1,0,0,0,1,13.0,9.0,22.0,22,0,2018-05-21,2018-05-28,19,6,6,2018-06-03,2018-06-06,1,1,0.16666666666666666,1.0,1
WD_MERGE_2024-02-05---2024-03-25_duration_49_days_cluster_346_A0_000254_A_000276_lat_04641_lon_01775_size_0160,IOME2415880A__20240309__20240310,IOME2415880A,2024-02-05,2024-03-25,2024-03-09,2024-03-10,1,0,0,0,1,33.0,15.0,48.0,48,2,2024-02-05,2024-03-25,22,6,6,2024-03-09,2024-03-10,1,1,0.16666666666666666,1.0,1
WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_020_A0_000005_A_000005_lat_04365_lon_00494_size_0055,INTE1717782A__20170122__20170124,INTE1717782A,2017-01-16,2017-01-23,2017-01-22,2017-01-24,1,0,1,0,1,6.0,1.0,7.0,7,2,2017-01-16,2017-01-23,21,7,7,2017-01-22,2017-01-24,1,1,0.14285714285714285,1.0,1
WD_MERGE_2022-06-27---2022-07-04_duration_7_days_cluster_142_A0_000002_A_000002_lat_04661_lon_00394_size_0035,IOME2221479A__20220625__20220627,IOME2221479A,2022-06-27,2022-07-04,2022-06-25,2022-06-27,1,0,1,0,1,2.0,7.0,9.0,9,1,2022-06-27,2022-07-04,30,7,7,2022-06-25,2022-06-27,1,1,0.14285714285714285,1.0,1
WD_MERGE_2024-05-20---2024-05-27_duration_7_days_cluster_072_A0_000007_A_000008_lat_04780_lon_00428_size_0047,INTE2517855A__20240531__20240629,INTE2517855A,2024-05-20,2024-05-27,2024-05-31,2024-06-29,1,0,0,0,1,11.0,33.0,44.0,44,0,2024-05-20,2024-05-27,86,7,7,2024-05-31,2024-06-29,1,1,0.14285714285714285,1.0,1
WD_MERGE_2021-11-01---2021-11-08_duration_7_days_cluster_287_A0_000007_A_000008_lat_04412_lon_00458_size_0072,INTE2137449A__20211030__20211031,INTE2137449A,2021-11-01,2021-11-08,2021-10-30,2021-10-31,1,0,0,0,1,2.0,8.0,10.0,10,0,2021-11-01,2021-11-08,32,8,8,2021-10-30,2021-10-31,1,1,0.125,1.0,1
WD_MERGE_2021-06-07---2021-06-14_duration_7_days_cluster_118_A0_000014_A_000019_lat_04889_lon_-0211_size_0051,INTE2121339A__20210616__20210616,INTE2121339A,2021-06-07,2021-06-14,2021-06-16,2021-06-16,1,0,0,0,1,9.0,2.0,11.0,11,0,2021-06-07,2021-06-14,62,8,8,2021-06-16,2021-06-16,1,1,0.125,1.0,1
WD_MERGE_2019-08-12---2019-08-19_duration_7_days_cluster_210_A0_000002_A_000003_lat_04945_lon_00219_size_0047,INTE1932508A__20190809__20190809,INTE1932508A,2019-08-12,2019-08-19,2019-08-09,2019-08-09,1,0,0,0,1,3.0,10.0,13.0,13,0,2019-08-12,2019-08-19,38,8,8,2019-08-09,2019-08-09,1,1,0.125,1.0,1
WD_MERGE_2016-10-03---2016-10-24_duration_21_days_cluster_219_A0_000014_A_000016_lat_04436_lon_00249_size_0244,INTE1637220A__20161012__20161014,INTE1637220A,2016-10-03,2016-10-24,2016-10-12,2016-10-14,1,0,0,0,1,9.0,10.0,19.0,19,3,2016-10-03,2016-10-24,74,9,9,2016-10-12,2016-10-14,3,1,0.1111111111111111,1.0,1
WD_MERGE_2023-11-06---2024-01-01_duration_56_days_cluster_352_A0_000246_A_000287_lat_04014_lon_-0426_size_0411,INTE2501371A__20231030__20231214,INTE2501371A,2023-11-06,2024-01-01,2023-10-30,2023-12-14,1,0,0,0,1,7.0,18.0,25.0,25,39,2023-11-06,2024-01-01,122,9,9,2023-10-30,2023-12-14,1,1,0.1111111111111111,1.0,1
WD_MERGE_2020-12-28---2021-02-15_duration_42_days_cluster_346_A0_000317_A_000399_lat_05319_lon_00874_size_0420,INTE2107265A__20210129__20210129,INTE2107265A,2020-12-28,2021-02-15,2021-01-29,2021-01-29,1,0,0,0,1,32.0,17.0,49.0,49,1,2020-12-28,2021-02-15,321,9,9,2021-01-29,2021-01-29,1,1,0.1111111111111111,1.0,1
WD_MERGE_2018-03-19---2018-04-30_duration_42_days_cluster_367_A0_000354_A_000437_lat_05276_lon_00119_size_0294,INTE1817087A__20180429__20180429,INTE1817087A,2018-03-19,2018-04-30,2018-04-29,2018-04-29,1,0,0,0,1,41.0,1.0,42.0,42,1,2018-03-19,2018-04-30,91,10,10,2018-04-29,2018-04-29,1,1,0.1,1.0,1
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,INTE1507293A__20150113__20150115,INTE1507293A,2015-01-12,2015-02-23,2015-01-13,2015-01-15,1,0,0,0,1,1.0,39.0,40.0,40,3,2015-01-12,2015-02-23,94,11,11,2015-01-13,2015-01-15,1,1,0.09090909090909091,1.0,1
WD_MERGE_2020-04-13---2020-05-25_duration_35_days_cluster_086_A0_000076_A_000087_lat_04386_lon_00446_size_0033,INTE2016904A__20200529__20200529,INTE2016904A,2020-04-13,2020-05-25,2020-05-29,2020-05-29,1,0,0,0,1,46.0,4.0,50.0,50,0,2020-04-13,2020-05-25,136,11,11,2020-05-29,2020-05-29,1,1,0.09090909090909091,1.0,1
WD_MERGE_2024-11-18---2024-12-16_duration_28_days_cluster_280_A0_000447_A_000487_lat_05182_lon_-0322_size_0147,INTE2505371A__20241207__20241208,INTE2505371A,2024-11-18,2024-12-16,2024-12-07,2024-12-08,1,0,0,0,1,19.0,8.0,27.0,27,2,2024-11-18,2024-12-16,163,12,12,2024-12-07,2024-12-08,1,1,0.08333333333333333,1.0,1
WD_MERGE_2020-09-28---2020-11-30_duration_63_days_cluster_273_A0_000452_A_000562_lat_05173_lon_-0314_size_0364,INTE2027600A__20201001__20201004,INTE2027600A,2020-09-28,2020-11-30,2020-10-01,2020-10-04,1,0,0,0,1,3.0,57.0,60.0,60,4,2020-09-28,2020-11-30,256,12,12,2020-10-01,2020-10-04,2,1,0.08333333333333333,1.0,1
WD_MERGE_2022-10-10---2023-01-02_duration_84_days_cluster_351_A0_000463_A_000561_lat_05162_lon_-0440_size_0337,IOME2304949A__20221127__20221128,IOME2304949A,2022-10-10,2023-01-02,2022-11-27,2022-11-28,1,0,0,0,1,48.0,35.0,83.0,83,2,2022-10-10,2023-01-02,193,12,12,2022-11-27,2022-11-28,1,1,0.08333333333333333,1.0,1
WD_MERGE_2017-07-10---2017-07-31_duration_21_days_cluster_160_A0_000009_A_000010_lat_04510_lon_-0029_size_0061,INTE1727357A__20170709__20170709,INTE1727357A,2017-07-10,2017-07-31,2017-07-09,2017-07-09,1,0,0,0,1,1.0,22.0,23.0,23,0,2017-07-10,2017-07-31,50,12,12,2017-07-09,2017-07-09,3,2,0.08333333333333333,0.5,1
WD_MERGE_2016-02-22---2016-04-18_duration_49_days_cluster_300_A0_000346_A_000432_lat_05197_lon_-0062_size_0391,INTE1617716A__20160422__20160422,INTE1617716A,2016-02-22,2016-04-18,2016-04-22,2016-04-22,1,0,0,0,1,60.0,4.0,64.0,64,0,2016-02-22,2016-04-18,182,13,13,2016-04-22,2016-04-22,3,2,0.07692307692307693,0.5,1
WD_MERGE_2021-12-27---2022-01-03_duration_7_days_cluster_337_A0_000091_A_000116_lat_04658_lon_00420_size_0065,IOME2222390A__20211228__20211230,IOME2222390A,2021-12-27,2022-01-03,2021-12-28,2021-12-30,1,0,1,1,1,1.0,4.0,5.0,5,3,2021-12-27,2022-01-03,421,21,21,2021-12-28,2021-12-30,1,1,0.047619047619047616,1.0,1
WD_MERGE_2019-12-30---2020-02-10_duration_42_days_cluster_371_A0_001263_A_001609_lat_05120_lon_00293_size_0353,INTE2114774A__20200203__20200205,INTE2114774A,2019-12-30,2020-02-10,2020-02-03,2020-02-05,1,0,0,0,1,35.0,5.0,40.0,40,3,2019-12-30,2020-02-10,1117,21,21,2020-02-03,2020-02-05,1,1,0.047619047619047616,1.0,1
WD_MERGE_2023-11-27---2024-01-01_duration_35_days_cluster_356_A0_002381_A_002991_lat_05205_lon_01175_size_0268,IOME2410378A__20240102__20240104,IOME2410378A,2023-11-27,2024-01-01,2024-01-02,2024-01-04,1,0,0,0,1,36.0,3.0,39.0,39,0,2023-11-27,2024-01-01,733,23,23,2024-01-02,2024-01-04,1,1,0.043478260869565216,1.0,1
WD_MERGE_2023-03-06---2023-04-24_duration_42_days_cluster_328_A0_000293_A_000366_lat_04855_lon_00376_size_0461,IOME2324728A__20230430__20230430,IOME2324728A,2023-03-06,2023-04-24,2023-04-30,2023-04-30,1,0,0,0,1,55.0,6.0,61.0,61,0,2023-03-06,2023-04-24,373,24,24,2023-04-30,2023-04-30,1,1,0.041666666666666664,1.0,1
WD_MERGE_2024-02-05---2024-02-26_duration_21_days_cluster_342_A0_002659_A_002896_lat_05242_lon_01873_size_0503,IOME2420215A__20240220__20240226,IOME2420215A,2024-02-05,2024-02-26,2024-02-20,2024-02-26,1,0,0,0,1,15.0,0.0,15.0,15,7,2024-02-05,2024-02-26,772,35,35,2024-02-20,2024-02-26,1,1,0.02857142857142857,1.0,1
WD_MERGE_2017-02-20---2017-04-10_duration_42_days_cluster_350_A0_000378_A_000500_lat_05217_lon_00437_size_0536,INTE1719705A__20170304__20170304,INTE1719705A,2017-02-20,2017-04-10,2017-03-04,2017-03-04,1,0,0,0,1,12.0,37.0,49.0,49,1,2017-02-20,2017-04-10,495,41,41,2017-03-04,2017-03-04,2,1,0.024390243902439025,1.0,1
WD_MERGE_2015-12-28---2016-02-22_duration_42_days_cluster_295_A0_001005_A_001282_lat_05056_lon_00078_size_0424,INTE1617716A__20160211__20160213,INTE1617716A,2015-12-28,2016-02-22,2016-02-11,2016-02-13,1,0,0,0,1,45.0,9.0,54.0,54,3,2015-12-28,2016-02-22,1127,41,41,2016-02-11,2016-02-13,1,1,0.024390243902439025,1.0,1
WD_MERGE_2019-12-30---2020-02-24_duration_56_days_cluster_370_A0_001092_A_001400_lat_04760_lon_00017_size_0374,INTE2031566A__20200210__20200213,INTE2031566A,2019-12-30,2020-02-24,2020-02-10,2020-02-13,1,0,0,0,1,42.0,11.0,53.0,53,4,2019-12-30,2020-02-24,1675,44,44,2020-02-10,2020-02-13,1,1,0.022727272727272728,1.0,1
WD_MERGE_2019-11-25---2020-01-06_duration_42_days_cluster_354_A0_001418_A_001778_lat_04942_lon_-0006_size_0345,INTE2010310A__20191213__20191216,INTE2010310A,2019-11-25,2020-01-06,2019-12-13,2019-12-16,1,0,0,0,1,18.0,21.0,39.0,39,4,2019-11-25,2020-01-06,2059,49,49,2019-12-13,2019-12-16,1,1,0.02040816326530612,1.0,1
WD_MERGE_2020-02-24---2020-04-06_duration_35_days_cluster_380_A0_001946_A_002487_lat_04916_lon_00184_size_0350,INTE2118484A__20200301__20200315,INTE2118484A,2020-02-24,2020-04-06,2020-03-01,2020-03-15,1,0,0,0,1,6.0,22.0,28.0,28,15,2020-02-24,2020-04-06,2994,57,57,2020-03-01,2020-03-15,1,1,0.017543859649122806,1.0,1
