jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,gaspar_match_rank
WD_MERGE_2021-01-11---2021-02-15_duration_35_days_cluster_351_A0_002339_A_003019_lat_04904_lon_00226_size_0328,INTE2107265A__20210202__20210212,INTE2107265A,2021-01-11,2021-02-15,2021-02-02,2021-02-12,2,0,0,0,2,22.0,3.0,25.0,25,11,2021-01-11,2021-02-15,3259,56,56,2021-02-02,2021-02-12,2,1,0.000613685179502915,1.0,1
WD_MERGE_2021-01-11---2021-02-15_duration_35_days_cluster_351_A0_002339_A_003019_lat_04904_lon_00226_size_0328,INTE2107265A__20210201__20210209,INTE2107265A,2021-01-11,2021-02-15,2021-02-01,2021-02-09,2,0,0,0,2,21.0,6.0,27.0,27,9,2021-01-11,2021-02-15,3259,56,56,2021-02-01,2021-02-09,7,1,0.000613685179502915,0.2857142857142857,1
WD_MERGE_2024-03-25---2024-05-27_duration_49_days_cluster_354_A0_002117_A_002338_lat_04497_lon_00089_size_0436,INTE2430293A__20240504__20240504,INTE2430293A,2024-03-25,2024-05-27,2024-05-04,2024-05-04,2,0,0,0,2,40.0,23.0,63.0,63,1,2024-03-25,2024-05-27,3290,69,69,2024-05-04,2024-05-04,2,1,0.0006079027355623101,1.0,1
WD_MERGE_2024-03-25---2024-05-27_duration_49_days_cluster_354_A0_002117_A_002338_lat_04497_lon_00089_size_0436,INTE2424582A__20240517__20240517,INTE2424582A,2024-03-25,2024-05-27,2024-05-17,2024-05-17,2,0,0,0,2,53.0,10.0,63.0,63,1,2024-03-25,2024-05-27,3290,69,69,2024-05-17,2024-05-17,3,2,0.0006079027355623101,0.6666666666666666,1
WD_MERGE_2024-03-25---2024-05-27_duration_49_days_cluster_354_A0_002117_A_002338_lat_04497_lon_00089_size_0436,IOME2411920A__20240330__20240405,IOME2411920A,2024-03-25,2024-05-27,2024-03-30,2024-04-05,2,0,0,0,2,5.0,52.0,57.0,57,7,2024-03-25,2024-05-27,3290,69,69,2024-03-30,2024-04-05,9,2,0.0006079027355623101,0.2222222222222222,1
WD_MERGE_2024-03-25---2024-05-27_duration_49_days_cluster_354_A0_002117_A_002338_lat_04497_lon_00089_size_0436,IOME2415152A__20240501__20240502,IOME2415152A,2024-03-25,2024-05-27,2024-05-01,2024-05-02,2,0,0,0,2,37.0,25.0,62.0,62,2,2024-03-25,2024-05-27,3290,69,69,2024-05-01,2024-05-02,14,5,0.0006079027355623101,0.14285714285714285,1
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,INTE1810998A__20180124__20180126,INTE1810998A,2018-01-15,2018-02-05,2018-01-24,2018-01-26,2,0,0,0,2,9.0,10.0,19.0,19,3,2018-01-15,2018-02-05,3690,60,60,2018-01-24,2018-01-26,2,2,0.0005420054200542005,1.0,1
WD_MERGE_2018-10-29---2018-11-12_duration_14_days_cluster_271_A0_000043_A_000064_lat_04503_lon_00990_size_0026,INTE1835008A__20181029__20181029,INTE1835008A,2018-10-29,2018-11-12,2018-10-29,2018-10-29,1,0,0,0,1,0.0,14.0,14.0,14,1,2018-10-29,2018-11-12,3,2,2,2018-10-29,2018-10-29,4,2,0.3333333333333333,0.25,1
WD_MERGE_2024-01-01---2024-04-01_duration_91_days_cluster_332_A0_000692_A_000753_lat_05333_lon_-0217_size_0189,IOME2410378A__20240226__20240301,IOME2410378A,2024-01-01,2024-04-01,2024-02-26,2024-03-01,1,0,0,0,1,56.0,31.0,87.0,87,5,2024-01-01,2024-04-01,7,1,1,2024-02-26,2024-03-01,1,1,0.14285714285714285,1.0,1
WD_MERGE_2024-01-01---2024-04-01_duration_91_days_cluster_332_A0_000692_A_000753_lat_05333_lon_-0217_size_0189,INTE2511307A__20231031__20240114,INTE2511307A,2024-01-01,2024-04-01,2023-10-31,2024-01-14,1,0,0,0,1,62.0,78.0,140.0,140,14,2024-01-01,2024-04-01,7,1,1,2023-10-31,2024-01-14,1,1,0.14285714285714285,1.0,1
WD_MERGE_2022-10-31---2022-11-07_duration_7_days_cluster_272_A0_000001_A_000001_lat_04370_lon_00453_size_0035,IOME2235873A__20221109__20221109,IOME2235873A,2022-10-31,2022-11-07,2022-11-09,2022-11-09,1,0,0,0,1,9.0,2.0,11.0,11,0,2022-10-31,2022-11-07,11,4,4,2022-11-09,2022-11-09,5,2,0.09090909090909091,0.2,1
WD_MERGE_2020-06-01---2020-06-08_duration_7_days_cluster_138_A0_000014_A_000016_lat_04355_lon_00458_size_0016,INTE2023938A__20200604__20200604,INTE2023938A,2020-06-01,2020-06-08,2020-06-04,2020-06-04,1,0,1,1,1,3.0,4.0,7.0,7,1,2020-06-01,2020-06-08,12,3,3,2020-06-04,2020-06-04,2,2,0.08333333333333333,0.5,1
WD_MERGE_2021-10-18---2021-11-15_duration_21_days_cluster_269_A0_000215_A_000262_lat_05326_lon_-0331_size_0252,INTE2201262A__20211104__20211105,INTE2201262A,2021-10-18,2021-11-15,2021-11-04,2021-11-05,1,0,0,0,1,17.0,10.0,27.0,27,2,2021-10-18,2021-11-15,14,2,2,2021-11-04,2021-11-05,1,1,0.07142857142857142,1.0,1
WD_MERGE_2022-05-30---2022-06-06_duration_7_days_cluster_112_A0_000004_A_000004_lat_04877_lon_-0364_size_0007,INTE2217496A__20220603__20220605,INTE2217496A,2022-05-30,2022-06-06,2022-06-03,2022-06-05,1,0,1,1,1,4.0,1.0,5.0,5,3,2022-05-30,2022-06-06,18,2,2,2022-06-03,2022-06-05,26,12,0.05555555555555555,0.038461538461538464,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1905473A__20181120__20181122,INTE1905473A,2018-11-19,2018-11-26,2018-11-20,2018-11-22,1,0,1,1,1,1.0,4.0,5.0,5,3,2018-11-19,2018-11-26,24,5,5,2018-11-20,2018-11-22,1,1,0.041666666666666664,1.0,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1905473A__20181120__20181121,INTE1905473A,2018-11-19,2018-11-26,2018-11-20,2018-11-21,1,0,1,1,1,1.0,5.0,6.0,6,2,2018-11-19,2018-11-26,24,5,5,2018-11-20,2018-11-21,1,1,0.041666666666666664,1.0,1
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1932508A__20181120__20181120,INTE1932508A,2018-11-19,2018-11-26,2018-11-20,2018-11-20,1,0,1,1,1,1.0,6.0,7.0,7,1,2018-11-19,2018-11-26,24,5,5,2018-11-20,2018-11-20,1,1,0.041666666666666664,1.0,1
WD_MERGE_2022-06-27---2022-07-04_duration_7_days_cluster_142_A0_000002_A_000002_lat_04661_lon_00394_size_0035,IOME2226252A__20220622__20220622,IOME2226252A,2022-06-27,2022-07-04,2022-06-22,2022-06-22,1,0,0,0,1,5.0,12.0,17.0,17,0,2022-06-27,2022-07-04,30,7,7,2022-06-22,2022-06-22,5,4,0.03333333333333333,0.2,1
WD_MERGE_2023-04-24---2023-06-05_duration_42_days_cluster_077_A0_000314_A_000408_lat_04477_lon_01163_size_0382,IOME2318044A__20230612__20230612,IOME2318044A,2023-04-24,2023-06-05,2023-06-12,2023-06-12,1,0,0,0,1,49.0,7.0,56.0,56,0,2023-04-24,2023-06-05,31,5,5,2023-06-12,2023-06-12,1,1,0.03225806451612903,1.0,1
WD_MERGE_2024-08-19---2024-08-26_duration_7_days_cluster_170_A0_000005_A_000006_lat_04827_lon_-0328_size_0063,INTE2430293A__20240830__20240831,INTE2430293A,2024-08-19,2024-08-26,2024-08-30,2024-08-31,1,0,0,0,1,11.0,5.0,16.0,16,0,2024-08-19,2024-08-26,38,4,4,2024-08-30,2024-08-31,3,2,0.02631578947368421,0.3333333333333333,1
WD_MERGE_2018-02-26---2018-03-05_duration_7_days_cluster_033_A0_000021_A_000025_lat_04357_lon_00435_size_0015,INTE1813670A__20180228__20180301,INTE1813670A,2018-02-26,2018-03-05,2018-02-28,2018-03-01,1,0,1,1,1,2.0,4.0,6.0,6,2,2018-02-26,2018-03-05,39,5,5,2018-02-28,2018-03-01,3,1,0.02564102564102564,0.3333333333333333,1
WD_MERGE_2018-10-15---2018-10-22_duration_7_days_cluster_251_A0_000047_A_000055_lat_04322_lon_00298_size_0008,INTE1905473A__20181015__20181015,INTE1905473A,2018-10-15,2018-10-22,2018-10-15,2018-10-15,1,0,1,1,1,0.0,7.0,7.0,7,1,2018-10-15,2018-10-22,40,3,3,2018-10-15,2018-10-15,2,1,0.025,0.5,1
