jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank,reciprocal_best_match
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1824833A__20180612__20180612,INTE1824833A,2018-06-11,2018-06-18,2018-06-12,2018-06-12,2,0,2,2,2,1.0,6.0,7.0,7,1,2018-06-11,2018-06-18,71,2,2,2018-06-12,2018-06-12,33,13,1.0,0.15384615384615385,5,False
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1820387A__20180612__20180612,INTE1820387A,2018-06-11,2018-06-18,2018-06-12,2018-06-12,2,0,2,2,2,1.0,6.0,7.0,7,1,2018-06-11,2018-06-18,71,2,2,2018-06-12,2018-06-12,116,17,1.0,0.11764705882352941,6,False
WD_MERGE_2018-08-06---2018-08-13_duration_7_days_cluster_168_A0_000001_A_000001_lat_04356_lon_00459_size_0015,INTE1828404A__20180809__20180809,INTE1828404A,2018-08-06,2018-08-13,2018-08-09,2018-08-09,2,0,2,2,2,3.0,4.0,7.0,7,1,2018-08-06,2018-08-13,6,3,3,2018-08-09,2018-08-09,7,2,0.6666666666666666,1.0,1,True
WD_MERGE_2020-05-11---2020-05-18_duration_7_days_cluster_116_A0_000017_A_000028_lat_04375_lon_-0097_size_0011,INTE2104714A__20200509__20200511,INTE2104714A,2020-05-11,2020-05-18,2020-05-09,2020-05-11,2,0,2,0,2,2.0,7.0,9.0,9,1,2020-05-11,2020-05-18,60,3,3,2020-05-09,2020-05-11,4,2,0.6666666666666666,1.0,1,True
WD_MERGE_2024-05-06---2024-07-22_duration_63_days_cluster_363_A0_000731_A_000802_lat_04047_lon_-0464_size_0340,INTE2424582A__20240607__20240608,INTE2424582A,2024-05-06,2024-07-22,2024-06-07,2024-06-08,2,0,0,0,2,32.0,44.0,76.0,76,2,2024-05-06,2024-07-22,36,3,3,2024-06-07,2024-06-08,13,2,0.6666666666666666,1.0,1,True
WD_MERGE_2018-10-15---2018-10-22_duration_7_days_cluster_251_A0_000047_A_000055_lat_04322_lon_00298_size_0008,INTE1829420A__20181014__20181015,INTE1829420A,2018-10-15,2018-10-22,2018-10-14,2018-10-15,2,0,2,0,2,1.0,7.0,8.0,8,1,2018-10-15,2018-10-22,40,3,3,2018-10-14,2018-10-15,131,3,0.6666666666666666,0.6666666666666666,1,True
WD_MERGE_2018-08-06---2018-08-13_duration_7_days_cluster_168_A0_000001_A_000001_lat_04356_lon_00459_size_0015,INTE1826529A__20180809__20180809,INTE1826529A,2018-08-06,2018-08-13,2018-08-09,2018-08-09,2,0,2,2,2,3.0,4.0,7.0,7,1,2018-08-06,2018-08-13,6,3,3,2018-08-09,2018-08-09,34,4,0.6666666666666666,0.5,2,False
WD_MERGE_2020-05-11---2020-05-18_duration_7_days_cluster_116_A0_000017_A_000028_lat_04375_lon_-0097_size_0011,INTE2023938A__20200509__20200511,INTE2023938A,2020-05-11,2020-05-18,2020-05-09,2020-05-11,2,0,2,0,2,2.0,7.0,9.0,9,1,2020-05-11,2020-05-18,60,3,3,2020-05-09,2020-05-11,16,4,0.6666666666666666,0.5,2,False
WD_MERGE_2020-05-11---2020-05-18_duration_7_days_cluster_116_A0_000017_A_000028_lat_04375_lon_-0097_size_0011,INTE2014521A__20200509__20200511,INTE2014521A,2020-05-11,2020-05-18,2020-05-09,2020-05-11,2,0,2,0,2,2.0,7.0,9.0,9,1,2020-05-11,2020-05-18,60,3,3,2020-05-09,2020-05-11,176,5,0.6666666666666666,0.4,3,False
WD_MERGE_2020-05-11---2020-05-18_duration_7_days_cluster_116_A0_000017_A_000028_lat_04375_lon_-0097_size_0011,INTE2016904A__20200509__20200511,INTE2016904A,2020-05-11,2020-05-18,2020-05-09,2020-05-11,2,0,2,0,2,2.0,7.0,9.0,9,1,2020-05-11,2020-05-18,60,3,3,2020-05-09,2020-05-11,20,5,0.6666666666666666,0.4,4,False
