event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,n_tiles_processed,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2015-02-02---2015-04-06_cluster_335,2015,2015-02-02,2015-04-06,49,335,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-02---2015-04-06_duration_49_days_cluster_335_A0_000295_A_000376_lat_04622_lon_01862_size_0165.tif,0,,0,0
2015-02-09---2015-02-16_cluster_31,2015,2015-02-09,2015-02-16,7,31,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-09---2015-02-16_duration_7_days_cluster_031_A0_000014_A_000015_lat_04459_lon_01196_size_0015.tif,0,,0,0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-09---2015-03-09_duration_21_days_cluster_030_A0_000136_A_000201_lat_04219_lon_-0233_size_0175.tif,13,Bidache; Candresse; Dax; Onard; Orist; Pey; Poyanne; Saint-Jean-de-Lier; Saint-Étienne-d'Orthe; Siest; Tercis-les-Bains; Vicq-d'Auribat; Yzosse,5529,2041
2015-02-09---2015-03-23_cluster_336,2015,2015-02-09,2015-03-23,35,336,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-09---2015-03-23_duration_35_days_cluster_336_A0_000270_A_000356_lat_05892_lon_02442_size_0321.tif,0,,0,0
2015-02-16---2015-03-02_cluster_37,2015,2015-02-16,2015-03-02,14,37,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-16---2015-03-02_duration_14_days_cluster_037_A0_000009_A_000016_lat_03750_lon_01405_size_0064.tif,0,,0,0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-16---2015-03-09_duration_14_days_cluster_035_A0_000067_A_000086_lat_04928_lon_00023_size_0118.tif,17,Amigny-Rouy; Appeville; Auvers; Beuzeville-la-Bastille; Brétigny; Carentan-les-Marais; Cormicy; Deuillet; Liesville-sur-Douve; Saint-Brice; Saint-Fromond; Servais; Servon-Melzicourt; Sinceny; Tribehou; Vandy; Varenguebec,12024,6373
2015-02-16---2015-03-09_cluster_36,2015,2015-02-16,2015-03-09,14,36,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-16---2015-03-09_duration_14_days_cluster_036_A0_000015_A_000018_lat_05331_lon_00815_size_0115.tif,0,,0,0
2015-03-02---2015-03-09_cluster_45,2015,2015-03-02,2015-03-09,7,45,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-02---2015-03-09_duration_7_days_cluster_045_A0_000027_A_000028_lat_03707_lon_00982_size_0016.tif,0,,0,0
2015-03-02---2015-03-09_cluster_46,2015,2015-03-02,2015-03-09,7,46,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-02---2015-03-09_duration_7_days_cluster_046_A0_000012_A_000018_lat_06432_lon_01616_size_0023.tif,0,,0,0
2015-03-02---2015-03-09_cluster_47,2015,2015-03-02,2015-03-09,7,47,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-02---2015-03-09_duration_7_days_cluster_047_A0_000010_A_000011_lat_06301_lon_02199_size_0023.tif,0,,0,0
2015-03-02---2015-03-09_cluster_48,2015,2015-03-02,2015-03-09,7,48,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-02---2015-03-09_duration_7_days_cluster_048_A0_000025_A_000027_lat_03731_lon_03682_size_0002.tif,0,,0,0
