event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,n_tiles_processed,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2016-10-03---2016-11-14_cluster_218,2016,2016-10-03,2016-11-14,28,218,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-03---2016-11-14_duration_28_days_cluster_218_A0_000101_A_000132_lat_05169_lon_-0305_size_0231.tif,0,,21983,7688
2016-10-17---2016-11-21_cluster_230,2016,2016-10-17,2016-11-21,35,230,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-17---2016-11-21_duration_35_days_cluster_230_A0_000011_A_000015_lat_03602_lon_01051_size_0010.tif,0,,0,0
2016-10-31---2016-11-07_cluster_239,2016,2016-10-31,2016-11-07,7,239,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-31---2016-11-07_duration_7_days_cluster_239_A0_000001_A_000001_lat_03760_lon_-0249_size_0069.tif,0,,0,0
2016-10-31---2016-11-07_cluster_241,2016,2016-10-31,2016-11-07,7,241,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-31---2016-11-07_duration_7_days_cluster_241_A0_000001_A_000001_lat_05220_lon_-0713_size_0035.tif,0,,0,0
2016-10-31---2016-11-07_cluster_242,2016,2016-10-31,2016-11-07,7,242,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-31---2016-11-07_duration_7_days_cluster_242_A0_000001_A_000002_lat_05151_lon_00418_size_0016.tif,0,,234,597
2016-10-31---2016-11-07_cluster_243,2016,2016-10-31,2016-11-07,7,243,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-31---2016-11-07_duration_7_days_cluster_243_A0_000001_A_000001_lat_04409_lon_02742_size_0035.tif,0,,0,0
2016-10-31---2016-11-07_cluster_244,2016,2016-10-31,2016-11-07,7,244,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-31---2016-11-07_duration_7_days_cluster_244_A0_000002_A_000002_lat_03676_lon_03526_size_0028.tif,0,,0,0
2016-10-31---2016-11-07_cluster_245,2016,2016-10-31,2016-11-07,7,245,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-31---2016-11-07_duration_7_days_cluster_245_A0_000160_A_000231_lat_05382_lon_04359_size_0572.tif,0,,0,0
2016-10-31---2016-11-07_cluster_246,2016,2016-10-31,2016-11-07,7,246,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-10-31---2016-11-07_duration_7_days_cluster_246_A0_000123_A_000141_lat_03992_lon_04849_size_0089.tif,0,,0,0
2016-11-07---2016-11-14_cluster_247,2016,2016-11-07,2016-11-14,7,247,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-07---2016-11-14_duration_7_days_cluster_247_A0_000002_A_000002_lat_04134_lon_-0479_size_0022.tif,0,,0,0
2016-11-07---2016-11-14_cluster_248,2016,2016-11-07,2016-11-14,7,248,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-07---2016-11-14_duration_7_days_cluster_248_A0_000012_A_000015_lat_05081_lon_-0111_size_0010.tif,0,,0,244
2016-11-07---2016-11-14_cluster_249,2016,2016-11-07,2016-11-14,7,249,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-07---2016-11-14_duration_7_days_cluster_249_A0_000026_A_000036_lat_06543_lon_-1535_size_0037.tif,0,,0,0
2016-11-07---2016-11-14_cluster_250,2016,2016-11-07,2016-11-14,7,250,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-07---2016-11-14_duration_7_days_cluster_250_A0_000005_A_000005_lat_05202_lon_01632_size_0037.tif,0,,0,0
2016-11-07---2016-11-14_cluster_251,2016,2016-11-07,2016-11-14,7,251,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-07---2016-11-14_duration_7_days_cluster_251_A0_000058_A_000147_lat_06268_lon_02356_size_0041.tif,0,,0,0
2016-11-07---2016-11-14_cluster_252,2016,2016-11-07,2016-11-14,7,252,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-07---2016-11-14_duration_7_days_cluster_252_A0_000004_A_000005_lat_04000_lon_03503_size_0049.tif,0,,0,0
2016-11-07---2016-11-14_cluster_255,2016,2016-11-07,2016-11-14,7,255,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-07---2016-11-14_duration_7_days_cluster_255_A0_000009_A_000031_lat_03745_lon_04571_size_0031.tif,0,,0,0
2016-11-07---2017-01-02_cluster_315,2016,2016-11-07,2017-01-02,35,315,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-07---2017-01-02_duration_35_days_cluster_315_A0_000625_A_000821_lat_05106_lon_01849_size_0436.tif,0,,20844,13205
2016-11-14---2016-11-21_cluster_256,2016,2016-11-14,2016-11-21,7,256,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-14---2016-11-21_duration_7_days_cluster_256_A0_000009_A_000011_lat_03502_lon_-0612_size_0013.tif,0,,0,0
2016-11-14---2016-11-21_cluster_257,2016,2016-11-14,2016-11-21,7,257,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-14---2016-11-21_duration_7_days_cluster_257_A0_000011_A_000014_lat_04873_lon_-0356_size_0111.tif,1,Saint-Martin-des-Champs,752,265
2016-11-14---2016-11-21_cluster_258,2016,2016-11-14,2016-11-21,7,258,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-14---2016-11-21_duration_7_days_cluster_258_A0_000002_A_000003_lat_04571_lon_-0109_size_0020.tif,0,,4100,1715
2016-11-14---2016-11-21_cluster_260,2016,2016-11-14,2016-11-21,7,260,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-14---2016-11-21_duration_7_days_cluster_260_A0_000029_A_000037_lat_06548_lon_02630_size_0032.tif,0,,0,0
2016-11-14---2016-12-19_cluster_259,2016,2016-11-14,2016-12-19,35,259,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-14---2016-12-19_duration_35_days_cluster_259_A0_000162_A_000198_lat_05177_lon_-0106_size_0154.tif,3,Beuvrequen; Wimille; Écouflant,12226,6171
2016-11-14---2017-01-02_cluster_316,2016,2016-11-14,2017-01-02,35,316,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-14---2017-01-02_duration_35_days_cluster_316_A0_000138_A_000165_lat_05500_lon_02092_size_0356.tif,0,,0,13516
2016-11-21---2016-11-28_cluster_264,2016,2016-11-21,2016-11-28,7,264,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115.tif,12,Cronat; Gannay-sur-Loire; La Chapelle-Naude; Lesme; Montaron; Peyrolles-en-Provence; Saint-Gervais-en-Vallière; Sandillon; Sarry; Verneuil; Vinon-sur-Verdon; Vitry-sur-Loire,11787,5558
2016-11-21---2016-11-28_cluster_265,2016,2016-11-21,2016-11-28,7,265,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_265_A0_000005_A_000006_lat_04607_lon_04242_size_0004.tif,0,,0,0
2016-11-21---2016-11-28_cluster_266,2016,2016-11-21,2016-11-28,7,266,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_266_A0_000003_A_000005_lat_04826_lon_04716_size_0051.tif,0,,0,0
2016-11-21---2017-01-02_cluster_263,2016,2016-11-21,2017-01-02,35,263,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-11-21---2017-01-02_duration_35_days_cluster_263_A0_000633_A_000695_lat_03689_lon_-0619_size_0028.tif,0,,0,209
2016-12-05---2016-12-19_cluster_275,2016,2016-12-05,2016-12-19,14,275,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-05---2016-12-19_duration_14_days_cluster_275_A0_000005_A_000006_lat_04512_lon_00294_size_0209.tif,1,Soulac-sur-Mer,18016,5153
2016-12-12---2016-12-19_cluster_277,2016,2016-12-12,2016-12-19,7,277,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-12---2016-12-19_duration_7_days_cluster_277_A0_000006_A_000008_lat_04864_lon_-0339_size_0127.tif,0,,752,265
2016-12-12---2016-12-19_cluster_279,2016,2016-12-12,2016-12-19,7,279,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-12---2016-12-19_duration_7_days_cluster_279_A0_000003_A_000003_lat_04100_lon_03063_size_0013.tif,0,,0,0
2016-12-26---2017-01-02_cluster_287,2016,2016-12-26,2017-01-02,7,287,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_287_A0_000003_A_000004_lat_04875_lon_-0370_size_0012.tif,0,,752,264
2016-12-26---2017-01-02_cluster_288,2016,2016-12-26,2017-01-02,7,288,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_288_A0_000003_A_000005_lat_05305_lon_-0889_size_0057.tif,0,,0,0
2016-12-26---2017-01-02_cluster_289,2016,2016-12-26,2017-01-02,7,289,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_289_A0_000003_A_000004_lat_04432_lon_00463_size_0093.tif,0,,9363,4912
2016-12-26---2017-01-02_cluster_291,2016,2016-12-26,2017-01-02,7,291,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_291_A0_000007_A_000010_lat_07031_lon_02593_size_0046.tif,0,,0,0
2016-12-26---2017-01-02_cluster_292,2016,2016-12-26,2017-01-02,7,292,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_292_A0_000001_A_000001_lat_04103_lon_03055_size_0010.tif,0,,0,0
2016-12-26---2017-01-02_cluster_293,2016,2016-12-26,2017-01-02,7,293,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2016_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_293_A0_000010_A_000016_lat_03958_lon_04446_size_0030.tif,0,,0,0
2016-12-26---2017-01-02_cluster_1,2017,2016-12-26,2017-01-02,7,1,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_001_A0_000007_A_000009_lat_05709_lon_-0410_size_0007.tif,0,,0,0
2016-12-26---2017-01-02_cluster_2,2017,2016-12-26,2017-01-02,7,2,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_002_A0_000004_A_000004_lat_04476_lon_00471_size_0139.tif,1,Veuxhaulles-sur-Aube,9363,4912
2016-12-26---2017-01-02_cluster_3,2017,2016-12-26,2017-01-02,7,3,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_003_A0_000011_A_000013_lat_05317_lon_00597_size_0027.tif,0,,0,0
2016-12-26---2017-01-23_cluster_341,2017,2016-12-26,2017-01-23,28,341,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2016-12-26---2017-01-23_duration_28_days_cluster_341_A0_000718_A_000902_lat_05400_lon_01526_size_0438.tif,5,Appeville; Créances; Liesville-sur-Douve; Tribehou; Wimille,24730,3626
2017-01-02---2017-01-09_cluster_6,2017,2017-01-02,2017-01-09,7,6,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-02---2017-01-09_duration_7_days_cluster_006_A0_000001_A_000001_lat_04742_lon_00031_size_0005.tif,1,Hommes,4100,1715
2017-01-02---2017-01-09_cluster_8,2017,2017-01-02,2017-01-09,7,8,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-02---2017-01-09_duration_7_days_cluster_008_A0_000033_A_000040_lat_04426_lon_01762_size_0110.tif,0,,0,0
2017-01-02---2017-01-09_cluster_12,2017,2017-01-02,2017-01-09,7,12,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-02---2017-01-09_duration_7_days_cluster_012_A0_000040_A_000042_lat_03929_lon_04892_size_0009.tif,0,,0,0
2017-01-02---2017-03-13_cluster_4,2017,2017-01-02,2017-03-13,70,4,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-02---2017-03-13_duration_70_days_cluster_004_A0_000581_A_000681_lat_03742_lon_-0619_size_0049.tif,0,,815,3039
2017-01-09---2017-01-16_cluster_13,2017,2017-01-09,2017-01-16,7,13,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-09---2017-01-16_duration_7_days_cluster_013_A0_000005_A_000007_lat_04866_lon_-0342_size_0140.tif,0,,752,265
2017-01-09---2017-01-16_cluster_14,2017,2017-01-09,2017-01-16,7,14,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-09---2017-01-16_duration_7_days_cluster_014_A0_000002_A_000003_lat_05203_lon_01390_size_0046.tif,0,,0,0
2017-01-09---2017-01-16_cluster_16,2017,2017-01-09,2017-01-16,7,16,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-09---2017-01-16_duration_7_days_cluster_016_A0_000001_A_000001_lat_04355_lon_02178_size_0012.tif,0,,0,0
2017-01-09---2017-01-16_cluster_17,2017,2017-01-09,2017-01-16,7,17,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-09---2017-01-16_duration_7_days_cluster_017_A0_000002_A_000003_lat_06763_lon_01863_size_0018.tif,0,,0,0
2017-01-09---2017-01-16_cluster_18,2017,2017-01-09,2017-01-16,7,18,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-09---2017-01-16_duration_7_days_cluster_018_A0_000005_A_000007_lat_07045_lon_02764_size_0090.tif,0,,0,0
2017-01-09---2017-01-16_cluster_19,2017,2017-01-09,2017-01-16,7,19,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-09---2017-01-16_duration_7_days_cluster_019_A0_000038_A_000058_lat_05163_lon_04345_size_0034.tif,0,,0,0
2017-01-16---2017-01-23_cluster_20,2017,2017-01-16,2017-01-23,7,20,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_020_A0_000005_A_000005_lat_04365_lon_00494_size_0055.tif,0,,3599,1154
2017-01-16---2017-01-23_cluster_21,2017,2017-01-16,2017-01-23,7,21,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_021_A0_000001_A_000001_lat_05640_lon_-0271_size_0013.tif,0,,0,0
2017-01-16---2017-01-23_cluster_22,2017,2017-01-16,2017-01-23,7,22,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_022_A0_000419_A_000499_lat_04486_lon_01115_size_0026.tif,0,,0,0
2017-01-16---2017-01-23_cluster_23,2017,2017-01-16,2017-01-23,7,23,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_023_A0_000409_A_000497_lat_04779_lon_01723_size_0034.tif,0,,0,0
2017-01-16---2017-01-23_cluster_24,2017,2017-01-16,2017-01-23,7,24,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_024_A0_000112_A_000143_lat_04709_lon_01884_size_0023.tif,0,,0,0
2017-01-16---2017-01-23_cluster_25,2017,2017-01-16,2017-01-23,7,25,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_025_A0_000012_A_000014_lat_05230_lon_01896_size_0038.tif,0,,0,0
2017-01-16---2017-01-23_cluster_27,2017,2017-01-16,2017-01-23,7,27,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_027_A0_000003_A_000003_lat_04738_lon_03155_size_0016.tif,0,,0,0
2017-01-16---2017-01-23_cluster_28,2017,2017-01-16,2017-01-23,7,28,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_028_A0_000001_A_000001_lat_05108_lon_04882_size_0045.tif,0,,0,0
2017-01-23---2017-01-30_cluster_30,2017,2017-01-23,2017-01-30,7,30,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-23---2017-01-30_duration_7_days_cluster_030_A0_000002_A_000003_lat_04168_lon_-0571_size_0025.tif,0,,0,0
2017-01-23---2017-01-30_cluster_31,2017,2017-01-23,2017-01-30,7,31,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-23---2017-01-30_duration_7_days_cluster_031_A0_000002_A_000003_lat_05413_lon_-0964_size_0027.tif,0,,0,0
2017-01-23---2017-01-30_cluster_32,2017,2017-01-23,2017-01-30,7,32,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-23---2017-01-30_duration_7_days_cluster_032_A0_000006_A_000008_lat_05746_lon_-0728_size_0021.tif,0,,0,0
2017-01-23---2017-01-30_cluster_33,2017,2017-01-23,2017-01-30,7,33,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-23---2017-01-30_duration_7_days_cluster_033_A0_000001_A_000002_lat_04620_lon_00947_size_0004.tif,0,,69,249
2017-01-23---2017-01-30_cluster_34,2017,2017-01-23,2017-01-30,7,34,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-23---2017-01-30_duration_7_days_cluster_034_A0_000001_A_000002_lat_04150_lon_01577_size_0010.tif,0,,0,0
2017-01-23---2017-01-30_cluster_35,2017,2017-01-23,2017-01-30,7,35,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-23---2017-01-30_duration_7_days_cluster_035_A0_000016_A_000020_lat_05498_lon_02224_size_0023.tif,0,,0,0
2017-01-23---2017-01-30_cluster_36,2017,2017-01-23,2017-01-30,7,36,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-23---2017-01-30_duration_7_days_cluster_036_A0_000002_A_000003_lat_06037_lon_02588_size_0006.tif,0,,0,0
2017-01-23---2017-03-27_cluster_342,2017,2017-01-23,2017-03-27,56,342,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-23---2017-03-27_duration_56_days_cluster_342_A0_000261_A_000316_lat_05149_lon_-0337_size_0310.tif,18,Appeville; Auvers; Boutteville; Bucy-Saint-Liphard; Carentan-les-Marais; Champigny; Créances; Graignes-Mesnil-Angot; Gémigny; Liesville-sur-Douve; Magneville; Méautis; Picauville; Pont-Hébert; Saint-André-de-Bohon; Tribehou; Varenguebec; Villemanoche,12226,6171
2017-01-30---2017-02-06_cluster_41,2017,2017-01-30,2017-02-06,7,41,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-30---2017-02-06_duration_7_days_cluster_041_A0_000003_A_000003_lat_04364_lon_00425_size_0004.tif,0,,3599,1154
2017-01-30---2017-02-06_cluster_42,2017,2017-01-30,2017-02-06,7,42,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-30---2017-02-06_duration_7_days_cluster_042_A0_000006_A_000007_lat_05299_lon_00611_size_0029.tif,0,,0,0
2017-01-30---2017-03-13_cluster_347,2017,2017-01-30,2017-03-13,28,347,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-01-30---2017-03-13_duration_28_days_cluster_347_A0_003756_A_005417_lat_05180_lon_02533_size_0132.tif,0,,0,427
2017-02-13---2017-02-20_cluster_48,2017,2017-02-13,2017-02-20,7,48,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-02-13---2017-02-20_duration_7_days_cluster_048_A0_000014_A_000017_lat_04711_lon_00526_size_0013.tif,2,Tart-le-Bas; Échigey,5859,3089
2017-02-13---2017-04-03_cluster_349,2017,2017-02-13,2017-04-03,35,349,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-02-13---2017-04-03_duration_35_days_cluster_349_A0_000836_A_001027_lat_05501_lon_02143_size_0494.tif,0,,0,6272
2017-02-20---2017-04-10_cluster_350,2017,2017-02-20,2017-04-10,42,350,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-02-20---2017-04-10_duration_42_days_cluster_350_A0_000378_A_000500_lat_05217_lon_00437_size_0536.tif,16,Ancemont; Bouquemont; Breuvannes-en-Bassigny; Chalaines; Charny-sur-Meuse; Commercy; Duzey; Fulvy; Hazembourg; La Tranche-sur-Mer; Maxey-sur-Vaise; Rigny-la-Salle; Rouvrois-sur-Meuse; Sepvigny; Versaugues; Void-Vacon,34371,375
2017-03-06---2017-03-13_cluster_60,2017,2017-03-06,2017-03-13,7,60,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-06---2017-03-13_duration_7_days_cluster_060_A0_000009_A_000014_lat_03961_lon_02115_size_0101.tif,0,,0,0
2017-03-06---2017-03-13_cluster_61,2017,2017-03-06,2017-03-13,7,61,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-06---2017-03-13_duration_7_days_cluster_061_A0_000034_A_000044_lat_06479_lon_02548_size_0007.tif,0,,0,0
2017-03-06---2017-03-20_cluster_58,2017,2017-03-06,2017-03-20,14,58,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-06---2017-03-20_duration_14_days_cluster_058_A0_000040_A_000055_lat_04834_lon_-0141_size_0114.tif,4,Beuzeville-la-Bastille; Liesville-sur-Douve; Varenguebec; Écouflant,4633,2726
2017-03-06---2017-03-20_cluster_59,2017,2017-03-06,2017-03-20,14,59,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-06---2017-03-20_duration_14_days_cluster_059_A0_000001_A_000001_lat_04067_lon_00896_size_0004.tif,0,,0,0
2017-03-06---2017-03-20_cluster_62,2017,2017-03-06,2017-03-20,14,62,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-06---2017-03-20_duration_14_days_cluster_062_A0_000042_A_000049_lat_03754_lon_03366_size_0029.tif,0,,0,0
2017-03-20---2017-03-27_cluster_70,2017,2017-03-20,2017-03-27,7,70,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-20---2017-03-27_duration_7_days_cluster_070_A0_000002_A_000002_lat_04052_lon_-0128_size_0002.tif,0,,0,0
2017-03-20---2017-03-27_cluster_71,2017,2017-03-20,2017-03-27,7,71,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-20---2017-03-27_duration_7_days_cluster_071_A0_000002_A_000002_lat_04409_lon_00031_size_0045.tif,0,,4770,1607
2017-03-20---2017-03-27_cluster_72,2017,2017-03-20,2017-03-27,7,72,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-20---2017-03-27_duration_7_days_cluster_072_A0_000020_A_000025_lat_06394_lon_02024_size_0019.tif,0,,0,0
2017-03-20---2017-03-27_cluster_73,2017,2017-03-20,2017-03-27,7,73,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2017_filtered\WD_MERGE_2017-03-20---2017-03-27_duration_7_days_cluster_073_A0_000012_A_000016_lat_03672_lon_03869_size_0032.tif,0,,0,0
