event_id,raster_file,raster_path,source_year_folder,start_date,end_date,duration_days,flood_id,gfm_extent_km2,enhanced_extent_km2,centroid_lat_cents,centroid_lon_cents,spatial_spread_units,nuts0_code,nuts0_name,nuts1_code,nuts1_name,max_depth_cm,flooded_pixels,flooded_area_m2,n_lau
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL2,Oost-Nederland,80.0,541,216400.0,9
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL3,West-Nederland,123.0,3586,1434400.0,10
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL4,Zuid-Nederland,378.0,295,118000.0,4
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,EE,Eesti,EE0,Eesti,131.0,12035,4814000.0,19
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,FI,Suomi/Finland,FI1,Manner-Suomi,212.0,2223,889200.0,11
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,LT,Lietuva,LT0,Lietuva,72.0,40,16000.0,3
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,LV,Latvija,LV0,Latvija,570.0,38538,15415200.0,16
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,PL,Polska,PL6,Makroregion północny,455.0,1210,484000.0,19
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,PL,Polska,PL8,Makroregion wschodni,398.0,8019,3207600.0,49
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,PL,Polska,PL9,Makroregion województwo mazowieckie,64.0,231,92400.0,2
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,AL,Shqipëria,AL0,Shqipëria,2285.0,288,115200.0,2
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,AT,Österreich,AT1,Ostösterreich,816.0,24301,9720400.0,30
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,BG,България ,BG3,Северна и Югоизточна България,1082.0,57812,23124800.0,89
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,BG,България ,BG4,Югозападна и Южна централна България,964.0,14448,5779200.0,19
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,CZ,Česko,CZ0,Česko,376.0,18294,7317600.0,89
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,EL,Ελλάδα ,EL5,Βόρεια Ελλάδα,569.0,88909,35563600.0,67
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,HR,Hrvatska,HR0,Hrvatska,715.0,142007,56802800.0,41
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,HU,Magyarország,HU1,Közép-Magyarország,1831.0,96555,38622000.0,30
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,HU,Magyarország,HU2,Dunántúl,274.0,42547,17018800.0,56
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,HU,Magyarország,HU3,Alföld és Észak,546.0,456592,182636800.0,261
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,MK,Северна Македонија,MK0,Северна Македонија,123.0,108,43200.0,2
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,RO,România,RO1,Macroregiunea Unu,1250.0,3822,1528800.0,21
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,RO,România,RO2,Macroregiunea Doi,1142.0,111905,44762000.0,143
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,RO,România,RO3,Macroregiunea Trei,763.0,83669,33467600.0,87
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,RO,România,RO4,Macroregiunea Patru,521.0,103995,41598000.0,99
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,RS,Srbija/Сpбија,RS1,Србија - север ,2929.0,125390,50156000.0,31
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,RS,Srbija/Сpбија,RS2,Србија - југ ,4862.0,10366,4146400.0,20
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,SK,Slovensko,SK0,Slovensko,696.0,18340,7336000.0,27
