jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,jrc_match_share,gaspar_match_share,min_total_abs_date_diff_days,mean_total_abs_date_diff_days,max_interval_overlap_days,reciprocal_best_match
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180609__20180611,INTE1820387A,2018-06-04,2018-06-18,2018-06-09,2018-06-11,13,0,0.06074766355140187,0.3170731707317073,12,12.0,3,True
WD_MERGE_2023-12-11---2024-01-01_duration_21_days_cluster_358_A0_001246_A_001597_lat_05134_lon_00222_size_0362,IOME2400969A__20231206__20231224,IOME2400969A,2023-12-11,2024-01-01,2023-12-06,2023-12-24,13,0,0.0161892901618929,0.30952380952380953,13,13.0,14,False
WD_MERGE_2021-01-11---2021-03-22_duration_56_days_cluster_352_A0_000478_A_000602_lat_03951_lon_-0626_size_0252,INTE2105706A__20210129__20210204,INTE2105706A,2021-01-11,2021-03-22,2021-01-29,2021-02-04,12,0,0.03468208092485549,0.19047619047619047,64,64.0,7,True
WD_MERGE_2021-11-29---2022-01-03_duration_35_days_cluster_316_A0_000336_A_000413_lat_05065_lon_-0112_size_0274,INTE2137449A__20211127__20211129,INTE2137449A,2021-11-29,2022-01-03,2021-11-27,2021-11-29,10,0,0.018726591760299626,0.47619047619047616,37,37.0,1,True
WD_MERGE_2019-11-04---2020-01-06_duration_56_days_cluster_351_A0_000915_A_001176_lat_04685_lon_00678_size_0668,INTE1935602A__20191201__20191202,INTE1935602A,2019-11-04,2020-01-06,2019-12-01,2019-12-02,9,0,0.013119533527696793,0.1232876712328767,62,62.0,2,True
WD_MERGE_2019-11-18---2020-01-06_duration_42_days_cluster_353_A0_000853_A_001110_lat_04494_lon_-0368_size_0472,INTE2005870A__20191213__20191215,INTE2005870A,2019-11-18,2020-01-06,2019-12-13,2019-12-15,9,0,0.008287292817679558,0.9,47,47.0,3,True
WD_MERGE_2020-11-30---2021-01-04_duration_35_days_cluster_394_A0_000853_A_001042_lat_04937_lon_-0214_size_0264,INTE2201262A__20201201__20210131,INTE2201262A,2020-11-30,2021-01-04,2020-12-01,2021-01-31,8,0,0.0097442143727162,0.5714285714285714,28,28.0,35,False
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2201262A__20201201__20210131,INTE2201262A,2021-01-04,2021-01-11,2020-12-01,2021-01-31,7,0,0.13725490196078433,0.5,54,54.0,8,False
WD_MERGE_2020-05-11---2020-05-18_duration_7_days_cluster_116_A0_000017_A_000028_lat_04375_lon_-0097_size_0011,INTE2014521A__20200509__20200511,INTE2014521A,2020-05-11,2020-05-18,2020-05-09,2020-05-11,6,0,0.1,0.03409090909090909,9,9.0,1,True
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1820387A__20180612__20180612,INTE1820387A,2018-06-11,2018-06-18,2018-06-12,2018-06-12,5,0,0.07042253521126761,0.04310344827586207,7,7.0,1,True
WD_MERGE_2024-09-23---2024-11-11_duration_35_days_cluster_367_A0_000578_A_000623_lat_04898_lon_00513_size_0555,INTE2430293A__20240925__20240925,INTE2430293A,2024-09-23,2024-11-11,2024-09-25,2024-09-25,5,0,0.008695652173913044,0.38461538461538464,49,49.0,1,True
WD_MERGE_2020-02-10---2020-04-13_duration_63_days_cluster_376_A0_002105_A_002662_lat_05130_lon_-0049_size_0424,INTE2014521A__20200301__20200301,INTE2014521A,2020-02-10,2020-04-13,2020-03-01,2020-03-01,5,0,0.0032113037893384713,0.5555555555555556,63,63.0,1,True
WD_MERGE_2020-02-24---2020-04-06_duration_35_days_cluster_380_A0_001946_A_002487_lat_04916_lon_00184_size_0350,INTE2014521A__20200301__20200301,INTE2014521A,2020-02-24,2020-04-06,2020-03-01,2020-03-01,5,0,0.0016700066800267202,0.5555555555555556,42,42.0,1,False
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_349_A0_000442_A_000522_lat_04875_lon_-0083_size_0117,INTE1808306A__20180103__20180103,INTE1808306A,2018-01-01,2018-01-29,2018-01-03,2018-01-03,4,0,0.004866180048661801,0.5714285714285714,28,28.0,1,True
WD_MERGE_2019-12-30---2020-02-24_duration_56_days_cluster_370_A0_001092_A_001400_lat_04760_lon_00017_size_0374,INTE2014521A__20200301__20200301,INTE2014521A,2019-12-30,2020-02-24,2020-03-01,2020-03-01,4,0,0.0023880597014925373,0.4444444444444444,68,68.0,0,False
WD_MERGE_2018-11-19---2018-11-26_duration_7_days_cluster_305_A0_000033_A_000038_lat_04376_lon_00494_size_0046,INTE1905473A__20181120__20181120,INTE1905473A,2018-11-19,2018-11-26,2018-11-20,2018-11-20,3,0,0.125,0.75,7,7.0,1,True
WD_MERGE_2017-12-04---2018-01-01_duration_28_days_cluster_370_A0_000806_A_001014_lat_05081_lon_00198_size_0323,INTE1808306A__20180103__20180103,INTE1808306A,2017-12-04,2018-01-01,2018-01-03,2018-01-03,3,0,0.002717391304347826,0.42857142857142855,32,32.0,0,False
WD_MERGE_2018-03-05---2018-04-09_duration_35_days_cluster_365_A0_000792_A_001016_lat_04859_lon_00099_size_0343,INTE1818802A__20180311__20180311,INTE1818802A,2018-03-05,2018-04-09,2018-03-11,2018-03-11,3,0,0.0021645021645021645,0.6,35,35.0,1,True
WD_MERGE_2018-02-26---2018-03-05_duration_7_days_cluster_033_A0_000021_A_000025_lat_04357_lon_00435_size_0015,INTE1810998A__20180228__20180302,INTE1810998A,2018-02-26,2018-03-05,2018-02-28,2018-03-02,2,0,0.05128205128205128,1.0,5,5.0,3,True
WD_MERGE_2024-10-07---2024-10-28_duration_21_days_cluster_225_A0_000049_A_000052_lat_04056_lon_-0050_size_0147,INTE2501371A__20241016__20241017,INTE2501371A,2024-10-07,2024-10-28,2024-10-16,2024-10-17,2,0,0.045454545454545456,0.2,20,20.0,2,True
WD_MERGE_2024-06-24---2024-07-08_duration_14_days_cluster_103_A0_000011_A_000012_lat_04804_lon_-0302_size_0095,IOME2418595A__20240617__20240621,IOME2418595A,2024-06-24,2024-07-08,2024-06-17,2024-06-21,2,0,0.038461538461538464,0.006896551724137931,24,24.0,0,False
WD_MERGE_2024-02-05---2024-02-26_duration_21_days_cluster_342_A0_002659_A_002896_lat_05242_lon_01873_size_0503,IOME2410378A__20240227__20240229,IOME2410378A,2024-02-05,2024-02-26,2024-02-27,2024-02-29,2,0,0.0025906735751295338,0.6666666666666666,25,25.0,0,True
WD_MERGE_2019-12-30---2020-02-10_duration_42_days_cluster_371_A0_001263_A_001609_lat_05120_lon_00293_size_0353,INTE2014521A__20200203__20200204,INTE2014521A,2019-12-30,2020-02-10,2020-02-03,2020-02-04,2,0,0.0017905102954341987,0.6666666666666666,41,41.0,2,True
WD_MERGE_2024-02-19---2024-03-18_duration_21_days_cluster_347_A0_000534_A_000577_lat_04734_lon_00149_size_0292,INTE2430293A__20240309__20240310,INTE2430293A,2024-02-19,2024-03-18,2024-03-09,2024-03-10,2,0,0.001606425702811245,0.4,27,27.0,2,True
WD_MERGE_2018-10-29---2018-11-12_duration_14_days_cluster_271_A0_000043_A_000064_lat_04503_lon_00990_size_0026,INTE1835008A__20181029__20181029,INTE1835008A,2018-10-29,2018-11-12,2018-10-29,2018-10-29,1,0,0.3333333333333333,0.25,14,14.0,1,True
WD_MERGE_2024-01-01---2024-04-01_duration_91_days_cluster_332_A0_000692_A_000753_lat_05333_lon_-0217_size_0189,IOME2410378A__20240226__20240301,IOME2410378A,2024-01-01,2024-04-01,2024-02-26,2024-03-01,1,0,0.14285714285714285,1.0,87,87.0,5,True
WD_MERGE_2022-10-31---2022-11-07_duration_7_days_cluster_272_A0_000001_A_000001_lat_04370_lon_00453_size_0035,IOME2235873A__20221109__20221109,IOME2235873A,2022-10-31,2022-11-07,2022-11-09,2022-11-09,1,0,0.09090909090909091,0.2,11,11.0,0,True
WD_MERGE_2020-06-01---2020-06-08_duration_7_days_cluster_138_A0_000014_A_000016_lat_04355_lon_00458_size_0016,INTE2023938A__20200604__20200604,INTE2023938A,2020-06-01,2020-06-08,2020-06-04,2020-06-04,1,0,0.08333333333333333,0.5,7,7.0,1,True
WD_MERGE_2021-10-18---2021-11-15_duration_21_days_cluster_269_A0_000215_A_000262_lat_05326_lon_-0331_size_0252,INTE2201262A__20211104__20211105,INTE2201262A,2021-10-18,2021-11-15,2021-11-04,2021-11-05,1,0,0.07142857142857142,1.0,27,27.0,2,True
